author,comment,sentiment,timestamp,like_count,tipe_produk,brand,segment,release_date
@karambia1243,Kenapa sim tray nya gak bisa dibuka ya? Apa ada yang sama?,Negative,2024-11-16T22:29:40Z,0,Galaxy A06,Samsung,Entry-Level,24-Nov
@afandipolontalo5759,"kekurangannya 1, hp nya gak support kompas",Negative,2024-11-13T05:05:09Z,0,Galaxy A06,Samsung,Entry-Level,24-Nov
@r.satriyahanindita651,Sekali lagi.. Ga ada carjernya. Ga ada carjernya,Negative,2024-11-09T14:48:17Z,0,Galaxy A06,Samsung,Entry-Level,24-Nov
@King.Mickey69,"""Aku mau Beliin Mamaku mending ini atau Redmi 13/14 . Harganya kan beda2 dikit""",Negative,2024-11-08T09:18:25Z,0,Galaxy A06,Samsung,Entry-Level,24-Nov
@hosifah8568,Samsung skrg knp yeaa cuman Cable USB nya doanx,Negative,2024-11-06T00:22:51Z,0,Galaxy A06,Samsung,Entry-Level,24-Nov
@AgungNugroho-ux8se,mending a06 atau a05s?,Negative,2024-11-05T09:03:02Z,0,Galaxy A06,Samsung,Entry-Level,24-Nov
@seblakkucing,"""yg tau jawab dong mending mana sama redmi 14c ? kebutuhan multitasking""",Negative,2024-11-03T15:51:22Z,0,Galaxy A06,Samsung,Entry-Level,24-Nov
@IkaAka-b5m,Yang seri ini gk ada game boosternya,Negative,2024-11-03T01:25:18Z,0,Galaxy A06,Samsung,Entry-Level,24-Nov
@NAILANaurayumna,Aplikasi sembunyi aplikasi di Oppo Uda lama ada bg hp saya Oppo 2019 UD punya aplikasi itu,Negative,2024-11-01T12:49:33Z,0,Galaxy A06,Samsung,Entry-Level,24-Nov
@aceleldat3601,"Samsung udah ketinggalan zaman sekarang baik segi spek, build quality dan harganya kemahalan dibanding Xiaomi, Vivo, atau Realme.",Negative,2024-10-29T17:34:41Z,0,Galaxy A06,Samsung,Entry-Level,24-Nov
@yippiyappap,"kemarin beli tapi lcd nya error, alhasil masuk ssc, sepertinya si full warranty 😢 semoga :(",Negative,2024-10-25T13:12:57Z,0,Galaxy A06,Samsung,Entry-Level,24-Nov
@agungsetiawan-r6b,gue suka banget sama desain ni hp. simple ga kebanyakan kamera.. tapiii sayang bgt blm nfc dan layarnya kegedean.. klo aja 6.1 auto buyy sihhh,Negative,2024-10-16T07:43:10Z,0,Galaxy A06,Samsung,Entry-Level,24-Nov
@wellyferdinand2303,Semoga gak kayak abangnya si A03s.. ghost touch parah,Negative,2024-10-14T01:48:20Z,0,Galaxy A06,Samsung,Entry-Level,24-Nov
@siskabae3,Bagusan mana sama realme note 60 ?,Negative,2024-10-12T00:53:26Z,0,Galaxy A06,Samsung,Entry-Level,24-Nov
@radhi1188radhi1188,Triple slot dong buat semua seri A...payah sekali saya gajadi beli gara2 urusan ginian..males bawa 2 hape,Negative,2024-10-11T18:05:02Z,0,Galaxy A06,Samsung,Entry-Level,24-Nov
@Naruto-oc6mi,"Barusan tes hp ini. Ini aku kasih tau kelemahannya. Speakernya jelek banget, cuma mono ga stereo, suaranya berisik menusuk kuping, ga ada bass samsek, treble doang, gw bandingin sama suara samsung a20s gw sama-sama muter youtube jauh lebih hd suara a20s gw njirr padahal keluaran 2019. dengerin lagu pakai ni hp lewat speaker ga betah, kuping sakit, suara cempreng ga megah kayak a20s gw yang keluaran 2019 anjir, selainnya ok lah",Negative,2024-10-05T03:06:44Z,0,Galaxy A06,Samsung,Entry-Level,24-Nov
@gilabelanja4456,"16:41 fix ga jadi beli A06 karena charger 25 watt nya cuma Gimmick seperti A05,inputnya dibatasi gak real 25 watt. Gila aj ngecharge 1 jam 52 menit😂",Negative,2024-09-28T09:22:47Z,0,Galaxy A06,Samsung,Entry-Level,24-Nov
@budist5025,Bagus tp sayangnya blm support NFC ya.,Negative,2024-09-27T05:48:01Z,0,Galaxy A06,Samsung,Entry-Level,24-Nov
@KhayraXtv,A05 nya sampah.. Ram gede cuman gimic doang..bugs error sering lag..dan klo udah lag Touchscreen gak bisa Dipencet..semoga yang ini enggak..tapj selama ram gimic + gw jamin masih sampah,Negative,2024-09-26T16:25:40Z,0,Galaxy A06,Samsung,Entry-Level,24-Nov
@七瀬わひゅうと,"Waduh masih tinggi varian A05 yang gua pake dong [6/128] wkwkwk.. Versi upgrade lho padahal, tapi cuma mentok varian 4/128 :3 Tapi ya mending lah at least ada Knox.",Negative,2024-09-22T01:40:05Z,8,Galaxy A06,Samsung,Entry-Level,24-Nov
@Agisti31,"cocok buat hp orang tua ini mah, untuk mudah kaya gw skid banget, kalau pun mau kekeh mau samsung minimal mending samsung A15 5G ajah ram 8 gb internal 128 atau 256.",Negative,2024-09-21T06:59:56Z,0,Galaxy A06,Samsung,Entry-Level,24-Nov
@KartunDoraemon-p4g,Untuk hasil video sama foto kalo gw liat masih bagus Samsung A13 4G bang lebih jernih dari yang ada di video sekarang mulai ngelag aja kalo mau buat buka kamera,Negative,2024-09-21T01:16:34Z,1,Galaxy A06,Samsung,Entry-Level,24-Nov
@zzahh_0,ramnya blm up to ke 6 kah? yg a05 aja udh up to ram 6,Negative,2024-09-20T12:55:43Z,0,Galaxy A06,Samsung,Entry-Level,24-Nov
