author,comment,sentiment,timestamp,like_count,tipe_produk,brand,segment,release_date
@ALIIMRAN-zt7uk,bagusan vivo x200 ultrq,Negative,2024-11-15T11:24:16Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@AmrinaFimasari,Masih pecah2 hasil videonya😢 mau nyari samsung yg speknya kek ip klo videonya upload gak pecah2,Negative,2024-11-14T00:28:34Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@riandisaputra5273,"""MENYESAL BELI S24ULTRA. saran saya jangan beli samsung S24 ultra. kamera 50 dan 200 mp tidak berguna, post processing nya jelek banget alhasil foto hasilnya jelek even di SIANG hari 😢. dan ga ada di REVIEWE youtuber .. sampai november ini masih ga ada solusi yang pas dari samsung. JANGAN BELI HAPE S24 Ultra.""",Negative,2024-11-09T20:43:29Z,1,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@AlFaqirIlallah890,"""Kekurangan s24 ultra ini menurut saya adalah kamera selfie nya hanya 12mp saja. Ini sangat di bawah standar sih.""",Negative,2024-11-08T21:02:52Z,2,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@faiztantono7669,Mahal tp tampilan S24 in kaya receh beda dg iphone. Iphone keliatan mahal tapi sebenery receh ak nyesel beli iphone,Negative,2024-10-23T11:28:40Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@nurhidayah5588,Ya Allah... Harga nya sama kayak motor Baru 😭😭😭,Negative,2024-10-22T05:47:42Z,1,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@Sedulure,Bonus layar burn in,Negative,2024-10-13T15:57:17Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@Iwillsurvive09,Gatau knp gasuka bentuknya aja,Negative,2024-10-01T00:19:48Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@Luxurycliplyfee,Knp yaa saya pake s24u pake main ml set 120fps grafik high pake game plugin max fps sering banget fps nya terasa drop 🥲 padahal ni hp dipake di mpl,Negative,2024-09-26T03:40:16Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@ganteng09,"S24 ultra bagus tp kesan ""uniknya"" jd berkurang krn layarnya flat...",Negative,2024-09-25T16:13:24Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@komangsujana6993,"Pernah tambahin screen protector, ternyata malah lebih jelek, pantulannya jadi sedikit nambah",Negative,2024-09-23T05:02:42Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@drivebackup7146,"Kalau lihat layarnya, kok masih lebih berasa mewahan note 10 plus dibanding hape ini ya menurutku. Walau hape layar curved edge udah umum, tapi tetep aja aksen lengkungan ""Note"" yang hilang bikin berasa kurang aja gitu sih.",Negative,2024-09-10T14:33:54Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@alexkurnia6059,"Terimakasih bang reviewnya. Jujur kemarin sempet bingung mau pilih samsung s24 ultra atau iphone 15 pro max. Setelah lihat review ini, saya akhirnya putuskan untuk membeli xiaomi",Negative,2024-09-07T22:11:06Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@Equilibrium8,"Night sight nya lebih enak s23u sih diliatnya, jauh menurut saya",Negative,2024-08-26T14:04:00Z,2,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@AkuCayang,Asik pink di mukanya ilang 😂 kek tang di contohin yg cupu di s23 ultra,Negative,2024-08-21T12:16:30Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@akliannor882,gu user samsung dari awal grand dous 2013 sampai 2024 sudah make j5 j7 samsung a7 s8 s10 s20 dan s22 ultra terkhari make produk samsung karena layar grenn screen kaga ada tanggung jawab nya samsung,Negative,2024-08-17T23:43:36Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@rickofrd_,"orang pilih iphone selain ekosistem, cmn buat insta story yg qualitynya oke",Negative,2024-08-14T00:37:46Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@e_miilchannel8535,saya kurang suka bentuknya yang terlalu mengotak,Negative,2024-08-12T04:40:05Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@yoland_o3580,"Kekurangan s24u ini cuman layar ga lengkung ,itu aja",Negative,2024-08-09T16:55:24Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@OktaLende_Official,"""Gw kecewa ama samsung,.masa iya flagship pada kena green line dan nti berlanjut melebar jadi garis pink, dll Aku user samsung dr dulu smpe skrg di Note 20Ultra...green line kan aneh ya""",Negative,2024-07-21T15:55:26Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@ZACKY_AHMAD,Ini camera ada brp bang..? katanya 3 aj yg bener.. ini lebih dari 3 bener kan ?,Neutral,2024-11-16T06:33:43Z,1,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@wdayff,@gadgetin aku butuh saran mending s24 ultra atau ip 15 pro max?,Neutral,2024-11-16T03:00:48Z,1,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@ardhinrkhn,dan sekarang s23 series dapet update circle to search🙂,Neutral,2024-11-11T05:45:15Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@herygunawan6153,Bekas nya berapaan ya?,Neutral,2024-11-10T01:59:49Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@tianbie243,"Gue ttp setia di samsung a51.. pdhal kmrn udh mau beli ini, tp mikir2 lg bingung ini atau iphone 15 pro yaa?? Recomin dong",Neutral,2024-11-09T07:33:36Z,1,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@dpindo7287,Next tunggu S25 Ultra tapi bukan yg itel😅,Neutral,2024-11-09T05:44:37Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@aufi5318,Boxnya itu udah include apa aja? Apakah s pen dijual terpisah?,Neutral,2024-11-08T09:17:56Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@natansalim3077,Aku dapet di shopee Ada yg jual 4jt ori Baru katanya tapi sangat ragu kalau itu beneran Ori,Neutral,2024-10-31T18:40:13Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@DeppaTori-k1e,Masih setia dengan s21u❤,Neutral,2024-10-31T12:03:12Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@naufalaflahubaiddillah760,apakah di S24ULTRA masih ada BIXBY?,Neutral,2024-10-31T05:33:38Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@naufalaflahubaiddillah760,"5:35 Samsung gak beri fitur PERSENAN BATERAI karena mencegah pemakai ponsel agar tidak kwatir kalau baterai habis., itulah alasannya",Neutral,2024-10-31T05:00:23Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@ishaqrausen3618,"Maaf mau nanya, samsung s24 ultra udh stabil kaya ip ga yah klo lgi video di jalan? Maaf tanya sja hehe",Neutral,2024-10-30T22:36:28Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@dewimoer7591,"Saya pke samsung a20s udh 6 thn udh 3x ganti batrai,pen ganti tpi ada yg lebih penting😅",Neutral,2024-10-28T15:40:26Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@BangGian05,Dan akhirnya s23 series sudah bisa apa yg di buat s24 series 😂,Neutral,2024-10-27T05:43:57Z,1,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@hanisularso9859,Review s24 plus,Neutral,2024-10-27T04:11:54Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@AlexCio_o,Apa bener s24 U over saturasi kameranya?,Neutral,2024-10-27T02:56:39Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@JubjubChangnoi,Nunggu gen 4 aja,Neutral,2024-10-23T03:07:12Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@BerontosenoKara,Mending mana samsung atau Xiaomi ?,Neutral,2024-10-22T18:49:29Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@BerontosenoKara,Awet ngga?,Neutral,2024-10-22T18:46:02Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@bibobhutajulu5569,S24 ultra buat membedakan yg Ori dan Fake gmn bg,Neutral,2024-10-21T08:11:27Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@ruzzackovich4067,"pertanyaan umum : 1. dalam jangka 12 jam berapa kali nge charge ? batre sisa berapa persen? 2. snapdragon 8 bukannya panas dan boros ? 3. bisa gak update software di s23 , kalau cuma mau google lens search, bukannya udah ada di google nya",Neutral,2024-10-20T10:32:37Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@Ishowspeedimasl77,galaxy s24 ultra😇✅ iphone 16 pro💩🤢❌,Neutral,2024-10-08T10:37:10Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@busanyeoa5194,"Saya ga tau kecanggihan s24 ultra buat saya akan terpakai ngga yang biasanya pakai hp sekelas m51 aja buat nonton doang tanpa khawatir sering ngecharge karena baterainya besar. Sedangkan fitur AI juga belum terlalu butuh. Harus diapakan ini hp ya? Apa jual lagi aja, setelah dipikir semalaman kaya kemahalan..😂",Neutral,2024-10-07T06:45:32Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@hendrikkbhedoerofficial6045,Bingung mo beli samsung s23 ultra apa iPhone 14promax,Neutral,2024-10-04T14:47:28Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
