author,comment,sentiment,timestamp,like_count,tipe_produk,brand,segment,release_date
@kurnianto26,kayanya waktu series terdahulu di indo dikasih snapgragon trus di luar negri pakai exynos pada protes sekarang di tuker lagi di indo dikasih exynos protes lagi.,Negative,2024-11-01T03:48:54Z,0,Galaxy S24+,Samsung,Flagship,18-Jan-24
@asheMV,Mending ram sama tpi kamera ultra wide ga fix focus dari pada ram di bedakan tapi kamera fix focus,Negative,2024-10-30T15:38:01Z,0,Galaxy S24+,Samsung,Flagship,18-Jan-24
@HafidzVins7,"Semua chipset itu bisa anget sampe panas kalo mau adem ,ya gausah di pake di liatin aja ,mau beli hp semahal apapun iya bisa anget dan panas di pajang aja",Negative,2024-10-30T15:11:06Z,0,Galaxy S24+,Samsung,Flagship,18-Jan-24
@patelpycsin8105,satu satunya channel yg gapernah bilang exynos cepet panas,Negative,2024-10-22T14:52:16Z,0,Galaxy S24+,Samsung,Flagship,18-Jan-24
@zisanbayu6683,Jiwa miskin meronta liat harganya 😂,Negative,2024-10-14T16:59:28Z,0,Galaxy S24+,Samsung,Flagship,18-Jan-24
@infinitywalks4504,ak baru beli unit s24+ tapi sedikit panas pas saya coba editing reel video.. transisi antar lensa kameranya jg masihnkurang smooth,Negative,2024-10-13T12:05:04Z,0,Galaxy S24+,Samsung,Flagship,18-Jan-24
@DB-art23,Nonton ini dan masi bertahan pake S22+,Negative,2024-10-12T02:30:29Z,0,Galaxy S24+,Samsung,Flagship,18-Jan-24
@dimassony5247,"""Lebih baik Samsung perbaiki kualitas layarnya aja daripada chipset. Kalo urusan flash memori Samsung udah top. Samsung pakai chipset Mediatek dan Snapdragon aja deh, plus optimalisasi software. lupakan chipset buatan sendiri yg jelek, lemah sinyal, cepat panas dan gagal""",Negative,2024-10-10T09:04:20Z,2,Galaxy S24+,Samsung,Flagship,18-Jan-24
@Mas-ss8me,Berarti Amerika yg di dewakan karena pake snapnaga😂yg lain jadj jelata,Negative,2024-10-05T10:22:12Z,0,Galaxy S24+,Samsung,Flagship,18-Jan-24
@maspik8,"Gada chargernya Gada chargernya tidak ada charger disini, gada",Negative,2024-09-30T14:30:55Z,0,Galaxy S24+,Samsung,Flagship,18-Jan-24
