author,comments,sentiment,timestamp,like_count,tipe_produk,brand,segment,release_date
@farikhinchannelstory2849,Baru beli tapi kok sim tidak ada jaringan gimana,Negative,2024-11-07T10:01:25Z,0,Realme C61,Realme,Entry-Level,24-Sep
@RaraMutiara-pg8vw,Bg ada gerak lambat nya gk video ny,Negative,2024-11-07T07:01:28Z,0,Realme C61,Realme,Entry-Level,24-Sep
@murattab0986,Hp nya cukup nyaman cuma kurang nya di cas 15 w nya 2 jam lebih bru full,Negative,2024-10-11T17:28:46Z,0,Realme C61,Realme,Entry-Level,24-Sep
@riofasla7521,Sayang masih pakai unisop t612 layar lcd masih hd plus .,Negative,2024-10-01T16:02:28Z,0,Realme C61,Realme,Entry-Level,24-Sep
@pujiantoarifin3370,champion 😅 tetapi sayang masih pakai unisoc,Negative,2024-10-01T11:19:23Z,2,Realme C61,Realme,Entry-Level,24-Sep
@DesliyantoYanto-m5g,Lebih Bagus Realme C53 Dan C63 Karena Kamera Bagus...,Negative,2024-10-01T08:05:46Z,0,Realme C61,Realme,Entry-Level,24-Sep
@mailmarzuki-zs6vo,Realme c53 yg tahan banting malah downrade pengecasan jadi 15watt😂,Negative,2024-10-01T07:59:40Z,0,Realme C61,Realme,Entry-Level,24-Sep
@TigrealRoam-k1h,Chargernya C61 15 wat C51 ku ketawa liat ini 😄,Negative,2024-10-20T22:11:18Z,2,Realme C61,Realme,Entry-Level,24-Sep
@mudranbayi,Kontrol center pas layar di kunci gak bisa dimatiin layar terlalu responsif,Negative,2024-11-08T16:43:58Z,0,Realme C61,Realme,Entry-Level,24-Sep
@nekonimenekonime5711,Realme sekarang bukan realme yg dulu hari hari daur ulang mesin ganti nama jual 😂,Negative,2024-11-01T01:49:49Z,0,Realme C61,Realme,Entry-Level,24-Sep
@jokobintangmas8152,Pamornya udah kalah sama infinix tp menggap dirinya setara oppo ( ya itu realme ) 😅,Negative,2024-11-01T00:51:21Z,1,Realme C61,Realme,Entry-Level,24-Sep
@didininaninu,"""realme kameranya burik pas langsung cekrek di galeri. tp pas kirim ke wa HD jd lumayan.trus buat main ML panas padahl medium setingan. main 1_2match.batre agak boros.""",Negative,2024-10-31T12:32:45Z,0,Realme C61,Realme,Entry-Level,24-Sep
@sukajujur9053,Realme badut🤭🤭,Negative,2024-10-31T12:29:15Z,2,Realme C61,Realme,Entry-Level,24-Sep
@LisdaSahadatia,Buat game berat bagus ga bangg,Neutral,2024-11-09T10:17:12Z,0,Realme C61,Realme,Entry-Level,24-Sep
@EdrilEdril-g3e,Bang itu hp nya harganya satujutan brapa,Neutral,2024-11-08T10:23:04Z,0,Realme C61,Realme,Entry-Level,24-Sep
@mutammyma,"kl untuk anak yg suka lempar hp, lebih ke C63 atau C61 kak ?",Neutral,2024-11-01T20:59:50Z,0,Realme C61,Realme,Entry-Level,24-Sep
@niiasonia3727,Mending realme c61 atau vivo y18 ?,Neutral,2024-11-01T14:15:44Z,0,Realme C61,Realme,Entry-Level,24-Sep
@Kinan-m9h,Beli yg atau realme 13 ya 😊,Neutral,2024-10-31T03:07:37Z,0,Realme C61,Realme,Entry-Level,24-Sep
@ImelBaru-o2d,C61 ram 8 untuk micro sd pakai yg brp gb?,Neutral,2024-10-24T11:32:58Z,0,Realme C61,Realme,Entry-Level,24-Sep
@RawonZulaikhaRyonika,Berpa harga realme c63 ram 8 Dan realme c61 ini kak?,Neutral,2024-10-22T16:18:43Z,0,Realme C61,Realme,Entry-Level,24-Sep
@EllaAntikalusi,Tahan Air ngk kak,Neutral,2024-10-21T09:55:45Z,0,Realme C61,Realme,Entry-Level,24-Sep
@Arifinvlog205,"Kak hp ini bisa clone tik tok bawaan dr hp ngga,,mksh klu mau jwb 🙏",Neutral,2024-10-16T23:59:23Z,0,Realme C61,Realme,Entry-Level,24-Sep
@carinawindy7510,Pake android full ya?,Neutral,2024-10-14T02:02:12Z,0,Realme C61,Realme,Entry-Level,24-Sep
@arieyttwo,Bang review hp redmi 14c vs realme c61,Neutral,2024-10-12T10:54:19Z,0,Realme C61,Realme,Entry-Level,24-Sep
@IzaTuni,Ada nfc gk,Neutral,2024-10-05T03:30:02Z,0,Realme C61,Realme,Entry-Level,24-Sep
@astirkha8111,bukanya 45watt ya ka 😢,Neutral,2024-10-04T06:18:38Z,0,Realme C61,Realme,Entry-Level,24-Sep
@mas_oim125,bagusan yg c61 atau c63 min ??,Neutral,2024-10-03T21:15:43Z,0,Realme C61,Realme,Entry-Level,24-Sep
@ReyNugorho,Rekomendasi realme yng bgus buat game bng,Neutral,2024-10-03T03:58:43Z,3,Realme C61,Realme,Entry-Level,24-Sep
@mohammadsayuti5686,Realme paling recommended yang apa kak ?,Neutral,2024-10-02T04:32:34Z,0,Realme C61,Realme,Entry-Level,24-Sep
@ikbalarrahman,Kak brp harga realme c61?,Neutral,2024-10-01T13:08:24Z,0,Realme C61,Realme,Entry-Level,24-Sep
@berkahallah1935,"Maaf mau nanya untuk game berat mlbb,ff sama pbugm apakah bisa?.",Neutral,2024-10-01T13:01:08Z,0,Realme C61,Realme,Entry-Level,24-Sep
@ArisNiko29,Ada aplikasi untuk ruang game atau game booster nggak kak?,Neutral,2024-10-01T11:05:04Z,1,Realme C61,Realme,Entry-Level,24-Sep
@AlviaDamayanti-t6o,Kekuranganya apa bang .?,Neutral,2024-11-05T14:33:18Z,0,Realme C61,Realme,Entry-Level,24-Sep
@ArdiansyahSyahputra-l8j,Mending Mana Antara Realme C61 Sama Itel RS4 Ya Mas,Neutral,2024-10-09T17:29:38Z,2,Realme C61,Realme,Entry-Level,24-Sep
@unicornputih160,Kak apakah Realme C61 punya Gyroscope ? Saya baru CO kemarin,Neutral,2024-10-09T13:33:23Z,0,Realme C61,Realme,Entry-Level,24-Sep
@ZulfaZulki,realme c61 sama realme c63 bagusan mana kak?,Neutral,2024-06-29T23:59:43Z,0,Realme C61,Realme,Entry-Level,24-Sep
@putunesimbahmangun6061,Menurut mimin bagus mana realme C53 vs C61?,Neutral,2024-06-29T16:12:33Z,0,Realme C61,Realme,Entry-Level,24-Sep
@agungnugroho8443,Nonton video ini pake poco x6 pro😅,Neutral,2024-11-01T02:03:40Z,0,Realme C61,Realme,Entry-Level,24-Sep
@asepsukma5461,Baru aja beli kemaren sore,Positive,2024-10-05T05:23:52Z,0,Realme C61,Realme,Entry-Level,24-Sep
@awengg___,Gw bru beli td malam,Positive,2024-10-03T02:39:38Z,0,Realme C61,Realme,Entry-Level,24-Sep
@satriamugana5367,cukup menarik infonya. terima kasih kk ya,Positive,2024-11-01T12:46:35Z,0,Realme C61,Realme,Entry-Level,24-Sep
