author,comment,sentiment,timestamp,like_count,tipe_produk,brand,segment,release_date
@carisendiri-kv9yz,SAYA PALING MALAS PAKAI PRODUK KELUARGANYA POCONG SOMAI,Negative,2024-11-17T02:05:26Z,0,Redmi Note 13 5G,Xiaomi,Mid-Range,24-Feb
@jipro7361,"saya beli hp selalu lihat review dulu trutama gadjet in.. tpi kenyataan rekaman video tak, sesuai expetasi dan review 😂😂🤣🤣 rekaman patah2.. redmi note 12 . dan kenapa ya aplikasi selalu nutup sdri",Negative,2024-11-15T15:25:36Z,1,Redmi Note 13 5G,Xiaomi,Mid-Range,24-Feb
@sannypsaykho,udh setengah tahun megang hp ini. sumpah nyesel. 5g nya gak ke pake'. blom ada di Bintan kepulauan Riau. jd berasa mending dulu beli 4G spek lebih bagus dengan harga setara 13 5G ini,Negative,2024-11-15T05:23:58Z,0,Redmi Note 13 5G,Xiaomi,Mid-Range,24-Feb
@junhdy,Redmi hp tersampah.. Mau gw lempar hp kayak gini,Negative,2024-11-14T05:06:13Z,0,Redmi Note 13 5G,Xiaomi,Mid-Range,24-Feb
@AgusSetiawan-fy9fv,Apapun redmi keluar jeblok klo yg review ini,Negative,2024-11-13T12:25:11Z,0,Redmi Note 13 5G,Xiaomi,Mid-Range,24-Feb
@BangHexz,"gw masih setia ama xiaomi 12 lite, setelah update kmaren, buat game makin lancarrrr chipset naga 778G emang beda, klo pas baru beli dulu sampe 2023 kmaren, buat game masih kyk d tahan performanya ama xiaomi, nah baru update kmaren ini, d buat game lanjay parah",Negative,2024-11-05T18:22:06Z,0,Redmi Note 13 5G,Xiaomi,Mid-Range,24-Feb
@Kiplidarma,Waduh 3jt mono,Negative,2024-11-01T12:42:13Z,0,Redmi Note 13 5G,Xiaomi,Mid-Range,24-Feb
@glasterofficial8020,"Cuma di speaker aja yang paling ngeselin, cuma 1 lagi buat tlpn susah jadinya",Negative,2024-10-31T06:37:52Z,0,Redmi Note 13 5G,Xiaomi,Mid-Range,24-Feb
@herikisswanto3050,"""Dantili kuda tenan kok, masak ngecas dr jam 5 sore sampai jam 8 malam nggak penuh2. Mana agak boros batreinya. Jooochhh""",Negative,2024-10-30T12:57:16Z,0,Redmi Note 13 5G,Xiaomi,Mid-Range,24-Feb
@123qwecoq,"Mending poco f4 seken dapat speaker stereo minus baterai lebih kecil aja,selain itu lebih bagus",Negative,2024-10-29T14:35:14Z,0,Redmi Note 13 5G,Xiaomi,Mid-Range,24-Feb
@ghanimusic_indo,"Kekurangan nya mnurut gw speaker mono & rekaman blm 60fps, alhamdulillah udh kebeli hp ini, layar cakep",Negative,2024-10-21T00:21:48Z,1,Redmi Note 13 5G,Xiaomi,Mid-Range,24-Feb
@interval1303,"Ketika nyampe di speaker, saya langsung cancel niat beli bang 🤭",Negative,2024-10-18T06:03:41Z,0,Redmi Note 13 5G,Xiaomi,Mid-Range,24-Feb
@auliazafira8279,"Apa karena speaker mono jd berasa kecil banget ya suara nya?? Gw baru pake hp redmi note 13 5g ini dan yg paling berasa di speaker nya itu yg kecil bgt. Sebelumnya pake redmi 9, volume 50% aja rasanya udh cukup kedengeran, ini redmi note 13 5g kayak hampir full volumenya baru kedengeran, itu pun rasanya suaranya baru setara dgn 50-70% volume suaranya redmi 9. Kenapa ya :(",Negative,2024-10-16T10:43:43Z,0,Redmi Note 13 5G,Xiaomi,Mid-Range,24-Feb
@hellohendofficial5269,Redmi not 10s dan pro masih pemenangnya sih,Negative,2024-10-14T04:59:42Z,0,Redmi Note 13 5G,Xiaomi,Mid-Range,24-Feb
@rdhion,"Tertarik ambil karena harganya udah turun, tapi begitu tau speakernya mono auto batal deh 😢",Negative,2024-10-12T03:44:10Z,0,Redmi Note 13 5G,Xiaomi,Mid-Range,24-Feb
@SarryCantikk2424,masih pake chipset Mediatek😢yaaa setara sih sama Snapdragon tapi nanggung bgttt gak sih kenapa ga sekalian aja pake Snapdragon aja,Negative,2024-10-09T13:26:03Z,2,Redmi Note 13 5G,Xiaomi,Mid-Range,24-Feb
@aku900,Tapi bang Redmi note 13 4g speakernya stereo tapi kalau versi 5g nya mono,Negative,2024-10-09T08:19:43Z,0,Redmi Note 13 5G,Xiaomi,Mid-Range,24-Feb
@lmjchess9352,Gak jadi mono masih menang samsung a33 5g,Negative,2024-10-07T09:32:21Z,0,Redmi Note 13 5G,Xiaomi,Mid-Range,24-Feb
@AryaSyamnoer22,"nyesel banget beli redmi note 13 5g baru beli 1 bulan, udah panas banget pake main game sama kdang ngeframe, + pas ngerekam vidio patahh"" abis, tau gitu beli samsung aja dari pada redmi udah mah vitur nya dikit lagi, buat kalian yang mau beli renot 13 5g mending pikir dulu deh jangan kemakan iklan, sayah baru pake 1 bukan udah kaya gitu gimana jangka panjang haduhh, mending kalo dana lebih beli renot 13 pro 5g 😢",Negative,2024-10-05T12:11:01Z,0,Redmi Note 13 5G,Xiaomi,Mid-Range,24-Feb
@AryaSyamnoer22,"jangan beli renot 13 5g sumpah co gw baru 1 bulan pake udah panas pake maen game, sama kalo rekam vidio patah"" bangettt mending beli samsung aja rekomendasi nya",Negative,2024-10-05T12:08:07Z,1,Redmi Note 13 5G,Xiaomi,Mid-Range,24-Feb
@TakKin-fs1yv,"Agak nyesel pake hape ini , sebelum nya pake ,poco x3 nfc, berasa down grad.",Negative,2024-10-03T02:55:33Z,0,Redmi Note 13 5G,Xiaomi,Mid-Range,24-Feb
@MdplInk-p7n,Nge lag gak.. dr dlu pakaai xiomi nge lag mulu,Negative,2024-09-28T08:38:26Z,2,Redmi Note 13 5G,Xiaomi,Mid-Range,24-Feb
@king.canute21,sayang kamera redmi terkenal burik jadi mikir2 mau beli ini,Negative,2024-09-26T09:21:58Z,0,Redmi Note 13 5G,Xiaomi,Mid-Range,24-Feb
@AsepSaefulRehayani,Jek audio ko di atas kaya Nokia jadul aja,Negative,2024-09-19T20:58:45Z,0,Redmi Note 13 5G,Xiaomi,Mid-Range,24-Feb
@oment666,"Iya bang, paling males kalau speaker mono😂",Negative,2024-09-18T14:24:07Z,0,Redmi Note 13 5G,Xiaomi,Mid-Range,24-Feb
@ibumaryamofficial1691,"Kamera memang khas xiaomi gitu gak sih? Agak kusam gitu , pande pande kita yg ngatur chayanya",Negative,2024-09-18T11:28:22Z,0,Redmi Note 13 5G,Xiaomi,Mid-Range,24-Feb
@andikapradana6161,Entah kenapa redmi paling oke mentok di redminot 10 pro 😢,Negative,2024-09-17T17:34:57Z,1,Redmi Note 13 5G,Xiaomi,Mid-Range,24-Feb
