author,comments,sentiment,timestamp,like_count,tipe_produk,brand,segment,release_date
@CahayaCahayaandriani-co5yo,Jelek.. Samsung baru boleh,Negative,2024-11-08T05:53:55Z,0,Sharp Aquos Sense 8,Sharp,Mid-Range,24-Jan
@Zaiziliali-v5m,semua seri sharp seri middle. biar pun nyaman dipakai. kelemahan utamanya adalah kameranya burikkkk..burikk..beberapa kali beli seri yang berbeda. sama aja,Negative,2024-10-29T01:39:01Z,0,Sharp Aquos Sense 8,Sharp,Mid-Range,24-Jan
@Asdcryst,Kemarin sempat mau beli bgt karena butuh hp compact. Tp gatau dah kenapa malah nyasar S23😂 Tp bersyukur katanya barangnya bermasalah bgt di layar ya kalau lihat dr komen2?,Negative,2024-08-21T09:45:29Z,1,Sharp Aquos Sense 8,Sharp,Mid-Range,24-Jan
@Kadokaka-j4s,MAHAL 😂,Negative,2024-08-17T10:15:07Z,0,Sharp Aquos Sense 8,Sharp,Mid-Range,24-Jan
@SanPurasun,"Hp standar militer tapi layarnya penyakitan banget😂, lihat grupnya di fb hampir semua ngalamin layarnya lumutan setelah beberapa bulan pakai. Andai gada issue hardware gt si worth it ini hp.",Negative,2024-08-16T10:23:54Z,6,Sharp Aquos Sense 8,Sharp,Mid-Range,24-Jan
@robypaulana2761,"W yang beberapa kali beli sharp limbah jp ga aneh sama 3 launcher yang ditanem sharp, jadi bukan rahasia sih wkwk, malah w uninstall 2 lainnya",Negative,2024-08-16T06:28:28Z,1,Sharp Aquos Sense 8,Sharp,Mid-Range,24-Jan
@FOX97tech,"Pernah punya 2x, 2x retur garansi, burn in 2x juga😂 akhirnya direlakan, sebenernya top nih hp, sayang igzo olednya agak agak😅",Negative,2024-08-16T04:09:22Z,3,Sharp Aquos Sense 8,Sharp,Mid-Range,24-Jan
@jonathanrastogi7624,Ini hp engga seberapa laku tapi yang ngeluhin isue layar shadow/ bleeding lumayan banyak. Rata rata bisa klaim garansi sih berdasarkan pengamatan di grup fb.,Negative,2024-08-16T02:10:01Z,2,Sharp Aquos Sense 8,Sharp,Mid-Range,24-Jan
@BerbagiKerjaan-vm9dv,"Yg paling mengkhawatirkan ketika beli brand Sharp adalah layarnya, susah ditemukan dan jika ada pasti dengan harga tinggi",Negative,2024-08-16T01:23:03Z,0,Sharp Aquos Sense 8,Sharp,Mid-Range,24-Jan
@mystery3072,yg pertaman terlintas di kepala saya soal hp sharp itu layar bermasalah. dan itu terbukti dgn bbrp komen di sini.,Negative,2024-08-15T23:40:32Z,0,Sharp Aquos Sense 8,Sharp,Mid-Range,24-Jan
@Kanghpcilegon,Gak bakal laku,Negative,2024-08-15T19:47:11Z,0,Sharp Aquos Sense 8,Sharp,Mid-Range,24-Jan
@pokeone-z6i,Harganya harus bisa jegal vivo v30e spek betuk ckepan mana orng tau....,Negative,2024-08-15T19:43:37Z,0,Sharp Aquos Sense 8,Sharp,Mid-Range,24-Jan
@abdhee20,"Harganya itu looch.. Gemesin banget kalo masih segitu. Maklum lah, saya masih kaum mendang mending. Lebih ke Price to Mainstream 🤫😅",Negative,2024-08-15T18:09:12Z,0,Sharp Aquos Sense 8,Sharp,Mid-Range,24-Jan
@YuiwakaKen,"Igzo oled secara rat standar military harus nya cukup untuk jangka secara gelar, karena kasus yang membuat sharp itu menjdi Turun drastis selama beberapa tahun ke belakang karena penyakit layar nya DT (death touch) hingga di kasus dt di hp sharp itu menjadi hal biasa di marketplace mau pun negara asalnya jepang",Negative,2024-08-15T17:47:45Z,5,Sharp Aquos Sense 8,Sharp,Mid-Range,24-Jan
@hastazacharia,"udah pakai sejak sebelum hari raya kemarin. kelemahan hp ini sih di bagian depan kurang up to date dan Layar Oled Igzo nya Ternyata Gampang Green Screen dan Gampang Shadow. green screen nya seperti bleeding (Ini Terjadi di Zero 2 dan R7s Saya Beli Resmi, dan Sense 6 dan Zero 6 Beli Di Malaysia Ex Jepang). sampai sekarang pakai karena hp ini enak, compact 11-12 sama X10 VI Yang Gak Masuk Indo dan Battery nya Lumayan Awet Bayangin Body Sekecil Ini Dikasih 5000 Mah, Bahkan Samsung S23 Aja masih Dibawah 5000 haha.",Negative,2024-08-15T14:06:50Z,14,Sharp Aquos Sense 8,Sharp,Mid-Range,24-Jan
@dimasbagus41,"gw pernah beli nih hp, baru terima barang eh ternyata ada cacat produksi di layarnya yang green screen dan gampang burn in, karena gw belinya online ya gabisa retur juga, disamping ga ada video unboxing karena memang beli karena hp lagi rusak, akhirnya selang beberapa hari gw bawa ke service center karena burn innya makin makin nih, dapet ganti unit tapi harus nunggu 1 - 2 bulan, alhasil nunggu dah 1 bulan an, agak kechewa sih jujur dengan pelayanannya, dah beli baru eh ganti unit harus nunggu 1 bulan lebih itupun harus di tanyain di cecar terus ke cs dan service centernya karena lama banget 🥲karena kelamaan juga akhirnya beli hp lagi dah buat gantinya karena butuh buat kerjaan. setelah ganti unitnya dah gw terima, langsung gw jual aja. Males kalo harus rempong gitu lagi",Negative,2024-08-15T10:26:19Z,34,Sharp Aquos Sense 8,Sharp,Mid-Range,24-Jan
@jiqballl,"Menurut gw ini hp pasar nya kecil bet 😅, dimana di harga segini yg laku midrange jual mesin & midrange all round spek 😅.",Negative,2024-08-15T10:09:08Z,4,Sharp Aquos Sense 8,Sharp,Mid-Range,24-Jan
@Minepixeler24,"Menurutku spek dari Sharp sdh lumayan untuk pemakaian normal (jarang main game berat), tapi yg jadi pr dari Sharp adalah masalah aftersale mereka seperti garansi dan harga yg salah.",Negative,2024-10-10T11:38:09Z,1,Sharp Aquos Sense 8,Sharp,Mid-Range,24-Jan
@naekdavid949,"""18watt mah hape harga: 1jt-2jt, Lama bingits ngecasnya😅, Hp sekarang yg 2jt-3jt sudah diatas 33watt(Paling samsung yang masih setia di cas'qn 25watt). **Jadi beli Tecno Pova pro 5G, Layar ips sudah cukup, Clockspeed: 2,4, Ufs: 2,2, Cas'an 67watt, Harga gak sampe 2,5jt, 👀Android: 13, Ngecek OS android?? BNI mobile: Android 5 BCA mobile: Android 7 ☝😅Jadi OS sistem android 13 masih bisa dipake buat 5tahun kedepan.""",Negative,2024-08-01T06:59:00Z,0,Sharp Aquos Sense 8,Sharp,Mid-Range,24-Jan
@Kadokaka-j4s,6 jt ayo beli iphone 11 saja 😅,Negative,2024-07-21T06:00:46Z,0,Sharp Aquos Sense 8,Sharp,Mid-Range,24-Jan
@gtcenel8289,Kaya hp Smartfren,Negative,2024-07-10T04:33:41Z,0,Sharp Aquos Sense 8,Sharp,Mid-Range,24-Jan
@epgading,"Pingin sih karena Compact nya, tp sementara masih nyaman pake Xiaomi 12x.",Negative,2024-06-04T02:05:01Z,0,Sharp Aquos Sense 8,Sharp,Mid-Range,24-Jan
@bukanyoutuber5172,Tapi lcd sama sparepart lain belum ada dipasaran jadi kalo rusak dibuang aja,Negative,2024-05-29T13:49:19Z,1,Sharp Aquos Sense 8,Sharp,Mid-Range,24-Jan
@dtmalintang,"Gw beli januari di Rp 5,99 Jt di sharp official Store di Toped, 2 bln pake tiba2 suara hilang, claim garansi di ganti unit baru, proses 1 bulan, baru nyampe seminggu lalu,. skg harganya 4 jt an doank di reseller olshop,.. kalau performance dan kenyamanan pas di pegang boleh lah,. tapik kenapa harganya bisa drop begitu,.. jadi kecewa sudah beli di harga tertinggi, kedepannya mikir2 dulu mau ambil brand ini, kalau mau ambil brand japan lagi gue ke Sony aaja deh.😘😘",Negative,2024-04-30T09:23:51Z,2,Sharp Aquos Sense 8,Sharp,Mid-Range,24-Jan
