author,comment,sentiment,timestamp,like_count,tipe_produk,brand,segment,release_date
@rinzia2346,"""batre 5000 mah kerasa kurang awet ga sih di hp ini.12nm harusnya efisiensi daya cukup awet. dan kerasa anget kalo dipake jangka lebih dr 30 menit,apa karena jenis batre tipe Li ion""",Negative,2024-10-23T05:11:29Z,0,Tecno Spark 20C,Tecno,Entry-Level,24-Jan
@HABIIBURRAHMAAN,"Info ya kawan2,telefon ini tidak bagus untuk gaming karena chipsetnya Helio G36",Negative,2024-07-15T11:57:32Z,7,Tecno Spark 20C,Tecno,Entry-Level,24-Jan
@BangMamat-jm1cz,DEMI TUHAN AKU MENYESAL BELI TECNO SPARK 20.c....JANGAN SAMPAY KALIAN JADI KORBAN,Negative,2024-07-15T10:15:51Z,10,Tecno Spark 20C,Tecno,Entry-Level,24-Jan
@minpetir8799,yg saya rasain kok batre lumayan boros ya.ap cuma punya ku aj ap sma dengan yg laen.shering dong ad yg sma gk.,Negative,2024-06-16T01:23:44Z,1,Tecno Spark 20C,Tecno,Entry-Level,24-Jan
@AnugrahBintang-yb3bg,Punyaku kok gx ada tulisan NFC bagian depan box nya...apa beda harga ya....,Negative,2024-06-13T12:29:58Z,2,Tecno Spark 20C,Tecno,Entry-Level,24-Jan
@rosantieka5873,"Kak, nge-charge-nya emang lama atau punyaku aja? Bisa sampe 4 jam lebih",Negative,2024-04-21T10:17:56Z,1,Tecno Spark 20C,Tecno,Entry-Level,24-Jan
@JackAmbatukam,HPnya ngeleg njir bagus infinix smart 8 niat beliin buat adek padahal,Negative,2024-02-22T12:25:43Z,8,Tecno Spark 20C,Tecno,Entry-Level,24-Jan
@LiriklaguKu-x8s,"Bang kok punya ku g ada fitur nfc nya, solusinya dongssss...",Negative,2024-11-04T10:29:48Z,0,Tecno Spark 20C,Tecno,Entry-Level,24-Jan
@encischannel9849,Gue juga pake tekno spark 20c tp ko g ada nfc ya,Negative,2024-09-11T15:30:53Z,0,Tecno Spark 20C,Tecno,Entry-Level,24-Jan
@WelderIjo,hp dont play pubg nih,Negative,2024-05-03T12:14:37Z,0,Tecno Spark 20C,Tecno,Entry-Level,24-Jan
@indrawatydjabar3434,"HP ini tiba2 terhapus data atau kembali ke pengaturan awal, pas di restart lama dan harus download dan login kembali ke semua aplikasi. Padahal pemakaian biasa saja tidak terlalu berat.",Negative,2024-03-24T04:26:55Z,6,Tecno Spark 20C,Tecno,Entry-Level,24-Jan
@dikagaming4690,Kok aku pake buat main game kok lemot bangt bang padahl baru beli,Negative,2024-03-13T00:26:32Z,1,Tecno Spark 20C,Tecno,Entry-Level,24-Jan
