author,comments,sentiment,timestamp,like_count,tipe_produk,brand,segment,release_date
@mygenta3810,"Yaa koq jadi mediatek sii, padahal sblmnya selalu Snapdragon series 7",Negative,2023-11-23T17:10:12Z,0,iQOO Z8,iQOO,Mid-Range,24-Aug
@zzzzzzzzzzzzzzzzzzzzzzzz4760,Klw masuk indo 3 bulan lagi mending ambil iqoo z7 atau z8?,Neutral,2023-09-21T10:17:32Z,1,iQOO Z8,iQOO,Mid-Range,24-Aug
@deviddong6740,Moga varian tertinggi nya masuk jg di Indonesia ??,Positive,2023-11-19T15:26:34Z,2,iQOO Z8,iQOO,Mid-Range,24-Aug
@gapakulbetz,semoga datang ke indo 4jt an aja,Positive,2023-10-02T12:46:05Z,0,iQOO Z8,iQOO,Mid-Range,24-Aug
@Ryūken_ish,Masuk indo jadi berapa harga nya?,Positive,2023-09-10T00:32:31Z,0,iQOO Z8,iQOO,Mid-Range,24-Aug
@vxnashi1472,Masih lama ga masuk ke indonya,Positive,2023-09-08T10:01:46Z,0,iQOO Z8,iQOO,Mid-Range,24-Aug
@SSS-pe9lq,Mtk 8200 3-4jt nangis gk tuh xiomi 12t mtk 8100 ??,Positive,2023-09-08T05:33:59Z,2,iQOO Z8,iQOO,Mid-Range,24-Aug
@namasayasiapa,Dan yg lebih kagetnya harganya bkl di 4jtan?? Apakah iqoo sedang membakar duit? Kyk brand2 sebelumnya,Positive,2023-09-07T12:03:08Z,0,iQOO Z8,iQOO,Mid-Range,24-Aug
@ALPHAmywife,bkal msuk indo gk nih?,Positive,2023-09-07T02:50:30Z,2,iQOO Z8,iQOO,Mid-Range,24-Aug
@akungaming9758,Beneran min masuk indo?,Positive,2023-09-06T13:44:40Z,1,iQOO Z8,iQOO,Mid-Range,24-Aug
@muhakmal6437,"Stlh tiba di indo 5,5 juta??",Positive,2023-09-06T13:44:04Z,2,iQOO Z8,iQOO,Mid-Range,24-Aug
@reinalexander5550,"semoga iQoo Z masih mempertahankan panelnya yg IPS, jdi cocok untuk penggunaan jangka panjang",Positive,2023-09-05T22:39:41Z,10,iQOO Z8,iQOO,Mid-Range,24-Aug
@raflihidayat244,"Msuk indo 4,99 juta ni mah",Positive,2023-09-05T04:27:17Z,0,iQOO Z8,iQOO,Mid-Range,24-Aug
@ojiithr,Gak ngotak klo 3jtan. Z7 aja masih 4jtan ??,Positive,2023-09-05T03:39:20Z,2,iQOO Z8,iQOO,Mid-Range,24-Aug
@banihusen9987,Ditunggu di Indonesia,Positive,2023-09-05T03:16:41Z,3,iQOO Z8,iQOO,Mid-Range,24-Aug
@lmts.limit.alfarro402,emng dah ada jadwal launching nya di indo?,Positive,2023-09-05T02:41:16Z,0,iQOO Z8,iQOO,Mid-Range,24-Aug
@Debisadri24.12,"Masuk indo dah lah slesai tu Xiomi, Relme, infinix",Positive,2023-09-05T02:02:55Z,1,iQOO Z8,iQOO,Mid-Range,24-Aug
@ngawurwelah,wah mantap kalo masuk indo,Positive,2023-09-05T02:02:23Z,2,iQOO Z8,iQOO,Mid-Range,24-Aug
@agusriyanto1164,Yg ini masuk Indonesia jg ya min,Positive,2023-09-04T12:51:24Z,0,iQOO Z8,iQOO,Mid-Range,24-Aug
