sentimen,author,comment,timestamp,like_count,tipe_produk,brand,segment,release_date
netral,@penilbukifan,Pixel in resmi di indo gk y?,2024-11-17T05:41:37Z,0,Google Pixel 9,Google,Flagship,2024
netral,@UusKusnadi-u3n,Bukannya ilegal di Indonesia hp itu bang ?,2024-11-15T15:18:54Z,0,Google Pixel 9,Google,Flagship,2024
netral,@yusyusril2599,Apa perbedaan google pixel 9 pro biasa sama yang google pixel 9 pro XL,2024-11-15T01:36:27Z,0,Google Pixel 9,Google,Flagship,2024
positif,@erikharisandi7882,Bang rekomendasi toko yg jual hp pixel yg imei resmi dong,2024-11-14T16:55:31Z,0,Google Pixel 9,Google,Flagship,2024
negatif,@blacklook_,tapi klo diamati lebih jeli font default nya mirip mirip khas samsung,2024-11-13T16:02:27Z,0,Google Pixel 9,Google,Flagship,2024
negatif,@ariefendi2409,TAPI TAMPILAN DALAMNYA MASI SAJA KEINGET HPI THN 13AN😅,2024-11-12T16:18:24Z,0,Google Pixel 9,Google,Flagship,2024
positif,@DISCOBOXING,Keren,2024-11-12T05:51:08Z,0,Google Pixel 9,Google,Flagship,2024
negatif,@jdbrvlog6934,Ngehe lah pajak di indoooo..,2024-11-11T21:26:46Z,0,Google Pixel 9,Google,Flagship,2024
netral,@indrayadi4303,"Bgus mna versi 9 pro fold, apa sama??",2024-11-11T11:21:22Z,0,Google Pixel 9,Google,Flagship,2024
positif,@tfkroham4200,Beli di mana ya hp pixel yang jualan di indo,2024-11-11T00:04:58Z,0,Google Pixel 9,Google,Flagship,2024
positif,@eparsday,Kapan ya beli itu huhu,2024-11-09T18:13:31Z,0,Google Pixel 9,Google,Flagship,2024
netral,@setotriyuwono8432,hp google pixel ini resmi indo gak si?,2024-11-09T08:40:21Z,0,Google Pixel 9,Google,Flagship,2024
netral,@teguhchristiyono2709,Info harga,2024-11-09T04:16:38Z,0,Google Pixel 9,Google,Flagship,2024
positif,@saifannur6392,Belinya dimana bg,2024-11-09T03:41:24Z,0,Google Pixel 9,Google,Flagship,2024
positif,@DiniSalam-q5f,beli dimana bang,2024-11-06T21:32:10Z,0,Google Pixel 9,Google,Flagship,2024
negatif,@chrisprawiro,Mirip s10 Samsung bukan iphone hadeh,2024-11-06T15:59:13Z,0,Google Pixel 9,Google,Flagship,2024
positif,@yanapermana8963,Hp yg saya inginkan nih spek nya gahar2 design juga lain dari yg lain,2024-10-31T12:35:07Z,0,Google Pixel 9,Google,Flagship,2024
positif,@Suherdinar999,"Gw sebagai user pixel 6 pro emang gaada obat hasil jepretannya gokil parahh,pas liat launching pixel 9 ingin rasanya upgrade tp liat sikon dompet 😭😭",2024-10-27T14:16:31Z,0,Google Pixel 9,Google,Flagship,2024
positif,@MasBiim,Rekomen toko yg jual resmi di indo please,2024-10-24T15:27:47Z,0,Google Pixel 9,Google,Flagship,2024
positif,@iyonn-g3n,Di toped ada yang jual ga bang,2024-10-24T02:07:57Z,0,Google Pixel 9,Google,Flagship,2024
positif,@reresandopal7465,"Di indonesia kalo beli google pixel dimana?
Aku belum pernah pake android , pengen upgrade dari ios ke android tapi mau nya pixel tapi aku gapernah nemu 
Ada yg bisa rekomendasi?",2024-10-23T17:20:31Z,0,Google Pixel 9,Google,Flagship,2024
positif,@image3149,Hp impian,2024-10-23T12:11:54Z,0,Google Pixel 9,Google,Flagship,2024
positif,@BegitulahManusia,Rumor hp paling safety enkripai nya .aman,2024-10-22T06:12:27Z,0,Google Pixel 9,Google,Flagship,2024
positif,@lintangnova,pengen bgt yg peony belinya dimana kalo di indo yg terpercaya huhuhu ada yg tau drop link boleh?,2024-10-21T04:06:27Z,0,Google Pixel 9,Google,Flagship,2024
positif,@korronk2848,"Iphone tenggelam donk bang, beli di mana pixel itu bang? Ada ngga di indonesia?",2024-10-20T10:03:54Z,0,Google Pixel 9,Google,Flagship,2024
netral,@antonikovaja236,E-sim itu gimana sih mksdnya cara kerja nya?,2024-10-20T03:06:54Z,0,Google Pixel 9,Google,Flagship,2024
positif,@Cream-p3n,Di hp pixel lah kalian bakal menyadari antutu itu cuma angka,2024-10-19T06:10:17Z,0,Google Pixel 9,Google,Flagship,2024
positif,@AdlinaNurSabrina,Info beli google pixel dmn ya?,2024-10-17T08:56:01Z,0,Google Pixel 9,Google,Flagship,2024
positif,@yakabay,"ini yg di suka dari google pixel, beda dari yg lain tapi tetap cakep desain kameranya, tapo fitur kameranya lebih bagus kalo pake tripod sih kyknya soalnya kalo megang langsung pasti getar",2024-10-17T05:03:56Z,0,Google Pixel 9,Google,Flagship,2024
netral,@sitinurazizah5589,Saya kerja di Jepang kalo beli HP google pixel 9 bakal kena bea cukai semisal pulang ke indo?,2024-10-14T11:29:28Z,0,Google Pixel 9,Google,Flagship,2024
negatif,@heahonhe,Masih stay di pixel 6a 😂,2024-10-11T09:29:23Z,0,Google Pixel 9,Google,Flagship,2024
positif,@Serra-nz3lx,Kayaknya kalo gw beli ini gw beli casing desain Among us kali yak😂😂😂,2024-10-10T10:49:10Z,0,Google Pixel 9,Google,Flagship,2024
positif,@faizhmdnii,HP Idaman Gopix 2XL Ajah Udah Mantep Hasil Video/Fotonya Apalagi Ini Bekhhh Gak Ada Obat Dah 😁,2024-10-10T09:00:39Z,0,Google Pixel 9,Google,Flagship,2024
positif,@GendehGroup,Beli nya dmn ini bang.. di indo blm ada yak,2024-10-09T04:30:34Z,0,Google Pixel 9,Google,Flagship,2024
positif,@JakwirSaklawase-ec8hn,Kalo mau beli hp Gopix yg sinyal permanent dimana sih bang?? Adakah link nya,2024-10-08T11:27:08Z,0,Google Pixel 9,Google,Flagship,2024
positif,@asrulismail837,"Bang, bisa minta tolong spill link tempat beli hp google pixel bekas yang masih bagus dong",2024-10-06T14:34:33Z,0,Google Pixel 9,Google,Flagship,2024
positif,@edniskandar,Linknya om,2024-10-06T09:23:53Z,0,Google Pixel 9,Google,Flagship,2024
positif,@produkpurbalingga1916,"Aduh kapan bisa pake hp sebagus itu, ini aja pake asus max pro m2 padahal hp dah lama banget",2024-10-06T09:05:43Z,0,Google Pixel 9,Google,Flagship,2024
positif,@rustofficial2658,Kameranya cocok buat kaum introvert,2024-10-06T01:45:29Z,0,Google Pixel 9,Google,Flagship,2024
negatif,@d.cahyonugroho5950,Bagus cm... Mihilllll,2024-10-05T09:08:51Z,0,Google Pixel 9,Google,Flagship,2024
positif,@TentangIni,Ya allah... Hp impian. Alhamdulillah kebelinya pixel 7 . Semoga kebeli dah,2024-10-04T06:06:56Z,7,Google Pixel 9,Google,Flagship,2024
positif,@diffadiffoaljabardifa5243,bang info toko buat beli google pixel dimana.. ?,2024-10-02T03:58:44Z,0,Google Pixel 9,Google,Flagship,2024
positif,@anashchan4548,Smarthphone impian setelah xperia ❤,2024-10-01T09:48:58Z,0,Google Pixel 9,Google,Flagship,2024
positif,@rsmsnn8649,"pake pixel 4 masih bagus bgt, apalagi pixel 9!😩",2024-10-01T02:05:37Z,0,Google Pixel 9,Google,Flagship,2024
netral,@Dwnggaprtmaa,Ini resmi masuk indo kah?,2024-10-01T01:07:10Z,0,Google Pixel 9,Google,Flagship,2024
netral,@bryanputra9379,kabel nya beli dimaja bg moga di jawab😅,2024-09-27T10:35:07Z,0,Google Pixel 9,Google,Flagship,2024
positif,@Msarirrr,User ios yang pindah ke pixel❤,2024-09-25T09:21:44Z,0,Google Pixel 9,Google,Flagship,2024
negatif,@chalrist,Google yg ga sperti lainnya yg serba gratisss.  Ini over prices,2024-09-23T10:22:53Z,0,Google Pixel 9,Google,Flagship,2024
positif,@RioNur-l7k,Bismillah bisa beli google piexel,2024-09-22T11:24:53Z,0,Google Pixel 9,Google,Flagship,2024
netral,@Minepixeler24,Saran agar compare dengan iPhone 16 Pro Max,2024-09-22T05:09:44Z,1,Google Pixel 9,Google,Flagship,2024
netral,@CriatianoRonaldo07,"Udh 3 thn pake gopix 4a,blm bosen juga 😂",2024-09-21T11:08:15Z,0,Google Pixel 9,Google,Flagship,2024
positif,@indahkurnia1044,Beli dimana y kalau hp pixel ? Yg tau bisa rekomend,2024-09-20T03:00:46Z,0,Google Pixel 9,Google,Flagship,2024
positif,@wongedewechannel3916,Hedeh... Gue punya pixel 6 (retak banyak gak ngaruh) aja blom sanggup beli LCD ni dah kluar lagi....😢😢,2024-09-18T16:24:29Z,0,Google Pixel 9,Google,Flagship,2024
negatif,@meigishafardi4823,"Heyyy Google Indonesia, tolonglah masukkan Pixel ke Indonesia 😅",2024-09-18T16:16:56Z,0,Google Pixel 9,Google,Flagship,2024
negatif,@oppoatigas-wc1tj,"ga usahlah review gadet yang ga terbit di sini, useless",2024-09-18T06:28:54Z,0,Google Pixel 9,Google,Flagship,2024
positif,@wjsofficial4877,Gempur gempur iPhone tapi tetep google pixel❤,2024-09-18T01:47:39Z,0,Google Pixel 9,Google,Flagship,2024
netral,@ilhamnirvana6698,Kalo beli pixel udah pasti di toko online ya? Dan cara cari toko yang amanah seperti apa yaa . Pernah beli pixel 3 eh setahun doang colokan charger nya eror . Al hasil jadi bootlop,2024-09-17T15:34:59Z,0,Google Pixel 9,Google,Flagship,2024
netral,@devanrahadi2636,"5g dan VoLTEnya gimana bang? 
Soalnya katanya kalau gak di root gabisa tapi aku liat website 5g coveragenya google udah dihapus, dan di update android terbaru katanya udah gak ada 5g lock gitu
Tapi masih belum tahu soalnya gapunya barangnya hehe😅",2024-09-17T09:35:18Z,0,Google Pixel 9,Google,Flagship,2024
positif,@AegisAlJunayd,"Daily driver s20+ tiba2 ngeblank, searching2 buat hp pengganti, nemu Pixel 9 pro xl 256gb cuma 14 jutaan di market place Jepang. Kok bisa murah dari harga google store ya.. 🧐",2024-09-17T02:41:39Z,0,Google Pixel 9,Google,Flagship,2024
positif,@FannyYH-a7x,Link pembelianya mana bang?,2024-09-17T02:17:36Z,0,Google Pixel 9,Google,Flagship,2024
positif,@ahmadsaefudin2158,Beli dimana bang yg rekomen online atau offline daerah jakarta,2024-09-16T17:53:43Z,0,Google Pixel 9,Google,Flagship,2024
positif,@bhismaput4584,hp idaman gua ni😭,2024-09-16T16:32:26Z,0,Google Pixel 9,Google,Flagship,2024
positif,@aingkoplak2999,Klo beli gitu dimana ya bg,2024-09-16T16:28:42Z,0,Google Pixel 9,Google,Flagship,2024
positif,@vascov6577,Belinya dmn y?,2024-09-16T12:39:11Z,0,Google Pixel 9,Google,Flagship,2024
netral,@aditiaputrakurniawan7173,Wahhh menurutku bentuknya norak ya? Tp itu ciri sendiri.,2024-09-16T12:23:24Z,0,Google Pixel 9,Google,Flagship,2024
positif,@annisakarieem,hp idaman gw❤,2024-09-16T03:31:57Z,0,Google Pixel 9,Google,Flagship,2024
positif,@desu4898,"Nonton ini di PX 6A, pengenn upgrade 😭😭",2024-09-15T16:36:40Z,0,Google Pixel 9,Google,Flagship,2024
positif,@SheilaHana-c9c,Tempat beli pixel di indo dimana ya kak?,2024-09-15T14:44:08Z,0,Google Pixel 9,Google,Flagship,2024
netral,@dhiopalem,"Kabel nya mungkin bang, mau adapter sampe berapa kalo kabelnya support nya segitu sama aja harusnya",2024-09-15T05:02:40Z,0,Google Pixel 9,Google,Flagship,2024
negatif,@maviz7065,Hp flagship prosessornya kentang ini bang,2024-09-15T01:53:47Z,0,Google Pixel 9,Google,Flagship,2024
negatif,@PetualangWawasan,Generasi ke-9 masih belum bisa membuatku berpaling dari xperia 😁❤,2024-09-14T19:10:05Z,0,Google Pixel 9,Google,Flagship,2024
negatif,@dedysetiawan3589,masih setia pake pixel 4 xl😀,2024-09-13T07:21:58Z,0,Google Pixel 9,Google,Flagship,2024
netral,@yusufihsan110,Sepertinya untuk setiap negara beda tuningnya untuk google pixel ini,2024-09-13T04:11:05Z,0,Google Pixel 9,Google,Flagship,2024
positif,@iskokhususon7086,"Sekian lama nabung dan pengin banget beli HP compact.Loh kok GoPix ngeluarin 8a.Langsung check out dan ya,pixel memang sebaik itu...puas",2024-09-13T02:07:43Z,0,Google Pixel 9,Google,Flagship,2024
netral,@irone8901,Itu fiturnya Nubia udah ada,2024-09-12T22:11:48Z,0,Google Pixel 9,Google,Flagship,2024
netral,@kereta_Api_CC206,Coba add me ketika matahari terbenam. Apakah ketinggian matahari berbeda?,2024-09-12T13:31:28Z,0,Google Pixel 9,Google,Flagship,2024
netral,@kereta_Api_CC206,Kena di bandara brapa bang?,2024-09-12T13:10:03Z,0,Google Pixel 9,Google,Flagship,2024
