sentimen,author,comment,timestamp,like_count,tipe_produk,brand,segment,release_date
negatif,@GregoLeftungun-ol6lc,Mending Vivo x100 kameranya beda jau vivo di atas,2024-11-14T08:15:10Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,10-Sep-24
negatif,@AndriSetiawan-t7j,Gak pengin sama sekali ama hp lipat,2024-11-11T19:56:34Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,10-Sep-24
netral,@kusharjanti5531,Ini udah nyampe di Indonesia belum kak Dhiar,2024-11-11T08:06:30Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,10-Sep-24
positif,@Al-Maduri,Bagi gua satu aja bang😢😢😢,2024-11-11T01:08:56Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,10-Sep-24
positif,@WiliSakimah,haha keren,2024-11-10T15:14:11Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,10-Sep-24
positif,@risyanchanel7803,"keren,,aku ngebayangin batrei nya setipis kartu nama",2024-11-09T03:59:17Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,10-Sep-24
positif,@marvelgraphicsstyle4552,Wawei memang nggak ada matinya 🎉😎,2024-11-07T20:45:06Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,10-Sep-24
positif,@muhammadalwidman8677,"Bayangin aja klu pakai SOC dimensity 8000 atau Snapdragon terbaru yang kena skandal. Betapa op Huawei Mate XT Ultimate. Semua brand lewat ibarat disaat bran lain masih di bulan, sementara Huawei dah di galaxy Andromeda 😂",2024-11-07T01:35:46Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,10-Sep-24
positif,@suhendarcepta9028,Ketemu bang dhiar nanti sy minta hp lah😊,2024-11-06T17:26:10Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,10-Sep-24
negatif,@kangmasryanwijaya104,Kalok camere kurang ahh,2024-11-06T10:57:38Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,10-Sep-24
positif,@udinwerloh9136,joz,2024-11-05T18:00:40Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,10-Sep-24
negatif,@Riskijonathanchanel,Dapet motor beat 2 biji gak tuh😂,2024-11-04T21:44:26Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,10-Sep-24
positif,@anggayudi7077,Tablet tercanggih didunia saat ini,2024-11-04T05:23:11Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,10-Sep-24
positif,@hadiprayetno9267,"Inovasi Huawei memang sangat, sangat,.amat sangat keren 😂😂",2024-11-03T13:22:25Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,10-Sep-24
negatif,@saiful_rider,"Gila babi.pajaknya ,,,konoha konoha",2024-11-03T07:23:49Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,10-Sep-24
netral,@thomasutina2023,Buka channel ini klo penasaran sama hp yg ga masuk ato blm masuk indo😂,2024-11-03T01:20:08Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,10-Sep-24
negatif,@Modbosster,47 cuman om .,2024-11-01T13:58:11Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,10-Sep-24
negatif,@kvlnnguyieb9522,sekarang jadi olokan orang2 china ini hp 😂😂😂,2024-10-31T11:47:15Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,10-Sep-24
positif,@mdafa9498,Auto beli buat pemer ne❤❤❤,2024-10-31T04:27:43Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,10-Sep-24
positif,@alfchannel2099,wow,2024-10-30T11:24:27Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,10-Sep-24
