sentiment,author,comment,timestamp,like_count,tipe_produk,brand,segment,release_date
negatif,@MicoDub-lr3ou,Hape mahal jelek.  Buka. Android juga.  Enak android bisa nuat nuyul hapemya 😅,2024-11-16T08:06:45Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@Audriana-em3zi,kalo video mah mending i phone atau samsung memang,2024-11-13T02:39:25Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@devilbaldbull,Kapan yah yg resmi indo,2024-11-12T13:11:06Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@maelatulazizah965,Huawei pura 70 ultra belinya dimana? Keknya jarang yah di Indonesia ada,2024-11-08T16:43:00Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@Gembosmu,Pengen bang tpi gk punya duit,2024-11-07T07:20:20Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@bxrxxy,pura70 rasa pura2x,2024-11-04T07:15:39Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@Asrian0801,Intinya Huawei dipersulit amerika karena produk nya terlalu bagus,2024-10-30T12:27:54Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@ArmanManto-ks7ql,Alasan huawei di jegal AS knp ya,2024-10-27T05:12:32Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@adisr2435,OVERPRICE SEMUA HP HP BEKAS NYA AJA SOK MAHAL SEMUA. Design nya JELEK NAMANYA ANEH,2024-10-27T01:08:29Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@Feris.E,"Akhirnya... Setelah sekian lama gak pernah merasakan begitu pengennya sama smartphone..Terkahir pernah sangat2 ngiler itu pas jaman Lumia 950 dan P30 pro. Desainnya, fitur nya, hardware nya, software nya... Benar2 masterpiece. Bukan cuma smartphone yg unggul di satu sisi dan mengorbankan sisi2 yg lain. Anyway, Lumia 950 sudah dilelang ke rekan penggemar fotografer karena unsur nostalgia. Tapi P30 pro masih ada dan masih mulus berfungsi normal. Layar masih cling, kamera masih sangat mumpuni, bodi masih mulus, hardware belum pernah servis atau bongkar, batre masih bertahan seharian pemakaian normal, cuma software aja yg udah mulai ngap2 an karena gak ada update. 😁",2024-10-26T05:19:38Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
