sentimen,author,comment,timestamp,like_count,tipe_produk,brand,segment,release_date
negatif,@AzzamAulianRamadhan,Iphone 11 aja blom kebli 😂,2024-11-17T01:02:58Z,0,iPhone 16,Apple,Flagship,24-Oct
negatif,@A2NPROJECT69,"Ati ati kena pidana kalau dibawa ke indonesia meskipun sudah bayar cukai,",2024-11-17T00:31:35Z,0,iPhone 16,Apple,Flagship,24-Oct
negatif,@ociabdullah25,"Di berita.. Katanya iphone 16 illegal.. Dilarang masuk indonesia.. 
Dan di Larang mempromosikan iphone 16..
Hati2 kena pasal.. Karena mempromosikan produk yang dilarang pemerintah..
Sebaiknya videonya dihapus",2024-11-16T18:43:34Z,0,iPhone 16,Apple,Flagship,24-Oct
negatif,@MochamadKevin-p2l,Mending buat shodaqoh anak yatim  piatu,2024-11-16T18:12:02Z,0,iPhone 16,Apple,Flagship,24-Oct
negatif,@GinzGinanjar-g8f,Barang ilegal ngapain di bahas bro,2024-11-16T16:35:39Z,0,iPhone 16,Apple,Flagship,24-Oct
negatif,@nabitapati645,Alhamdulillah udah  kebeli  16 promax  minggu  ini,2024-11-16T10:32:46Z,0,iPhone 16,Apple,Flagship,24-Oct
negatif,@finaldikurniawan,tim yang masi make ip 14,2024-11-15T19:07:18Z,1,iPhone 16,Apple,Flagship,24-Oct
negatif,@MalikWicaksono-j7t,Iphone 16 jangan masuk kalau masih nuntut free tax 😅,2024-11-15T15:27:06Z,0,iPhone 16,Apple,Flagship,24-Oct
negatif,@cremichannel756,Kasihan rakyat Indonesia beli iphone harus ke luar negeri sebrang padahal iphone di Indonesia laku berat,2024-11-15T11:07:35Z,0,iPhone 16,Apple,Flagship,24-Oct
negatif,@aminridwan-rx2og,Beuuh malah beli. Iphobe 16     sombong amat ..udah jelas dilarang negara ..dasar lho,2024-11-15T10:07:30Z,0,iPhone 16,Apple,Flagship,24-Oct
negatif,@arock-2431,Ilegal,2024-11-15T07:07:36Z,0,iPhone 16,Apple,Flagship,24-Oct
negatif,@KhairaQuinzia,"dukung pemerintah la..
kalo begini sama saja dengan penghianat bangsa..",2024-11-14T18:23:41Z,0,iPhone 16,Apple,Flagship,24-Oct
negatif,@silvaoke7566,14promax sudah ckup Alhamdulillah🤲,2024-11-14T08:48:50Z,0,iPhone 16,Apple,Flagship,24-Oct
negatif,@muhamadfauzishinichi8293,Saya gak setuju iphone 16 masuk ke indo karena udah songong iphone sekarang,2024-11-14T06:17:32Z,0,iPhone 16,Apple,Flagship,24-Oct
negatif,@iwanadicandra3509,"👮iphone 16 Produk ilegal , tanpa bayar pajak indonesia.., siap siap di penjara jika di jual diam diam di indonesia... Polisi mana Polisi...👮👮",2024-11-13T20:32:11Z,0,iPhone 16,Apple,Flagship,24-Oct
netral,@drewchristianjr,"Review/Reaction yang selalu ditunggu.
September baru beli 15pro jdi selama 4-5thn kedepan jadi tim nonton saja.. wkwkw",2024-11-13T17:42:10Z,0,iPhone 16,Apple,Flagship,24-Oct
negatif,@nrwtellingstories1004,14 pro sudah mencekik 😮😮😮,2024-11-13T07:43:08Z,0,iPhone 16,Apple,Flagship,24-Oct
negatif,@nrwtellingstories1004,"Niat tp mahal, klo mau korupsi yah gak pp mahal 😂",2024-11-13T07:41:58Z,1,iPhone 16,Apple,Flagship,24-Oct
positif,@as-belajarhunting6028,hp iphone model nya memang paling bagus menurut saya🤩👍👍,2024-11-13T07:41:36Z,0,iPhone 16,Apple,Flagship,24-Oct
negatif,@dhimazjo,PRO itu kepanjangan apa ya ? serius tny. Lu ngapain beli si vid? katanya nasionalis ?,2024-11-13T06:30:14Z,1,iPhone 16,Apple,Flagship,24-Oct
negatif,@EggaDinar,Hati hati om kena pasal 35 peraturan 36,2024-11-13T00:14:44Z,0,iPhone 16,Apple,Flagship,24-Oct
negatif,@jackman4004,Geli emang masih 60hz,2024-11-12T16:28:49Z,1,iPhone 16,Apple,Flagship,24-Oct
negatif,@yosameka1610,"Baru liat berita, dilarang mempromosikan ip 16 bwang, sudah di ilegal kan",2024-11-12T16:15:53Z,3,iPhone 16,Apple,Flagship,24-Oct
negatif,@budichandrakusuma6976,Boikot apple sebelum buka pabrik di indonesia..,2024-11-12T12:17:12Z,1,iPhone 16,Apple,Flagship,24-Oct
negatif,@ibad0405,"percuma kalau bawa ke indo, ilegal...",2024-11-12T10:16:24Z,0,iPhone 16,Apple,Flagship,24-Oct
negatif,@Ki18T30,Mampos lo bang iPhone 16 series IMEI nya di blokir pemerintah 🎉🎉,2024-11-12T10:16:23Z,1,iPhone 16,Apple,Flagship,24-Oct
negatif,@joegigs-f1o,Minta masuk pasar Indonesia tapi minta HOLIDAY TAX 50 tahun... Whuaaaattt??!,2024-11-12T09:58:17Z,1,iPhone 16,Apple,Flagship,24-Oct
negatif,@ayuuchan3l,Dan sekarang iphone 16 di banned di Indonesia,2024-11-12T07:58:00Z,0,iPhone 16,Apple,Flagship,24-Oct
negatif,@Mamanracing56,Mudah mudahan iPhone gak masuk indo,2024-11-12T04:47:00Z,1,iPhone 16,Apple,Flagship,24-Oct
positif,@Kiara_sexy_dress,Pabrik akan di buka di indonesia,2024-11-12T04:36:52Z,0,iPhone 16,Apple,Flagship,24-Oct
netral,@Grade_id,Cuma liat ga mungkin beli😂,2024-11-12T03:17:11Z,0,iPhone 16,Apple,Flagship,24-Oct
negatif,@maddrybspnmaddry3587,Selamat kalian tim creator menjadi DPO karna IP barang ilegal ...,2024-11-11T17:29:33Z,1,iPhone 16,Apple,Flagship,24-Oct
negatif,@singgihprasetiyobudiarjo3097,"Katanya di review bea cukai nya bang, gua pantengin sampai habis kagak ada 😅",2024-11-11T15:58:12Z,0,iPhone 16,Apple,Flagship,24-Oct
negatif,@cahayacinta2228,hhp batangan yg maunya untung sendiri😆,2024-11-11T15:55:44Z,0,iPhone 16,Apple,Flagship,24-Oct
negatif,@iskandaroti9253,"Sebaiknya bea Cukai menyita iphone 16 yang di beli dari luar kalau masih tersegel/dalam Doss dengan alasan apapun, demi peraturan Pemerintah yang sudah di beritakan.",2024-11-11T12:05:59Z,0,iPhone 16,Apple,Flagship,24-Oct
negatif,@SopiaHariani-t4w,500 rbu aja gw ga sudi 😂😂😂 hp tai,2024-11-11T09:31:34Z,0,iPhone 16,Apple,Flagship,24-Oct
