sentimen,author,comment,timestamp,like_count,tipe_produk,brand,segment,release_date
negatif,@sousacarvalhodesign4194,Mirip dengan iklan Samsung.,2024-11-15T11:59:22Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
positif,@Adamisthecoolboy,Ini tidak nyata.,2024-11-14T17:15:39Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
positif,@LucyBackup,"Hal berikutnya, kita akan tahu bahwa kameranya akan langsung menyatu.",2024-11-13T03:07:17Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
netral,@chandrikamahant7501,Tempat ukuran kecil.,2024-11-12T04:15:37Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
positif,@chandrikamahant7501,Tampilan yang bagus.,2024-11-12T04:15:02Z,1,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@PreppyGirl-2000,"APPLE TIDAK AKAN KEMBALI KE MASA LALU, BUAT IPHONE YANG LEBIH BESAR DAN LEBIH BAIK",2024-11-10T02:19:59Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
netral,@dhrslayer,"Oh, ponselnya akan ringan, tapi baterainya hanya 100mAh",2024-11-08T16:16:52Z,1,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
netral,@ณัฐพงษ์นนท์ศรี-ธ7ว,iPhone XR,2024-11-08T11:09:18Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
netral,@Yefriart88,Kaligrafi yang dihasilkan cenderung ke kosmetika,2024-11-07T00:20:50Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@TemurbekAbdukarimov-ct3py,iPhone XR❌ iPhone 17✅😂😂😂,2024-11-06T17:33:28Z,1,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
positif,@Sudden-Champion24,Saya suka tiga tonjolan kameranya. Ini membedakan iPhone dari Samsung. Membuat iPhone terlihat seperti iPhone. Saya juga suka Dynamic Island.,2024-10-31T21:28:03Z,1,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
netral,@Kitao9,Mereka harus mempekerjakanmu.,2024-10-31T04:48:04Z,1,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
positif,@elf_channell,Apple mungkin akhirnya akan merilis ponsel tanpa kamera.,2024-10-30T18:38:48Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
positif,@RaimGamingyt,Awalnya saya pikir ini adalah iPhone Xr,2024-10-29T13:09:41Z,1,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
netral,@YüsraŞinikoğlu,Saya dari Turki.,2024-10-29T07:07:27Z,1,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
netral,@lumcheeleong444,Airluminium?,2024-10-27T11:28:22Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
positif,@Ranz1221,Animasi yang hebat.,2024-10-25T10:56:22Z,1,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
