author,No.,Comment,Sentiment,Reason,timestamp,like_count,tipe_produk,brand,segment,release_date
@hyza5404,1,"""pernah pake zenfone 2 laser dulu,hp pertama buat maen pubg dari versi cina,dan kalau main pubg tu harus malem,backdoor nya bisa di copot,jadi gak terlalu panas""",Neutral,"Comment shares past experience with Asus, not specifically about Zenfone 11 Ultra.",2024-11-16T22:44:45Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@pratamafaa,2,"""sedih sih hp compactnya di ilangin.pdahal desainnya cakep poll zenfon 10""",Negative,Dissatisfaction about the compact phone being removed.,2024-11-16T17:45:15Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@FaisalNurulKhaq,3,"""Di Tokped harganya sudah 7,5jtaan, dah dapet snap 8 gen 3.""",Neutral,"Comment about the price of the Zenfone 11 Ultra, not an opinion.",2024-11-14T14:22:53Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@SyaniaMajuBersama,4,"""Asus sedih, asus sedih banget""",Negative,Expresses disappointment with Asus.,2024-11-10T14:06:09Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@davidguok6937,5,"""Sekarang Asuz kalah saingan sama infinix dan itel""",Negative,Comment on Asus's competitiveness compared to other brands.,2024-11-10T12:14:02Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@johaneswezt70,6,"""7:44 sangat menyindir yg cuman bisa mengucap 'kangen sih sama handphone compact', tapi asli gua pen banget ngumpulin duit buat beli Zenfone 10, karena setelah gua pikir�, udah makin tua, tambah umur, jadi kek males maen game, jadi layar yg terlalu lebar jadi tidak terlalu bergua buat gua, layar kecil aja sih udh cukup digenggam satu tangan""",Neutral,"Mixed comment, expressing interest in Zenfone 10 but not directly about Zenfone 11 Ultra.",2024-11-06T10:44:01Z,1,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@taufikherjanto,7,"""Yaaah gak compact lagi""",Negative,Disappointment about the lack of compact phones.,2024-11-05T06:38:47Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@galaxyultraxp,8,"""ROG 8 ULTIMATE LEBIH BAGUS buat dengerin musik""",Negative,"Comparing to another model, stating it's better for music.",2024-11-02T13:34:33Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@ulatbulu259,9,"""Udah seminggu make Zenfone 11 ultra. Performa game sadis, speaker sadis, kamera sadis. Ngetik inipun pakai Zenfone 11 ultra. Sangat puas""",Positive,Positive feedback about the Zenfone 11 Ultra.,2024-11-01T17:23:55Z,1,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@yohanesfernando1500,10,"""menurut saya review ini sangat membantu untuk mempertimbangkan membeli hape flagship agar kita tau performa dan spek dari hape tersebut agar kita tidak salah beli""",Removed,"Comment about the review itself, not the phone.",2024-10-31T01:18:38Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@ulolo6022,11,"""nonton ini dengan hp Asus Zenfone Max pro M1 dari sejak bang david Review sampe sekarang masih belom ganti, Mau sedih tapi sudah terlanjur""",Removed,"Comment about the device used to watch the review, not about Zenfone 11 Ultra.",2024-10-21T16:41:02Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@uchihazai107,12,"""Saya pengguna asus dr 2015 sampe sekarang. Dr zenfon laser zenfon 010d batre pertama ditahun 2015 dgn 5000mah..2019 pegang zenfon max pro2 sampe sekarang oktober 2024 cuma udah servis konektor 4 kali sama ganti batre sekali... Yg ku suka dr asus lcd yg pake corning gorilla glass yg kuat pernah jatuh dr motor gak pecah layar normal cuma dikit ngangkat.. Sampe sekarang normal aja masih pake ram4 gak buat ngegame sih""",Neutral,"Shares experience with older Asus models, not about Zenfone 11 Ultra.",2024-10-21T09:23:39Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@akhim5065,13,"""Semoga Asus kedepan mau bikin hp 1-2 jutaan lagi, pasti langsung beli, belum bisa move on dari zenfone max m1""",Removed,"Hope for future phones, not related to Zenfone 11 Ultra.",2024-10-18T16:46:28Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@perong,14,"""Padahal kalo layar 6.3inch aja enak di tangan,""",Negative,Disappointment about the screen size.,2024-10-13T13:30:39Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@RahmadEnggarPamungkas-om9uz,15,"""Beli ini binggung service center nya dimana""",Neutral,"Question about service center, not an opinion on the phone.",2024-10-13T12:18:01Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@RaginYak,16,"""Made in Indonesia ??""",Neutral,"Comment on where it's made, not about the phone itself.",2024-10-11T09:54:34Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@ShimaChizof,17,"""minta saran temen temen sekaliannn.. worth it ga ya ambil ni zenfone 11 😭🙏 krn harganya jomplang bgtt kalau dikita dibanding pasar US/Eur yang masih nyentuh harga $799/€799 sedangkan iphone + samsung bahkan yg versi flagship disana start dari $300-an tp OS dan keamanan ponsel lebih bagus iphone + samsung huhu bingungg kebutuhan buat daily aja sih bangg sama jangka panjang tp trauma sebelumnya udah 2x ilang pake hp cina (poco & vivo) pgn cari yg secure kalau misal dicuri (kata orang ambil aja iphone / samsung) tp kaya ga worth it, soalnya budget di harga 6-7jt keknya msh bisa dapet zenfons""",Neutral,Request for advice on whether the Zenfone 11 Ultra is worth buying.,2024-10-06T17:08:07Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@Jalalridwan,18,"""ASUS ZENFONE SELFIE 2015""",Removed,"Off-topic, not about Zenfone 11 Ultra.",2024-10-02T09:51:54Z,1,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@JaremaPurba,19,"""Nonton ini pakai asus zenfone max pro m1""",Removed,"Comment about the device used to watch the review, not about Zenfone 11 Ultra.",2024-09-28T14:23:39Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@padmadiw319,20,"""zenfone 11 ultra ada updatenya g bang kaya samsung yg bs update hingga 7 tahun""",Neutral,Question about updates for the Zenfone 11 Ultra.,2024-09-27T15:21:41Z,1,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@kidssong6833,21,"""ok""",Neutral,No opinion or context given.,2024-09-26T04:11:25Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@naufalnafis2166,22,"""terakhir pake zenfone 6 flip...sebenarnya suka sama kameranya cantik bening gitu..tapi kurang suka sama model dan warnanya kurang cantik..ni hp kayaknya segmennya cocok buat cowok aja kali ya""",Neutral,"Reflecting on experience with Zenfone 6 Flip, not about Zenfone 11 Ultra.",2024-09-23T04:47:43Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@rifkimuhandis2407,23,"""Aku pake zenfone 5z sudah 5 tahunan pake Alhamdulillah awet sampe sekarsng dan masih enak dipake .. ini yang modelnya kayak iphone 10 dulu .hahaha""",Neutral,"Reflecting on experience with Zenfone 5Z, not about Zenfone 11 Ultra.",2024-09-20T14:02:58Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@Ibuabyan93,24,"""Nonton ini pakai asus zenfone max pro m1😅""",Removed,"Comment about the device used to watch the review, not about Zenfone 11 Ultra.",2024-09-17T03:11:41Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@GNClass17,25,"""Asus zenfone 11 ultra 2024 aku buat konten sepi terus.. tapi tetap semangat buat konten untuk menghibur kalian semua.. Dan Semoga Bisa Menghibur Kalean Semua Ya Guys Ya.. Mohon Maaf Kalau Belum Bisa Menghibur Kalean Semua Ya Guys Ya..""",Removed,"Off-topic comment about content creation, not relevant to Zenfone 11 Ultra.",2024-09-16T16:39:37Z,1,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@feelingbassmusic622,26,padahal saya suka asus karna ukurannya compact.. malah digedein. harusnya ada variannya lah,Negative,Dissatisfaction with the size increase of the phone.,2024-09-10T03:06:07Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@robbyprastowo7785,27,dari 12 mini pindah ke zenfone 11 ultra. sangat tidak menyesal meskipun mungkin umurnya pendek karena cuma dapet 2 taun apdet,Positive,"Positive sentiment about the phone, despite concerns about updates.",2024-09-08T10:50:20Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@agusaldin,28,pengen laku diindo ya asus harus bikin hp level 2jt an spek gahar kaya dulu�,Negative,Dissatisfaction about Asus not making affordable phones like before.,2024-09-04T04:11:55Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@romeoyansamantha,29,"saia juga sedikit merasa kehilangan sih ketika asus akhirnya mengeluarkan zenfone jadi berukuran besar. tapi memang harus realistis dengan trend market yang ada, hp dengan layar berukuran besar. saia masih tetap setia dan nyaman memakai zenfone 9 sebagai daily driver utama.",Neutral,"Expresses mixed feelings, but ultimately satisfied with the Zenfone 9.",2024-09-01T13:11:56Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@udinjr1518,30,"Coba pas compact itu hp mid range harga 2-3 jutaan mungkin akan banyak juga yang beli buat kaum"" kaya aku yang demen hape kecil budget minim",Neutral,"Suggests a potential market for affordable, compact phones.",2024-08-28T13:12:49Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@MusakiZAN417,31,bentuk nya kyk rog phone 8 pro.,Neutral,"Comment on design, no strong sentiment.",2024-08-25T17:12:12Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@arsyadzhane,32,Bentuk kameranya anehhh,Negative,Dislike of the camera design.,2024-08-23T03:40:24Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@quncy9399,33,Padahal lagi pengen beli zenfone 10. Tapi di semarang dah ga ada yang jual,Neutral,Shows interest in buying but facing availability issues.,2024-08-21T14:39:52Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@ismailsawerigading8137,34,HP asus zenfhone 9 saya baterainya rusak dan susah nyari sparepart nya,Negative,Negative sentiment about battery issues and spare part availability.,2024-08-20T14:22:14Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@handisetyo198,35,"Zenfone max real batre 5000mAh dulu buat lapangan enak banget 2 hari baru charge, utk yg lainnya langsung panas boros bet -_-",Negative,Discontent with battery performance in other phones compared to the Zenfone Max.,2024-08-18T23:40:48Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@bambanghermanto5965,36,Asus Zenfone hp paling awet punya saya pro m1 sampe 5 tahun,Positive,"Positive sentiment, expressing satisfaction with the durability of the Zenfone Pro M1.",2024-08-15T07:57:33Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@IgysnChannel,37,"ketika pengen Pixel tapi versi resmi indonesia ya Zenfone, masih bimbang antara pixel 7 pro atau zen 10/11",Neutral,Shows indecision between Pixel and Zenfone options.,2024-08-13T14:22:27Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@fuijiliung,38,"Beli zenfone 9, 6 bln pemakaian sudah camera error dan blank. Cek di internet ternyata byk bgt kasusnya camera issue... Yang bikin gedeg zenfone 9 ini kadang suka gak bisa ngenalin fingerprint gue.. uda 3 kali gue set itu fingerprint dalam setahun.. skrg tetap masih pakai sih sambil incar merek lain.. biar ini nanti jadi secondary saja lah",Negative,Frustration with Zenfone 9's issues (camera and fingerprint recognition).,2024-08-11T11:25:33Z,4,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@Jonatdhan,39,Semoga kebeli tahun tahun ini??,Positive,"Hope for a future purchase, showing interest in the phone.",2024-08-11T07:48:21Z,1,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@rinabanupuspita5923,40,Judul lagunya apa bang:),Removed,Off-topic suggestion about the reviewer.,2024-08-06T01:04:04Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@muhammadseptian4524,41,Android yang bisa nonton YouTube atau video lainnya dengan resolusi 4k Android apa ya?,Removed,Off-topic question not related to the phone.,2024-08-05T16:58:43Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@dontmind6612,42,Mulutnya gausa ditutup baang. Matanya ajaa,Removed,Off-topic comment unrelated to the phone.,2024-08-04T09:04:03Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@jepiyo1179,43,Fix beli zenfone 10 aja,Negative,Preferring Zenfone 10 over the Zenfone 11 Ultra due to dissatisfaction.,2024-07-31T23:14:26Z,1,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@aliridho3668,44,"dulu setia dari zenfone, zenfone 5q, sampe zenfone 5 2018, bahkan sering rekomendasi ke temen dan sodara, sampe sekarang pada masih pake maxpro m1, spek dan kualitas bagus dan harga yang sangat reasonable, tapi semenjak zenfone 5z harganya jadi mahalll...kalo utk yg 11 ultra ini, sorry to say, biarin dibilang kaum mendang mending, tapi 10jt ya mending iphone 13 sih...",Negative,"Dissatisfaction with the price of the Zenfone 11 Ultra, preferring iPhone 13 instead.",2024-07-31T13:59:31Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@Maxriders20,45,👍,Removed,Emoji with no context or relevance to the phone.,2024-07-29T11:53:35Z,1,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@danielssaputra1664,46,dari dulu zenfone 4 kameranya ga pernah bener nih zenfone... sayang sekali kau nak,Negative,Discontent with the camera quality in previous Zenfone models.,2024-07-27T10:23:14Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@danielssaputra1664,47,Jelek banget desainnya,Negative,Strong dislike of the design.,2024-07-27T10:10:39Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@hartonohr85,48,Asus terbaik,Positive,Positive sentiment about Asus.,2024-07-27T01:51:30Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@FatamorganaFree,49,Cuma bisa nonton,Positive,"Interest in the phone, but unable to afford it.",2024-07-26T03:51:56Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@dennymarhendroputro7187,50,"Gw komen pake zenfone max pro m1 dulu rekomendasi dr david gadetin, udh pake 6 tahun g rewel, cuman ganti batrei 1 kali, badak emg hp ini",Positive,Positive experience with the Zenfone Max Pro M1.,2024-07-26T01:05:54Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@belovedfamily6096,51,Lebih suka desain yg dlu Desain kameranya gak banget 😂,Negative,Dislike of the new camera design.,2024-07-25T15:07:36Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@davidimmanuelrottie198,52,ASUS Zenfone 6 Hadir,Neutral,"Informative statement, no strong sentiment.",2024-07-25T14:38:25Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@rscgchannel,53,"[OUT OF TOPIC] Bang david, bilangin dong sama tokopedia. Stop kerjasama ke ekspedisi ngga jelas, kayak SAPX contohnya. Udah tracking nya nggak jelas, ga tau deh kabar paket kita lagi di mana. Pas tanya cs, respond nya galak. Paket dateng pun main lempar aja padahal saya udah buka pintu, tinggal nunggu saya jalan nyamperin aja gamau. Paket nya juga nyampe lama banget estimasi 3-5 hari jadi seminggu lebih. Saya paham itu karena SAPX ikut kurir rekomendasi, banyak yang order pake SAPX, tapi itu semua ga membenarkan loh lempar2 paket, di depan rumah customer lagi, sistem tracking ga jelas lagi.",Removed,Off-topic suggestion about Tokopedia's delivery service.,2024-07-24T11:21:20Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@TheChuvachishe,54,WTF merda!?,Removed,Off-topic and inappropriate language.,2024-07-24T06:05:25Z,1,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@andyfauzan,55,Jadi teringat waktu oprek hp andromax pake cusrom zen u😂,Neutral,"Comment on memory, no sentiment about the phone.",2024-07-23T17:55:54Z,1,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@bangjeckjeck1066,56,"Bang gedget sendiri pakai iphone ya, Bukan samsung.???",Removed,Off-topic comment about the reviewer's personal preference.,2024-07-23T14:16:49Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@kyrll1926,57,bang karpet meja nya beli dimana??,Removed,Off-topic question about the reviewer�s setup.,2024-07-23T08:05:34Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@danuraji3262,58,"Anjirrr ngecek temperatur pake FLIR, emang the best 👍🏻",Removed,Off-topic comment about using FLIR for temperature check.,2024-07-22T12:26:01Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@winshter620,59,Cuman sy gk pny budget aja. Sy demen bgt asus versi compact,Positive,Shows interest in compact Asus phones but limited by budget.,2024-07-22T06:51:34Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@trisetiawan9945,60,Salfok sama logo hires audio nya,Neutral,"Comment on a specific feature, no strong sentiment.",2024-07-21T04:37:40Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@muhammadfauzan8879,61,Ini udah gua komen tapi kok belum ada yang komen,Removed,"Off-topic, comment about the review process.",2024-07-21T01:00:05Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
