author,comment,,timestamp,like_count,tipe_produk,brand,segment,release_date
@ZACKY_AHMAD,Ini camera ada brp bang..? katanya 3 aj yg bener.. ini lebih dari 3 bener kan ?,Neutral,2024-11-16T06:33:43Z,1,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@wdayff,@gadgetin aku butuh saran mending s24 ultra atau ip 15 pro max?,Neutral,2024-11-16T03:00:48Z,1,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@mhmmdazmiakbar,"makasih bg davidd , saya sgt terbntu dengan review samsung s24 ultra ini , dan sekarang akhir nya aku baru bisa beli itel s25 ultra",Removed,2024-11-15T14:28:50Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@ALIIMRAN-zt7uk,bagusan vivo x200 ultrq,Negative,2024-11-15T11:24:16Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@wahyurusmi7350,Min hp Samsung yang recommended yang di bawah harga 10 JT,Removed,2024-11-15T03:34:46Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@anak_perantauan4836,Saya suka sih Samsung dari dulu☺️,Positive,2024-11-15T02:09:51Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@ekosyaputra2455,Google pixel bisa gitu semua bng🫢,Removed,2024-11-14T01:13:22Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@AmrinaFimasari,Masih pecah2 hasil videonya😢 mau nyari samsung yg speknya kek ip klo videonya upload gak pecah2,Negative,2024-11-14T00:28:34Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@Trias1,"Beli S24U ini apa nunggu yg S25 aja?😅... Lagi pengen ganti tp masih banyak galau nya, lumayan menguras isi rekening nih.. masih 20jt an",Positive,2024-11-12T13:06:26Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@gibranfaqih6123,SAYA SUKA LAYAR DATAR. TERIMA KASIH SAMSUNG.,Positive,2024-11-11T21:48:26Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@ardhinrkhn,dan sekarang s23 series dapet update circle to search🙂,Neutral,2024-11-11T05:45:15Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@TUKANG_KENDANG,"""Samsung s24 ultra sudah keluar, artinya s23 akan sedikit turun hrga begitupun dengan s22 nya.. ini sangat berpengaruh untuk s21 yg akan mengalami penurunan harga yg sangat tinggi dan mengakibatkan samsung s20 terjun bebas .. Dengan terjun bebas nya harga s20 pasti dampaknya mengarah kepada harga nya akan sangat murah Ini adalah waktu yg tepat untuk saya mendapatkan samsung s7 edge 😊""",Removed,2024-11-10T04:08:17Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@herygunawan6153,Bekas nya berapaan ya?,Neutral,2024-11-10T01:59:49Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@riandisaputra5273,"""MENYESAL BELI S24ULTRA. saran saya jangan beli samsung S24 ultra. kamera 50 dan 200 mp tidak berguna, post processing nya jelek banget alhasil foto hasilnya jelek even di SIANG hari 😢. dan ga ada di REVIEWE youtuber .. sampai november ini masih ga ada solusi yang pas dari samsung. JANGAN BELI HAPE S24 Ultra.""",Negative,2024-11-09T20:43:29Z,1,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@tianbie243,"Gue ttp setia di samsung a51.. pdhal kmrn udh mau beli ini, tp mikir2 lg bingung ini atau iphone 15 pro yaa?? Recomin dong",Neutral,2024-11-09T07:33:36Z,1,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@dpindo7287,Next tunggu S25 Ultra tapi bukan yg itel😅,Neutral,2024-11-09T05:44:37Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@Abdo-qe1qg,"Galaxy Note 9 ku aja masih menemaniku sampai skrang dari bulan April 2018 bang, 6 tahun 7 bulan sudah 😊",Removed,2024-11-08T23:45:08Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@AlFaqirIlallah890,"""Kekurangan s24 ultra ini menurut saya adalah kamera selfie nya hanya 12mp saja. Ini sangat di bawah standar sih.""",Negative,2024-11-08T21:02:52Z,2,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@aufi5318,Boxnya itu udah include apa aja? Apakah s pen dijual terpisah?,Neutral,2024-11-08T09:17:56Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@rizqi8938,Team beli produknya dulu baru nonton videonya,Removed,2024-11-06T19:31:49Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@Sonic46,"""Info harga? Mau beli soalnya dana 30jt abis jual motor😂""",Positive,2024-11-06T18:09:14Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@ferryniboy6755,"Menit 5:13 bang david pakek bahasa palembang ""taroklah batre"" 😂",Removed,2024-11-06T00:56:32Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@Ryant72,Masih setia pake Samsung galaxy E5 yang umurnya udah 9 tahun,Removed,2024-11-03T10:04:24Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@natansalim3077,Aku dapet di shopee Ada yg jual 4jt ori Baru katanya tapi sangat ragu kalau itu beneran Ori,Neutral,2024-10-31T18:40:13Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@DeppaTori-k1e,Masih setia dengan s21u❤,Neutral,2024-10-31T12:03:12Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@naufalaflahubaiddillah760,apakah di S24ULTRA masih ada BIXBY?,Neutral,2024-10-31T05:33:38Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@naufalaflahubaiddillah760,"5:35 Samsung gak beri fitur PERSENAN BATERAI karena mencegah pemakai ponsel agar tidak kwatir kalau baterai habis., itulah alasannya",Neutral,2024-10-31T05:00:23Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@ishaqrausen3618,"Maaf mau nanya, samsung s24 ultra udh stabil kaya ip ga yah klo lgi video di jalan? Maaf tanya sja hehe",Neutral,2024-10-30T22:36:28Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@dewimoer7591,"Saya pke samsung a20s udh 6 thn udh 3x ganti batrai,pen ganti tpi ada yg lebih penting😅",Neutral,2024-10-28T15:40:26Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@Ohmyluccas,Mau beli dong 10 biji🗿🗿,Removed,2024-10-28T11:03:46Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@BangGian05,Dan akhirnya s23 series sudah bisa apa yg di buat s24 series 😂,Neutral,2024-10-27T05:43:57Z,1,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@Pendekar81,Bg review hp Huawei yg bisa di lipat 3x bg,Removed,2024-10-27T04:35:23Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@hanisularso9859,Review s24 plus,Neutral,2024-10-27T04:11:54Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
@AlexCio_o,Apa bener s24 U over saturasi kameranya?,Neutral,2024-10-27T02:56:39Z,0,Galaxy S24 Ultra,Samsung,Flagship,18-Jan-24
