author,comment,sentiment,timestamp,like_count,tipe_produk,brand,segment,release_date
@pratamafaa,"""sedih sih hp compactnya di ilangin.pdahal desainnya cakep poll zenfon 10""",Negative,2024-11-16T17:45:15Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@SyaniaMajuBersama,"""Asus sedih, asus sedih banget""",Negative,2024-11-10T14:06:09Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@davidguok6937,"""Sekarang Asuz kalah saingan sama infinix dan itel""",Negative,2024-11-10T12:14:02Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@taufikherjanto,"""Yaaah gak compact lagi""",Negative,2024-11-05T06:38:47Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@galaxyultraxp,"""ROG 8 ULTIMATE LEBIH BAGUS buat dengerin musik""",Negative,2024-11-02T13:34:33Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@perong,"""Padahal kalo layar 6.3inch aja enak di tangan,""",Negative,2024-10-13T13:30:39Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@feelingbassmusic622,padahal saya suka asus karna ukurannya compact.. malah digedein. harusnya ada variannya lah,Negative,2024-09-10T03:06:07Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@agusaldin,pengen laku diindo ya asus harus bikin hp level 2jt an spek gahar kaya dulu�,Negative,2024-09-04T04:11:55Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@arsyadzhane,Bentuk kameranya anehhh,Negative,2024-08-23T03:40:24Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@ismailsawerigading8137,HP asus zenfhone 9 saya baterainya rusak dan susah nyari sparepart nya,Negative,2024-08-20T14:22:14Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@handisetyo198,"Zenfone max real batre 5000mAh dulu buat lapangan enak banget 2 hari baru charge, utk yg lainnya langsung panas boros bet -_-",Negative,2024-08-18T23:40:48Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@fuijiliung,"Beli zenfone 9, 6 bln pemakaian sudah camera error dan blank. Cek di internet ternyata byk bgt kasusnya camera issue... Yang bikin gedeg zenfone 9 ini kadang suka gak bisa ngenalin fingerprint gue.. uda 3 kali gue set itu fingerprint dalam setahun.. skrg tetap masih pakai sih sambil incar merek lain.. biar ini nanti jadi secondary saja lah",Negative,2024-08-11T11:25:33Z,4,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@jepiyo1179,Fix beli zenfone 10 aja,Negative,2024-07-31T23:14:26Z,1,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@aliridho3668,"dulu setia dari zenfone, zenfone 5q, sampe zenfone 5 2018, bahkan sering rekomendasi ke temen dan sodara, sampe sekarang pada masih pake maxpro m1, spek dan kualitas bagus dan harga yang sangat reasonable, tapi semenjak zenfone 5z harganya jadi mahalll...kalo utk yg 11 ultra ini, sorry to say, biarin dibilang kaum mendang mending, tapi 10jt ya mending iphone 13 sih...",Negative,2024-07-31T13:59:31Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@danielssaputra1664,dari dulu zenfone 4 kameranya ga pernah bener nih zenfone... sayang sekali kau nak,Negative,2024-07-27T10:23:14Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@danielssaputra1664,Jelek banget desainnya,Negative,2024-07-27T10:10:39Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@belovedfamily6096,Lebih suka desain yg dlu Desain kameranya gak banget 😂,Negative,2024-07-25T15:07:36Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@ariandi4831,Sikit jg cm dpt 3x update software. Mending….,Negative,2024-07-19T13:48:26Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@cipluxgendeng9558,Harganya turun terjun bebas 🤢🤢🤢,Negative,2024-07-18T05:01:03Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@ArabPeaaaa,"gk laptop gk hape emang cocok buat goreng telor, nyesel beli asus dulu sama laptopnya mahal doang",Negative,2024-07-17T17:18:51Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@MarusahaMarusaha-xk2ov,"Asus punya cerita buruk di banyak orang termasuk saya, rog 6 saya LCD nya tiba"" Gelap padahal saya hanya pakai nonton YouTube dan sambil isi daya",Negative,2024-07-14T12:11:31Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@lesehantekno6195,"Ga suka banget sama desain belakang dan juga kameranya, kesannya kaya hp murah. Kebantu logo rog aja klo versi rog",Negative,2024-07-12T17:48:30Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@ninoe_jrclickerzzz4308,"""Q berharap zenfone 11 ultra bakal menang di kamera sama rog 8 tpi saya liat ngga ada perbedaan... Mending ambil rog 8 ngga sih""",Negative,2024-07-12T09:46:18Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@buchehandred5868,"9:24 ASUS ITU BUKAN LEMBAGA AMAL, NGAK KAYA ITEL😂😂",Negative,2024-07-12T06:26:04Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@hendrivour,"dulu sempet beralih dari Samsung ke Asus Max Pro M2, gak bertahan lama cuma 2 tahun, rusak karena LCD pecah dan batre kembung. sekarang balik lg ke samsung, bangke hapenya masih ada tuh ehehehe...",Negative,2024-07-12T01:35:41Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@ryanherjunot4139,"Gua salah satu pecinta asus, tapi sayangnya mahal banget ngga kuat di kantong gua😅",Negative,2024-07-09T17:40:43Z,1,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@albi_azka449,"10 Juta 😮😮 orng Indo lebih ke model HP yg bagus baru spek, maaf bakal ga laku nih Hp",Negative,2024-07-09T12:33:12Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@panjoelgmbtech6924,Bentar lagi nasibnya kaya nokia,Negative,2024-07-09T06:38:22Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@rickyanugrah8862,"harusnya zenfone 10 bezel layarnya ga tebel,baru larisss",Negative,2024-07-07T14:33:31Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@muhammadmazinirfani5032,Dari semua seri zenfone. Liat zenfone 11 ini kecewa ?? kek keluar dari ranah brand Zenfone yg sejatinya ??,Negative,2024-07-05T19:32:25Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@jounsurya1616,Aku lebih ngefan ke zenfone 10 bentuk simpel pas digenggaman.,Negative,2024-07-05T12:32:28Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@mohammadikhsan9895,Alasan kenapa skrng gw pindah dari asus ke samsung karna kualitas kamera untuk low light dan HDR Asus kurang bagi gw sih�,Negative,2024-07-05T02:48:21Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@afan137,Asus Republic of James ROJ ??. Saya lebih suka zenfone 10 yg kecil sayang jualan 128 gb yang ada.,Negative,2024-07-03T23:30:51Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@GgKallem-lq2zl,"knpa si jlkkkk bngttt pas bsgian blakang nya,gk kliatan hp mhal",Negative,2024-07-03T19:43:55Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@ritnodheufa1289,"Gak percaya ke Asus ,dah kapok beli merk Asus , mau hp ataupun laptop ?? qualitanya kureng.",Negative,2024-07-03T13:19:13Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@myjeje,"Sebangai penggemar hape kecil dari dulu, saya harus mencari brand lain lagi yang masih bikin hape kecil.",Negative,2024-07-03T02:40:29Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@ryuujioasaka,"Main ml fps nya tumpah tumpah, giliran Minecraft drop banget",Negative,2024-07-02T15:03:16Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@rankid6270,"Kalau pengen bersaing sebenarnya gampang, gk usah rubah2 model, gk guna, triknya cuman 1, harganya jangan mahal2....",Negative,2024-07-02T14:52:47Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@HifzaFilza,"""Deal Breaker bagi sebagian orang Asus Zenfone bahkan ROG rata-rata di dukungan Software yang hanya 2 tahun, untuk harga yang di tawarkan...""",Negative,2024-07-02T03:31:10Z,2,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@dhan1001,"Sedih, ngeliat video ini pake zenfone 9, hilang sudah pilihan hp compact yang ada audio jacknya",Negative,2024-07-01T16:14:54Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@gungdesurya,bahkan desainnya beda banget dari zenfone 11,Negative,2024-07-01T14:13:55Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@riosetiawan0703,mirip hp realme yg sejutaan 😂,Negative,2024-07-01T07:43:31Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@pockyflavor3331,charger nya harus beli lagi 😂,Negative,2024-07-01T04:30:04Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@Kanggabut07,Apa cuma aku yg males sama hp sekarang gara2 kamera depanya ditengah kek g enak bngt gt. Kok g ada yg ngeluarin kamera puncholnya di samping kek dlu si😢,Negative,2024-07-01T00:34:20Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@baktisant,SKIP! Asus mulai badut,Negative,2024-06-30T19:10:24Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@angganainggolan5827,"Kamera nya jelek kali bang 😭 untuk harga segitu. Mending beli Samsung a55 harga lebih murah, tapi chipset mid range",Negative,2024-06-30T15:48:46Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@hyza5404,"""pernah pake zenfone 2 laser dulu,hp pertama buat maen pubg dari versi cina,dan kalau main pubg tu harus malem,backdoor nya bisa di copot,jadi gak terlalu panas""",Neutral,2024-11-16T22:44:45Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@FaisalNurulKhaq,"""Di Tokped harganya sudah 7,5jtaan, dah dapet snap 8 gen 3.""",Neutral,2024-11-14T14:22:53Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@johaneswezt70,"""7:44 sangat menyindir yg cuman bisa mengucap 'kangen sih sama handphone compact', tapi asli gua pen banget ngumpulin duit buat beli Zenfone 10, karena setelah gua pikir�, udah makin tua, tambah umur, jadi kek males maen game, jadi layar yg terlalu lebar jadi tidak terlalu bergua buat gua, layar kecil aja sih udh cukup digenggam satu tangan""",Neutral,2024-11-06T10:44:01Z,1,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@uchihazai107,"""Saya pengguna asus dr 2015 sampe sekarang. Dr zenfon laser zenfon 010d batre pertama ditahun 2015 dgn 5000mah..2019 pegang zenfon max pro2 sampe sekarang oktober 2024 cuma udah servis konektor 4 kali sama ganti batre sekali... Yg ku suka dr asus lcd yg pake corning gorilla glass yg kuat pernah jatuh dr motor gak pecah layar normal cuma dikit ngangkat.. Sampe sekarang normal aja masih pake ram4 gak buat ngegame sih""",Neutral,2024-10-21T09:23:39Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@RahmadEnggarPamungkas-om9uz,"""Beli ini binggung service center nya dimana""",Neutral,2024-10-13T12:18:01Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@RaginYak,"""Made in Indonesia ??""",Neutral,2024-10-11T09:54:34Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@ShimaChizof,"""minta saran temen temen sekaliannn.. worth it ga ya ambil ni zenfone 11 😭🙏 krn harganya jomplang bgtt kalau dikita dibanding pasar US/Eur yang masih nyentuh harga $799/€799 sedangkan iphone + samsung bahkan yg versi flagship disana start dari $300-an tp OS dan keamanan ponsel lebih bagus iphone + samsung huhu bingungg kebutuhan buat daily aja sih bangg sama jangka panjang tp trauma sebelumnya udah 2x ilang pake hp cina (poco & vivo) pgn cari yg secure kalau misal dicuri (kata orang ambil aja iphone / samsung) tp kaya ga worth it, soalnya budget di harga 6-7jt keknya msh bisa dapet zenfons""",Neutral,2024-10-06T17:08:07Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@padmadiw319,"""zenfone 11 ultra ada updatenya g bang kaya samsung yg bs update hingga 7 tahun""",Neutral,2024-09-27T15:21:41Z,1,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@kidssong6833,"""ok""",Neutral,2024-09-26T04:11:25Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@naufalnafis2166,"""terakhir pake zenfone 6 flip...sebenarnya suka sama kameranya cantik bening gitu..tapi kurang suka sama model dan warnanya kurang cantik..ni hp kayaknya segmennya cocok buat cowok aja kali ya""",Neutral,2024-09-23T04:47:43Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@rifkimuhandis2407,"""Aku pake zenfone 5z sudah 5 tahunan pake Alhamdulillah awet sampe sekarsng dan masih enak dipake .. ini yang modelnya kayak iphone 10 dulu .hahaha""",Neutral,2024-09-20T14:02:58Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@romeoyansamantha,"saia juga sedikit merasa kehilangan sih ketika asus akhirnya mengeluarkan zenfone jadi berukuran besar. tapi memang harus realistis dengan trend market yang ada, hp dengan layar berukuran besar. saia masih tetap setia dan nyaman memakai zenfone 9 sebagai daily driver utama.",Neutral,2024-09-01T13:11:56Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@udinjr1518,"Coba pas compact itu hp mid range harga 2-3 jutaan mungkin akan banyak juga yang beli buat kaum"" kaya aku yang demen hape kecil budget minim",Neutral,2024-08-28T13:12:49Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@MusakiZAN417,bentuk nya kyk rog phone 8 pro.,Neutral,2024-08-25T17:12:12Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@quncy9399,Padahal lagi pengen beli zenfone 10. Tapi di semarang dah ga ada yang jual,Neutral,2024-08-21T14:39:52Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@IgysnChannel,"ketika pengen Pixel tapi versi resmi indonesia ya Zenfone, masih bimbang antara pixel 7 pro atau zen 10/11",Neutral,2024-08-13T14:22:27Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@davidimmanuelrottie198,ASUS Zenfone 6 Hadir,Neutral,2024-07-25T14:38:25Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@andyfauzan,Jadi teringat waktu oprek hp andromax pake cusrom zen u😂,Neutral,2024-07-23T17:55:54Z,1,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@trisetiawan9945,Salfok sama logo hires audio nya,Neutral,2024-07-21T04:37:40Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@muhammadfauzan8879,Apakah ini HP Asus zenfone yang terakhir?,Neutral,2024-07-21T00:59:27Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@adbdb,"ini sih fix, bukan strategi marketing tapi tim strategi vs marketing. strateginya rog is rog. zenbook, zenfone selaras slick elegan fresh. tapi ga ngangkat market nya...",Neutral,2024-07-20T15:33:17Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@thinksurya2658,"Akibat permintaan pasar yg seneng layar gede gede 😂,tapi coba yg compact di bikin midlow pasti laris",Neutral,2024-07-14T03:07:40Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@manusiapintar4436,"Bang mending Zenfone 11 ultra, Samsung s23, s24 buat daily bang",Neutral,2024-07-13T09:11:21Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
