author,comment,sentiment,timestamp,like_count,tipe_produk,brand,segment,release_date
@Idil766,"""Beli samsung Galaxy s24 Berasa pake seri A05S???? ini hp flagship apa hp entry level ya?""",Negative,2024-09-26T00:21:42Z,0,Galaxy S24,Samsung,Flagship,18-Jan-24
@agusnda1491,"Sayang nya knp s24 basic ga ad RAM 12, masa kalah sama a55 yang harganya lebih murah.",Negative,2024-09-12T00:42:51Z,2,Galaxy S24,Samsung,Flagship,18-Jan-24
@dhaniatami3718,Halo bang. Pernah coba ambil gambar kertas putih? Kenapa s24 regulerku kalau motret putih malah warnanya jadi kekuningan? Aneh banget.,Negative,2024-09-07T06:17:07Z,0,Galaxy S24,Samsung,Flagship,18-Jan-24
@ANGGANONIKKI,Harga 10an saran ambil iphone 12 ke atas aja bro.,Negative,2024-08-21T09:40:27Z,0,Galaxy S24,Samsung,Flagship,18-Jan-24
@tyasyudhistira4092,"perekaman nya kok kayak agak patah patah ya, pas buat record video 4K fps drop-nya kerasa banget.",Negative,2024-08-13T03:42:49Z,0,Galaxy S24,Samsung,Flagship,18-Jan-24
@RirinWindarsih,"Izin admin, aku mau tanya kenapa ya s24ku panas mulu klo dipake multitasking sama ngecas? Baterai juga cepat habis padahal baru beli.",Negative,2024-08-04T15:20:17Z,0,Galaxy S24,Samsung,Flagship,18-Jan-24
@afadira1910,"Tangguh tpi baterainya boros bgt,jadi jarang� di mainin kecuali urgent aja.",Negative,2024-07-08T06:53:17Z,0,Galaxy S24,Samsung,Flagship,18-Jan-24
@riansyh,p adu sama 11 ku ??,Negative,2024-06-04T14:28:48Z,0,Galaxy S24,Samsung,Flagship,18-Jan-24
@FerrySandi-rq2uu,Gan hpnya suka panas kayak S23 FE ga ??,Negative,2024-06-04T05:00:13Z,0,Galaxy S24,Samsung,Flagship,18-Jan-24
@sitisalehaSiti-oy7os,"Exynos tetaplah Exynos, kapok pakai Samsung yg pakai Exynos. Dipake game suka drop fps apalagi panas.",Negative,2024-05-23T09:02:22Z,1,Galaxy S24,Samsung,Flagship,18-Jan-24
@retsuhyde,S24 itu bagus cuma ya itu design nya itu lho mirip dg A55 yang jauh lebih murah.,Negative,2024-04-30T23:45:31Z,14,Galaxy S24,Samsung,Flagship,18-Jan-24
@rahmanhidayat9910,"""S24 reguler cpt panas pas main game. Moga2 software update bisa benerin masalah ini.""",Negative,2024-04-29T12:23:26Z,1,Galaxy S24,Samsung,Flagship,18-Jan-24
@karyatrisula,Harga motor yg bisa dipakai ke seluruh kota ??????,Negative,2024-04-15T22:32:56Z,2,Galaxy S24,Samsung,Flagship,18-Jan-24
@ferdyrambo5355,Dapet Motor Beat ..??,Negative,2024-04-12T04:37:57Z,0,Galaxy S24,Samsung,Flagship,18-Jan-24
@Hirman_Stwn,"""hpnya keren.. cuma skr samsung lagi seneng nyamain semua desain flagship-midrange. Jadi nggak spesial.""",Negative,2024-04-01T06:55:53Z,9,Galaxy S24,Samsung,Flagship,18-Jan-24
@AdityaAnugrah-jf6dj,"Beneran bagus ga sih? Gua niatnya pengen ngambil s24, tapi habis liat komparasi s24 versi snapdragon vs exynos jadi ragu asli. Jomplang banget bedanya.",Negative,2024-03-28T21:36:47Z,0,Galaxy S24,Samsung,Flagship,18-Jan-24
@lavvend,Berati ga bisa make microsd donk ya... ??,Negative,2024-03-16T13:24:51Z,1,Galaxy S24,Samsung,Flagship,18-Jan-24
@gusjaya893,cuma sayang gak ada s24 base model ram 12 gb... kecewa aja sama Samsung,Negative,2024-03-11T11:43:39Z,1,Galaxy S24,Samsung,Flagship,18-Jan-24
@muhammadarisani5059,Blm ada rencana pindah ke Samsung lagi kalau perpindahan antar lensa kurang smooth,Negative,2024-03-11T04:28:36Z,1,Galaxy S24,Samsung,Flagship,18-Jan-24
@fabadila,Nonton pake S23+. Mendingan naga ini drpada exy S24...,Negative,2024-03-08T10:24:28Z,2,Galaxy S24,Samsung,Flagship,18-Jan-24
@horizonteboy9583,"Boros batrre, panas.. mending s23 pqke snapdrqgin, exynos skip dulu",Negative,2024-03-03T01:28:26Z,1,Galaxy S24,Samsung,Flagship,18-Jan-24
@amangkirito4132,Wkwkwk 15jt Fhd+,Negative,2024-03-02T21:27:48Z,0,Galaxy S24,Samsung,Flagship,18-Jan-24
@kakandaoim4499,"Nonton ini pake itel s23+ , layar lebar enak , harga murah??",Negative,2024-02-27T06:17:05Z,1,Galaxy S24,Samsung,Flagship,18-Jan-24
@MacCentaur-zh2oo,"13 jt, setahun udah green screen terus harga anjlok jor2an",Negative,2024-02-27T00:48:12Z,0,Galaxy S24,Samsung,Flagship,18-Jan-24
@indrasoebagjo,Bagaimana untuk video call IM ? Exynos 2100...,Negative,2024-02-26T09:15:50Z,3,Galaxy S24,Samsung,Flagship,18-Jan-24
@ayamkremesembahbambang,"Xiaomi 14, 3 camera belakang semua nya 50 pxl...",Negative,2024-02-25T18:09:51Z,5,Galaxy S24,Samsung,Flagship,18-Jan-24
@christoforuskurniawan1259,Batrenya kalo disaya rada boros om. Sosmed 1 jam 10 persen,Negative,2024-02-25T12:36:31Z,0,Galaxy S24,Samsung,Flagship,18-Jan-24
@Jonylevelmax,"Kyk agak buram gitu ya kurang warna, bagusan s23 gk sih??",Negative,2024-02-22T11:54:55Z,0,Galaxy S24,Samsung,Flagship,18-Jan-24
@gersonkris6128,ga lebih dr 13jtan... yasalammmmm,Negative,2024-02-22T01:56:01Z,0,Galaxy S24,Samsung,Flagship,18-Jan-24
@imamriyadi7585,"Why hp saya s24, gampang panas yaa",Negative,2024-02-21T22:43:17Z,0,Galaxy S24,Samsung,Flagship,18-Jan-24
@hapkun4143,"Mending s23, s24 ampas pke exynos sinyal jelek, gampang pnas",Negative,2024-02-21T16:40:05Z,0,Galaxy S24,Samsung,Flagship,18-Jan-24
@SkyLeaderHeri-cx4jg,Masi setia di S23 ❤,Negative,2024-02-21T08:28:08Z,2,Galaxy S24,Samsung,Flagship,18-Jan-24
@andhikayudhayana2574,Ciri khas flagship samsung udah ga terlihat,Negative,2024-02-21T01:23:58Z,0,Galaxy S24,Samsung,Flagship,18-Jan-24
@johanchen1805,Kok s24 saya ditinggal tidur aja 6 jam kurang 6% 😂😂,Negative,2024-02-20T12:03:11Z,1,Galaxy S24,Samsung,Flagship,18-Jan-24
@FaktaItuPahit,SI KECIL PANAS 🔥 WKAKAKAA...,Negative,2024-02-20T05:41:53Z,1,Galaxy S24,Samsung,Flagship,18-Jan-24
@didiwahyudi4030,nonton pake s23 sudah cukup,Negative,2024-02-19T06:04:48Z,1,Galaxy S24,Samsung,Flagship,18-Jan-24
@aliganteng7582,mobile legend refresrate masih 60 fps lawakkkk😂,Negative,2024-02-18T12:54:00Z,1,Galaxy S24,Samsung,Flagship,18-Jan-24
@tafta_zayn,"S22 ultra adalah flagship samsung terakhir saya, percuma UI keren dan intuitif, update software rutin, kaya fitur. Tapi klaim garansi ribetnya minta tolol, suruh nunggu 2 minggu pergantian sparepart, udah ditunggu molor sampe 1 bulan. Dan setelah sharing si grup FB katanya masih untung haoe gue masih mulus jadi bisa klaim garansi, kalau ada dent udah dipastikan gak bisa klaim garansi, dan opsi terbaiknya adalah bayar samsung care + di awal pembelian agar bisa klaim garansi tanpa ribet. Bayangkan klaim garansi hape flagshipnya aja kaya gini, harga puluhan juta daoat pelayanan kaya gini !? Sementara waktu pake reno 10 pro+, walaupun UI gak seenak Samsung tapi secara hardware dan after sales nya jauh lebih baik, bahkan salesnya bilang boleh ganti screen protector dan casing GRATIS selama masa garansi hape, Samsung?? Wkwk",Negative,2024-02-18T07:33:00Z,3,Galaxy S24,Samsung,Flagship,18-Jan-24
@mendoaja,Kalau soal hp panas pasti s24 pake exynos kan?,Negative,2024-02-17T15:54:30Z,1,Galaxy S24,Samsung,Flagship,18-Jan-24
@jupiterlovers4193,Baterai Samsung S24 ini gak bisa diandelin bgt deh,Negative,2024-02-17T15:53:06Z,1,Galaxy S24,Samsung,Flagship,18-Jan-24
@rivaldy9931,Ini baterainya kok cepet abis ya? Padahal cuma browsing doang.,Negative,2024-02-17T14:05:54Z,0,Galaxy S24,Samsung,Flagship,18-Jan-24
@inicepet,"Samsung flagship terakhir gw adalah S23 Ultra, puas bgt sih. S24 blm minat.",Negative,2024-02-17T12:08:20Z,0,Galaxy S24,Samsung,Flagship,18-Jan-24
@anandakanda,Kok gw ngerasa kameranya kurang tajem ya? Atau ekspektasi gw yg terlalu tinggi?,Negative,2024-02-17T11:57:30Z,0,Galaxy S24,Samsung,Flagship,18-Jan-24
@hanifhayat3198,Gw heran kenapa flagship Samsung kayak S24 masih boros baterai...,Negative,2024-02-17T08:20:49Z,2,Galaxy S24,Samsung,Flagship,18-Jan-24
@muhammaddimasyqi8377,Exynos 2400 bagus kh?,Neutral,2024-09-11T22:45:30Z,0,Galaxy S24,Samsung,Flagship,18-Jan-24
@GlobadGlabed,"Yang mau beli Samsung Galaxy S24 saya punya baru, mau jual buat modal bisnis. Barang original 100%. DM saya ya.",Neutral,2024-08-30T07:17:17Z,1,Galaxy S24,Samsung,Flagship,18-Jan-24
@lovelytirta2214,Bukan nya chipset nya sd 8gen3,Neutral,2024-07-22T02:19:11Z,0,Galaxy S24,Samsung,Flagship,18-Jan-24
