author,comment,sentiment,timestamp,like_count,tipe_produk,brand,segment,release_date
@Egaalfariz123,Bingung gua mending zero 30 apa hot 50 pro😢,Negative,2024-11-04T12:52:21Z,0,Infinix Zero 30,Infinix,Mid-Range,24-Aug
@gufronwahyudi5616,Bang mending infinix note 40 4g atau zero 30 4g,Negative,2024-10-31T05:58:14Z,0,Infinix Zero 30,Infinix,Mid-Range,24-Aug
@RatnaHidayat-de2qw,"Ragu mau beli infinix karena saya fikir kok bisa speaknya gahar gahar tapi harganya murah, bisa jangka panjang gk?",Negative,2024-10-29T13:49:31Z,0,Infinix Zero 30,Infinix,Mid-Range,24-Aug
@sandypramana2994,Zero 30 sma note 40 lebih worth it mana bang?,Negative,2024-10-25T10:50:10Z,0,Infinix Zero 30,Infinix,Mid-Range,24-Aug
@JUDISLOTMEMBUNUHMU,"""Hot 50pro+ Murid Infiniz Zero30 GURU ✅ Jgn sombong dulu lu bray KALO DI ADU KAMERA PHOTO DAN VIDEO JELAS KALAH TELAK..""",Negative,2024-10-24T19:34:24Z,0,Infinix Zero 30,Infinix,Mid-Range,24-Aug
@fadliika,Infinix emang gak suka jack audio yaa note 40 juga gak ada ngincer nya biar bisa main pubg🙏,Negative,2024-10-21T11:56:56Z,0,Infinix Zero 30,Infinix,Mid-Range,24-Aug
@putuBali_1,Bagusan mana Infinix zero 30 5g atau xiaomi note 13 pro 5g ya?,Negative,2024-10-16T12:44:20Z,0,Infinix Zero 30,Infinix,Mid-Range,24-Aug
@マヘンドラジョ,"S21 ultra saya serasa sampah ..melihat kemampuan hp ini untuk performa, dan ketahanan baterai , padahal hp saya tidak pernah di pakai main game , dan sekarang BH ny 78% saja , infinix anda membuat saya menyesal memiliki flagship ini . 😢😢",Negative,2024-10-05T12:50:39Z,0,Infinix Zero 30,Infinix,Mid-Range,24-Aug
@anggaraerlangga5982,xiaomi apa infinix bang buat jangka waktu panjang?,Negative,2024-10-01T13:35:24Z,0,Infinix Zero 30,Infinix,Mid-Range,24-Aug
@maurinafajry4683,dri kamera bagus note 40 atau yg zero ini..?,Negative,2024-09-28T13:24:53Z,0,Infinix Zero 30,Infinix,Mid-Range,24-Aug
@agungalvarest7304,Saran dong mending ambil ini apa yang note 40 ya?,Negative,2024-09-18T17:07:25Z,0,Infinix Zero 30,Infinix,Mid-Range,24-Aug
@lulukwulan819,"""zero 30 Sayang banget ngga ada memori external😢+ ngga ada wirelles charging😢 30 pro sayang banget letak cameranya kaya asal""""an😢+kurang bagus foto/video😢""",Negative,2024-09-03T02:13:31Z,0,Infinix Zero 30,Infinix,Mid-Range,24-Aug
@rizkyindratmadja4729,mending ini apa note 40 pto ys,Negative,2024-08-28T10:36:33Z,0,Infinix Zero 30,Infinix,Mid-Range,24-Aug
@parabangAgusty,"Kelemahan infinix adalah...tombol"" kurang timbul Dan tdk ada ukuran headset yg biasax dan getaranx kurang enak",Negative,2024-07-30T15:36:46Z,0,Infinix Zero 30,Infinix,Mid-Range,24-Aug
@randaajja8410,Speaker bazz nya gak ada selain itu sic oke infinik,Negative,2024-07-30T15:33:35Z,0,Infinix Zero 30,Infinix,Mid-Range,24-Aug
@butterflytzu,"sekarang 2,6 juta😢 mending ini apa samsu** m15 5g😭",Negative,2024-07-20T02:16:05Z,0,Infinix Zero 30,Infinix,Mid-Range,24-Aug
@Ramasevilla25,3 kali nonton ini di ulang2 . Akhirnya fix ambil redmi,Negative,2024-07-12T04:01:05Z,1,Infinix Zero 30,Infinix,Mid-Range,24-Aug
@revarespiyanti4407,Tolong dong mending infinix zero 30 apa redmi 12,Negative,2024-07-09T14:46:47Z,1,Infinix Zero 30,Infinix,Mid-Range,24-Aug
@VinoNugie,Bang kasih saran mending mana sama infinix 40 pro😊,Negative,2024-07-04T03:32:03Z,0,Infinix Zero 30,Infinix,Mid-Range,24-Aug
@RamadhanAziz-pw3yz,Bagusan Zero 30 apa gt 20 pro,Negative,2024-06-30T07:34:28Z,0,Infinix Zero 30,Infinix,Mid-Range,24-Aug
@wawaniskandar3866,Ke Vivo v30 gua,Negative,2024-06-28T14:13:32Z,0,Infinix Zero 30,Infinix,Mid-Range,24-Aug
@ibrahimabdillah4271,Mending ini atau note 40 y?,Negative,2024-06-27T12:56:30Z,1,Infinix Zero 30,Infinix,Mid-Range,24-Aug
@SellaArtika,"""kalo sama poco m6 pro, bagus mana y? saran donk!!!""",Negative,2024-06-26T15:03:27Z,0,Infinix Zero 30,Infinix,Mid-Range,24-Aug
