author,comment,sentiment,timestamp,like_count,tipe_produk,brand,segment,release_date
@penjualhandphone5706,"Kaka saya nyesal beli A3X 6/128. Ini hp lambat nya bukan main, bikin kesal, mendingan ambil A60 dimana harganya beda dikit, tapi lebih cepat dari pada ini hp.",Negative,2024-11-14T03:49:32Z,0,OPPO A3x,OPPO,Entry-Level,2024
@yondaishi,Apa sih udah mau 2025 masi pake emmc? Overprice. Chipsetnya juga badut. ??,Negative,2024-11-12T18:18:51Z,0,OPPO A3x,OPPO,Entry-Level,2024
@rennnal6230,oppo burik aowkaok,Negative,2024-11-10T03:27:08Z,0,OPPO A3x,OPPO,Entry-Level,2024
@DimasDoank-mp3ns,Ada plus minus... klo yg ini kameranya ngga bngt...,Negative,2024-11-10T01:39:47Z,0,OPPO A3x,OPPO,Entry-Level,2024
@Arianapriandi,Bener bang agak ngleg hp oppoA3Xini,Negative,2024-11-08T10:59:30Z,0,OPPO A3x,OPPO,Entry-Level,2024
@danybagan6314,Mending infinix gak sih,Negative,2024-11-07T03:05:11Z,0,OPPO A3x,OPPO,Entry-Level,2024
@miriokun2296,"oppo vivo spek biasa tp overprice bukan utk kaum mendang2 mending,,hhe utk pasar ciwi2",Negative,2024-11-06T04:41:00Z,0,OPPO A3x,OPPO,Entry-Level,2024
@Nyot_Nyot21,"baru aja beli hp ini yg ram 6 buat sodara. pas pertama nyoba, ko lemot yah, dari awal booting sampe buka app pasti ada jedah, dan buat saya itu sangat mengganggu. kalo menurut saya, ini hp lebih cocok buat bapak2/emak2, buat kaula mudah, mending cari hp lain aja",Negative,2024-11-05T11:14:14Z,1,OPPO A3x,OPPO,Entry-Level,2024
@aqilahrifdadildaryaraaqila168,1 juta_an gx ada lagi kalo bukan Infinix juaranya. Hape full power.,Negative,2024-11-05T10:57:19Z,0,OPPO A3x,OPPO,Entry-Level,2024
@Novembersaa-g1j,"Layar udah terang ya bang,tapi saya masih hd,bukan fhd seperti merk lain",Negative,2024-11-03T12:06:17Z,0,OPPO A3x,OPPO,Entry-Level,2024
@AryaWiribowo,"Kameranya kacau pecah abis kena cahaya tetap pecah njir, entah kayanya ini hp oppo yang gagal, soalnya kalah sama kamera a3s yang pakai 13mp??",Negative,2024-11-03T03:52:35Z,0,OPPO A3x,OPPO,Entry-Level,2024
@ReggziSports,Realme c67 is the best,Negative,2024-11-03T02:08:29Z,0,OPPO A3x,OPPO,Entry-Level,2024
@english.14,Baru beli dan nyesel banget. Hasil kameranya jelekkkkk banget. Terburuk dibandingkan hp Oppo ku yang terdahulu.,Negative,2024-11-02T00:34:27Z,10,OPPO A3x,OPPO,Entry-Level,2024
@usmanciputat1124,Mending redmi 14c,Negative,2024-11-01T22:20:50Z,0,OPPO A3x,OPPO,Entry-Level,2024
@adysaputra7451,Kok d marketplace bnyk yg jual ya pdhl baru bbrp hari pakai.,Negative,2024-10-28T01:02:39Z,0,OPPO A3x,OPPO,Entry-Level,2024
@Mulyati89-g2c,Aku beli hp ini ngeleg parah... kamera nya buramm..nyesel bgt aku ga ambil hp vivo aja??,Negative,2024-10-27T12:26:49Z,0,OPPO A3x,OPPO,Entry-Level,2024
@jagatartstudio,Oppo skrng cameranya menurin smua. Mending vivo /realme,Negative,2024-10-26T06:11:09Z,0,OPPO A3x,OPPO,Entry-Level,2024
@g4mls,Ini hp berarti secara speknya ga jauh jauh amat dari oppo a5 2020... agak prihatin tadi ngeliat varian ram 4gb...,Negative,2024-10-26T03:02:49Z,0,OPPO A3x,OPPO,Entry-Level,2024
@keluargared1486,Hp ampas. Cuma maenin aplikasi panas. Apalagi klu d hotspot makin panas...,Negative,2024-10-26T02:41:51Z,0,OPPO A3x,OPPO,Entry-Level,2024
@azqifanida4846,Nyesel beli batre boros bodi panas ??,Negative,2024-10-22T15:54:15Z,0,OPPO A3x,OPPO,Entry-Level,2024
@muhammadGibranflanneli,"Mantan user oppo yang Alhamdulillah uda tobat??, sekarang ake iPhone 14 pro ??",Negative,2024-10-19T18:47:59Z,0,OPPO A3x,OPPO,Entry-Level,2024
@zulsunset271,Menurun deh penjualan hp ini,Negative,2024-10-18T15:46:42Z,0,OPPO A3x,OPPO,Entry-Level,2024
@werdanestapa,Masih bagusan realme c3 kameranya ????,Negative,2024-10-17T10:58:04Z,1,OPPO A3x,OPPO,Entry-Level,2024
@boymaru8283,Kamaranya lawak masih 8mp,Negative,2024-10-15T16:09:37Z,0,OPPO A3x,OPPO,Entry-Level,2024
@indahkaharu2048,"Aduh kak saya belinya kemarin, terus muncul videonya sekarang dan betul kamera kurang bagus...",Negative,2024-10-15T07:40:32Z,0,OPPO A3x,OPPO,Entry-Level,2024
@sandyart7595,Kamera terburik versi android ??,Negative,2024-10-14T12:47:32Z,0,OPPO A3x,OPPO,Entry-Level,2024
@WalyAldyva-bu7qr,Lemot parah ??,Negative,2024-10-14T07:20:50Z,0,OPPO A3x,OPPO,Entry-Level,2024
@denzhariyadi7229,Aduh saya hampir beli hp oppo a3x ini tapi pas nonton vidio ini mending beli tipe yang lain deh ??,Negative,2024-10-14T01:09:02Z,0,OPPO A3x,OPPO,Entry-Level,2024
@mugenmugen9937,Ko berasa mahal ya,Negative,2024-10-13T23:50:39Z,0,OPPO A3x,OPPO,Entry-Level,2024
@dikaganz8591,Bang gw hp Oppo udh bengkok si bang,Negative,2024-10-13T15:54:18Z,0,OPPO A3x,OPPO,Entry-Level,2024
@nordiah9951,Udh beli ini ada 2 bulanan pas sering buka tiktok sering banget nge heng hp nya. Gak bisa di tekan.,Negative,2024-10-12T04:28:13Z,0,OPPO A3x,OPPO,Entry-Level,2024
@BoyzAquatic,Buang buang duit doank beli oppo... ngsh harga murah tp storage masih ja pake jaman pemjajahan ??,Negative,2024-10-10T15:38:45Z,0,OPPO A3x,OPPO,Entry-Level,2024
@Gie31405,"Melihat kaos bang David ada tulisan MENDING, saya jadi berfikir drpd beli hp oppo a3x ,mending infinix GK sih...",Negative,2024-10-09T10:31:57Z,1,OPPO A3x,OPPO,Entry-Level,2024
@WulanDari-bd4sh,Kamera nya jelek banget asli.,Negative,2024-10-07T04:45:19Z,1,OPPO A3x,OPPO,Entry-Level,2024
@trioari-1,"banyak yang bilang kamera belakang oppo a3x fake, sebenarnya cuma ada 1 kamera yang 1 gimmick",Negative,2024-10-07T00:09:51Z,1,OPPO A3x,OPPO,Entry-Level,2024
@revaladepratama992,Kak saya baru beli oppo a3x tapi kok ngelag yaa?,Negative,2024-10-06T15:38:39Z,0,OPPO A3x,OPPO,Entry-Level,2024
@MalaWulan-j4s,Udah terlanjur beli ??,Negative,2024-10-06T11:45:35Z,0,OPPO A3x,OPPO,Entry-Level,2024
@RanggaSaja-f5n,Udh bosen pake Oppo,Negative,2024-10-05T23:22:38Z,0,OPPO A3x,OPPO,Entry-Level,2024
@YakobusPote,"Nyesal beli hp Oppo 3x kameranya gak jelas,kalu di cas belum apa "" uda panas,buat yang beli ya.",Negative,2024-10-05T12:13:14Z,0,OPPO A3x,OPPO,Entry-Level,2024
@eribadak9750,Pas main gensin rada nge frame,Negative,2024-10-04T16:07:12Z,0,OPPO A3x,OPPO,Entry-Level,2024
@agustinkhoirun2470,Mending beli oppo A3X apa vivo Y03?,Neutral,2024-11-15T23:27:23Z,0,OPPO A3x,OPPO,Entry-Level,2024
@adrianopula,oppo a3x vs realme c61 bagus mana? (buat main game),Neutral,2024-11-15T11:45:53Z,0,OPPO A3x,OPPO,Entry-Level,2024
@silviaafrillia0689,Bagus A60 apa A3x ya masih bingung,Neutral,2024-11-15T09:29:02Z,0,OPPO A3x,OPPO,Entry-Level,2024
@raisalove873,Ada apa dengan cameranya aku baru mau beli besok tpi ko galau,Neutral,2024-11-10T13:30:29Z,0,OPPO A3x,OPPO,Entry-Level,2024
@MaskusSayang,Sama realme c51 bagusan mana?,Neutral,2024-11-09T06:49:43Z,1,OPPO A3x,OPPO,Entry-Level,2024
@Surmidi-e6k,Sama dengan punya aku,Neutral,2024-11-06T06:05:22Z,0,OPPO A3x,OPPO,Entry-Level,2024
@najlaliyana5372,Saran ny bg bagusan oppo a3 atau oppo a3x ? bingung nih??,Neutral,2024-11-05T13:06:44Z,0,OPPO A3x,OPPO,Entry-Level,2024
@afifsyaifuddin03,ini hp kalo buat pemakaian orang tua rekomended gak? sekedar buat wa,Neutral,2024-11-05T09:44:55Z,0,OPPO A3x,OPPO,Entry-Level,2024
@TomiJepisa-e7e,enakan mana oppoA3x atau Vivo Y03t bang.sarannya bang binggung bang mana,Neutral,2024-11-04T07:43:29Z,0,OPPO A3x,OPPO,Entry-Level,2024
@revarevayuliaputri,Untung aku lihat vidio ini??setelah aku lhat oppo??????,Neutral,2024-11-02T18:25:28Z,0,OPPO A3x,OPPO,Entry-Level,2024
@latifbulu2680,Bgusan mn sm redmi 14c ram 6/128 1480 plus dpt bonus TG,Neutral,2024-11-02T06:39:10Z,0,OPPO A3x,OPPO,Entry-Level,2024
@TvOffici,"Maap mau tanya banh, saya beli oppo a3x, tapi yg satu logo nya ada bacaan 3x tpi yg satu nya lgi cuma angka 3 doang...",Neutral,2024-11-02T03:18:10Z,0,OPPO A3x,OPPO,Entry-Level,2024
@WedDewa,Ya bnar cuma kalah di kamera bng yang lain ok,Neutral,2024-10-29T12:27:11Z,0,OPPO A3x,OPPO,Entry-Level,2024
@dwisutaryati6196,Ada NFC nya gak ini A3x ..???,Neutral,2024-10-29T03:57:44Z,0,OPPO A3x,OPPO,Entry-Level,2024
@hathawaynoa5334,"Meanwhile hpnya ketika main genshin be like : Bang udah bang, gw baru kebuka bang",Neutral,2024-10-27T06:35:27Z,0,OPPO A3x,OPPO,Entry-Level,2024
@alaminudin5744,"Budget 1,5 mending oppo a3x atau techno spark 20nfc? Bantu komen please",Neutral,2024-10-26T09:47:06Z,0,OPPO A3x,OPPO,Entry-Level,2024
@sukamamusik,Apakah dibacanya Avenged Three Fold? ??,Neutral,2024-10-25T10:48:18Z,0,OPPO A3x,OPPO,Entry-Level,2024
@danuadipratama5145,Apakah Kawan� sama jika hp Oppo a3x layar kecerahan terkena sinar matahari akan Terang otomatis,Neutral,2024-10-25T03:04:22Z,0,OPPO A3x,OPPO,Entry-Level,2024
@SIHPALINGOJOL,Bang jangan oppo lagi bang ?? nanti suruh di hapus lgi video abang ???????,Neutral,2024-10-23T16:36:45Z,0,OPPO A3x,OPPO,Entry-Level,2024
@noonajinjin,1080p,Neutral,2024-10-21T15:09:02Z,1,OPPO A3x,OPPO,Entry-Level,2024
@kucingkalem891,"Nonton aja lah, beli kagak.",Neutral,2024-10-21T09:20:48Z,1,OPPO A3x,OPPO,Entry-Level,2024
@anjykalengkaleng3826,Jelas aja hp apapun klo ngetes speaker nya musiknya itu aja ya kualitas speaker beda...,Neutral,2024-10-20T14:17:20Z,0,OPPO A3x,OPPO,Entry-Level,2024
@orangawam4612,"14:35 justru kalo ngerank itu enteng bang, malah kalo main brawl kan banyak efek efek bikin agak frame drop",Neutral,2024-10-17T00:30:24Z,2,OPPO A3x,OPPO,Entry-Level,2024
@ronnialfairuz0914,Nonton reviews HP tapi ga beli ??,Neutral,2024-10-16T14:57:22Z,0,OPPO A3x,OPPO,Entry-Level,2024
@KyKyboy_,Maju terus bang David ga usah dengerin ala kata cmo oppo,Neutral,2024-10-15T22:49:28Z,0,OPPO A3x,OPPO,Entry-Level,2024
@izagion-p1w,Kalo buat maen WA aj gmn. Masih aman gk?,Neutral,2024-10-14T16:01:46Z,0,OPPO A3x,OPPO,Entry-Level,2024
@rismaafrianti5628,Mendingan xiaomi redmi 13c atau oppo A3x ini koh?,Neutral,2024-10-13T02:07:00Z,0,OPPO A3x,OPPO,Entry-Level,2024
@imYours_,Bang ga usah review oppo lagi bang nanti ada yg baper ??,Neutral,2024-10-12T22:45:26Z,0,OPPO A3x,OPPO,Entry-Level,2024
@Syanum_manise,Aku suka reviewnya ga serius amat.. tp ngena bangt.. santai apa adanya,Neutral,2024-10-12T22:31:14Z,0,OPPO A3x,OPPO,Entry-Level,2024
@KejodYT,Upgrade dari A3s,Neutral,2024-10-12T06:36:28Z,0,OPPO A3x,OPPO,Entry-Level,2024
@sitiarfiyah8876,Aku beli kemaren oppo a3x 2juta vid,Neutral,2024-10-09T15:10:27Z,0,OPPO A3x,OPPO,Entry-Level,2024
@AlBos-p2m,Antara redmi 13c SM Oppo 3x LBH enak mn bang,Neutral,2024-10-09T14:45:05Z,0,OPPO A3x,OPPO,Entry-Level,2024
@novitazmi11,"Dah keburu beli buat emak, yasudah lah... Kecerahan layar nya emang mantep sih. Aku biasa pake kecerahan...",Neutral,2024-10-08T02:24:14Z,0,OPPO A3x,OPPO,Entry-Level,2024
@TaryNkn_94,"Mending ambil oppo reno, udh ada slowmoot nya. Hasil video nya lumayan stabil.",Neutral,2024-10-07T04:38:02Z,1,OPPO A3x,OPPO,Entry-Level,2024
@MalaWulan-j4s,Bagus biru apa merah yah,Neutral,2024-10-05T12:15:36Z,0,OPPO A3x,OPPO,Entry-Level,2024
@noursetya6054,Mau beli hape mampir Simbah gadgetin dulu,Neutral,2024-10-05T02:42:58Z,0,OPPO A3x,OPPO,Entry-Level,2024
@dianvitasari7932,Jd pilih A3x atau A60,Neutral,2024-10-04T14:29:23Z,0,OPPO A3x,OPPO,Entry-Level,2024
@EndahArtikah,Beli HP ini dua minggu yg lalu karna emang bajet dibawah dua juta gak perlu yg mewah2 yg penting buat wa doangan,Positive,2024-11-15T11:54:37Z,0,OPPO A3x,OPPO,Entry-Level,2024
@aasastuti35,Aku pke hp Oppo a5s terus udah 6 thn sekarang ganti pake hp Oppo a3x ram 8/128,Positive,2024-11-14T11:59:36Z,0,OPPO A3x,OPPO,Entry-Level,2024
@UswatunHasanah-iz7fu,Tadi sore sempat galau mau beli vivo y03T atau Oppo A3X. Tapi akhirnya beli Oppo karena emak cocok sama merk Oppo ??,Positive,2024-11-13T14:45:55Z,0,OPPO A3x,OPPO,Entry-Level,2024
@SurosoAjha-f9l,"Udh kebeli hp ini semalem, jujur sih yang lain udh bagus, kurangnya emng soal camera ngecasnya sumpah ngebut banget baru di tinggal bentar udh mau full aja, namanya juga hp sejuataan ada kekurangan dan kelebihan pasti.. syukuri aja ??",Positive,2024-11-12T00:16:47Z,4,OPPO A3x,OPPO,Entry-Level,2024
@METSNUSA-l9e,"SAYA BARU BELI DI SEKITAR LOKASI SAYA DI BULAN NOVEMBER, ANDROID 14",Positive,2024-11-11T18:40:37Z,0,OPPO A3x,OPPO,Entry-Level,2024
@VionaRonatio,gw baru beli njir??,Positive,2024-11-09T14:09:58Z,0,OPPO A3x,OPPO,Entry-Level,2024
@BulanDuabelas,Alhamdulillah udah nonton pake a3x. Suka desainnya dan daya ngeces nya lebih cepat dari merk sebelah dgn harga yg sama ??,Positive,2024-11-05T12:08:50Z,7,OPPO A3x,OPPO,Entry-Level,2024
@sidoell643,Bt ank main yotbe bgus jatoh g pecah dn rusak Oppo a3x ????,Positive,2024-11-05T11:27:42Z,1,OPPO A3x,OPPO,Entry-Level,2024
@sidoell643,Oppo mang bgus bg..biar hrg 1.5,Positive,2024-11-05T11:09:49Z,0,OPPO A3x,OPPO,Entry-Level,2024
@DewaKadekGhani,Bang David aku Makai Oppo a3x bagus bagus aja apalagi kameranya bagus kok mungkin kyk aku dl pas baru dl beli Oppo nya buram kamera nya sekarang udah enggak kok??????,Positive,2024-11-05T10:21:06Z,0,OPPO A3x,OPPO,Entry-Level,2024
@Fernandoasrafchanel,Saya baru beli hp ini hari ini,Positive,2024-11-03T15:53:41Z,1,OPPO A3x,OPPO,Entry-Level,2024
@WellyanaOppo,Nonton ini pakai hp oppo a3x??,Positive,2024-10-31T12:39:33Z,0,OPPO A3x,OPPO,Entry-Level,2024
@RohiminRohimin-v9x,Saya baru beli Alhamdulillah resmi gransi IMEI y juga ...,Positive,2024-10-29T14:05:22Z,0,OPPO A3x,OPPO,Entry-Level,2024
@madanramadhan8358,Oppo a3x buat ojol the best,Positive,2024-10-26T18:39:50Z,1,OPPO A3x,OPPO,Entry-Level,2024
@NurHati-t4n,"Gua gk demen maen game, tapi gue demen dengerin musik di hp, oppo a3x terdengar bassnya ada kg cempreng...",Positive,2024-10-25T15:09:37Z,0,OPPO A3x,OPPO,Entry-Level,2024
@MilitaryDiscipline,"Kalau aku hp segini bagus multi-tasking, Wa.,kerja. Gaming untuk anak anak aja",Positive,2024-10-25T14:26:32Z,0,OPPO A3x,OPPO,Entry-Level,2024
@jofan_automotive,"Kebetulan aku beli sebulan yg lalu buat hotspot doang, karna aku hidup dikapal, alhasil mantab sinyalnya kenceng",Positive,2024-10-24T15:28:05Z,0,OPPO A3x,OPPO,Entry-Level,2024
@ramdansuryana2536,Baru beli kemaren nih hp mantap,Positive,2024-10-19T23:21:11Z,0,OPPO A3x,OPPO,Entry-Level,2024
@Novembersaa,"Hape bagus dan sesuai harganya bang, sepp. Yg penting nge cas nya lebih cepat dari saingannya",Positive,2024-10-19T08:14:20Z,0,OPPO A3x,OPPO,Entry-Level,2024
@intanmutiara3457,Oppo awet bgt untuk di pake beberapa tahun tahan banting juga,Positive,2024-10-17T08:55:23Z,0,OPPO A3x,OPPO,Entry-Level,2024
@arifarmada4017,"Aku cinta Oppo hp Oppo jadul aku aja A5s ram 2 masih enteng,apalagi a3x yg terbaru ini,auto Buu buru beli hihi",Positive,2024-10-08T01:12:51Z,0,OPPO A3x,OPPO,Entry-Level,2024
@fahmiwoodworking8025,Radio nya keren,Positive,2024-10-05T11:17:28Z,0,OPPO A3x,OPPO,Entry-Level,2024
@AditiaEvatulihwan,Gara� vidio ini aku dah beli,Positive,2024-10-05T10:34:42Z,0,OPPO A3x,OPPO,Entry-Level,2024
@bambangsukir6447,Hebat bgt kamu bang...jelas puas unboxing nya,Positive,2024-10-05T03:25:48Z,0,OPPO A3x,OPPO,Entry-Level,2024
