author,comment,sentiment,timestamp,like_count,tipe_produk,brand,segment,release_date
@widiasmara21,Kamera kek Oreo,Negative,2024-07-29T11:57:29Z,0,Realme 12 5G,Realme,Mid-Range,24-Feb
@asuszen807,Bagusan kameranya realme12+ kayanya yg sama2 direview di chanel ini. Lumayan jauh hasilnya..,Negative,2024-05-20T12:41:54Z,1,Realme 12 5G,Realme,Mid-Range,24-Feb
@ruddhy01,ikut koment ya bang. realme 8 amoled realme 9 amoled realme 10 amoled realme 11 amoled realme 12 IPS 😂,Negative,2024-03-28T16:38:49Z,0,Realme 12 5G,Realme,Mid-Range,24-Feb
@MRajabSenatriaputra,"Keren sekali dynamic button nya, padahal fitur mirip kayak gitu udah ada di Redmi Note 10 Pro, 🤭",Negative,2024-03-26T09:17:11Z,5,Realme 12 5G,Realme,Mid-Range,24-Feb
@kutilkebo,"DYNAMIK BUTTON PERTAMA DI ANDROID? PENGEN KETAWA GUE.. HAPE GUE UDAH UMUR 4 TAHUN DAN GIMMICK INI SDH ADA TANPA BAHASA MARKETING ""DYNAMIC BUTTON"" 😅",Negative,2024-03-25T15:12:11Z,0,Realme 12 5G,Realme,Mid-Range,24-Feb
@PFXQ,"Bezelnya setara hp 1,5jt",Negative,2024-03-24T23:07:32Z,0,Realme 12 5G,Realme,Mid-Range,24-Feb
@lutfichakimofficial,Desain belakang udah bagus knpa depannya bikin penampilan nya jadi jelek,Negative,2024-03-24T07:55:55Z,0,Realme 12 5G,Realme,Mid-Range,24-Feb
@alicasnali7795,Bump bulet kamera di tengah nya mnrt gw pribadi sih norak,Negative,2024-03-23T02:54:03Z,0,Realme 12 5G,Realme,Mid-Range,24-Feb
@zey8767,Desain cameranya seperti kancing baju ya..,Negative,2024-03-22T22:20:55Z,0,Realme 12 5G,Realme,Mid-Range,24-Feb
@VlogSinting,Kameranya kaya ditempel aja gimana sih desain realme😂,Negative,2024-03-22T20:25:29Z,0,Realme 12 5G,Realme,Mid-Range,24-Feb
@VlogSinting,Desain kaya bakso tu kamera😂,Negative,2024-03-22T20:24:34Z,0,Realme 12 5G,Realme,Mid-Range,24-Feb
@AntonSetiawan-ef5ec,Infinix bazel nya udah super tipis note 40 udah launcing,Negative,2024-03-22T17:08:59Z,0,Realme 12 5G,Realme,Mid-Range,24-Feb
@MustofaArya-zz8ko,"awokwok pocin kok bezelnya tebel malu sama saingan se negaranya, makin kesini si kuning membadoet",Negative,2024-03-22T11:52:50Z,0,Realme 12 5G,Realme,Mid-Range,24-Feb
@alhabsyigadget3198,"Realme bner� nge badut. Bezel zaman dinosaurus, 3 juta kepala besar tpi gk amoled Realme....realme😂😂😂",Negative,2024-03-22T05:37:54Z,0,Realme 12 5G,Realme,Mid-Range,24-Feb
@alexalenggu2841,ini bezelnya bukan mengalami kemajuan malah mengalami kemunduran.,Negative,2024-03-21T23:25:55Z,0,Realme 12 5G,Realme,Mid-Range,24-Feb
@AntonWinaryo-r7i,Pilih infinix 40 pro plus 5g,Negative,2024-03-21T22:12:54Z,1,Realme 12 5G,Realme,Mid-Range,24-Feb
@sdn3brajan523,mending Infinix 😅,Negative,2024-03-21T21:18:36Z,0,Realme 12 5G,Realme,Mid-Range,24-Feb
@kyrosite1810,"""dinamic button pertama? one ui : are u sure kid?""",Negative,2024-03-21T19:45:49Z,0,Realme 12 5G,Realme,Mid-Range,24-Feb
@kursuspianojakarta1784,aa mending yg 12+ sekalian🤭,Negative,2024-03-21T15:51:45Z,4,Realme 12 5G,Realme,Mid-Range,24-Feb
@klimakstivi,"""Asli bazelnya tebel bgt lawak haha Mending redmi note 13 5G harga 3 JT pas bazelnya jauh lebih tipis dan terlihat lebih elegan dan bagus""",Negative,2024-03-21T14:32:02Z,3,Realme 12 5G,Realme,Mid-Range,24-Feb
@getinvitationnet5288,Samsung j8 aja tombol fingerprint nya bisa di slide buat munculin notif 😂 pdhl hp taun kapan tau,Negative,2024-03-21T11:22:36Z,0,Realme 12 5G,Realme,Mid-Range,24-Feb
@hanifhayat3198,"""Serius nanya : kamera depan gak salah 8mp... Jomplang amat ya ama yg belakang 108mp? Apa iya gak salah kalo didepan kameranya bisa sampe 32mp ? Kali aja lebih wow Ini 2024 loh 😢""",Negative,2024-03-21T11:16:58Z,2,Realme 12 5G,Realme,Mid-Range,24-Feb
@Dan-tw1hp,YAELAHJ DAGUNYAAAA BIKIN GELII. KRENA BARU NONTON REDMI NOTE 13 5G .. YG ASLI DESAINNYA KERENN ABISS BEZELNYA KIRI KANAN TPISS SERASA HP 6 JUTAANN LAHH INI YA ELAHH DESAINNYA KETINGGALAN JAMAN😅,Negative,2024-03-21T10:48:48Z,1,Realme 12 5G,Realme,Mid-Range,24-Feb
@hamidarwani6219,Fitur dynamic button sebenarnya sudah di terapkan oleh vivo z1 pro yang dulu malah tombolnya di pisahkan dan tombol itu juga banyak fungsinya...,Negative,2024-03-21T10:34:53Z,0,Realme 12 5G,Realme,Mid-Range,24-Feb
@theardyanet,Sensor kameranya msh sama kayak hp gw realme 9 4G,Negative,2024-03-21T10:10:00Z,0,Realme 12 5G,Realme,Mid-Range,24-Feb
@Chedonia,Sebagus apapun reviewnya saya ga akan beli hp ini cm gegara desain layarnya.. haduh itu bezelnya.. 🤧,Negative,2024-03-21T09:21:26Z,1,Realme 12 5G,Realme,Mid-Range,24-Feb
@toengkoplok1375,"""Mending poco x6 tambah 200k kalo ada diskon voucher Menang banyak 🤣🤣""",Negative,2024-03-21T09:11:08Z,3,Realme 12 5G,Realme,Mid-Range,24-Feb
@MabrukStationery-iy6dc,Pas ngeliat bezelnya lgsg ilfeel,Negative,2024-03-21T09:04:58Z,3,Realme 12 5G,Realme,Mid-Range,24-Feb
@krapos,desain kameranya RUJIT..,Negative,2024-03-21T08:18:48Z,0,Realme 12 5G,Realme,Mid-Range,24-Feb
@dansan92,"Gak worth to buy sih ini hape, harusnya hrgnya 2jt kecil aja😂 sampah kali liat speknya B aja",Negative,2024-03-21T08:16:38Z,2,Realme 12 5G,Realme,Mid-Range,24-Feb
