author,comment,sentiment,timestamp,like_count,tipe_produk,brand,segment,release_date
@suyatna174,punya sy juga gitu mesin geternya kurang,Negative,2024-11-13T05:52:46Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@ariev1135,Makin bingung nih vivo v40 atau nunggu redmi note 14pro plus,Negative,2024-11-09T00:18:59Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@sekarayurahmalestari2239,Mendingan vivo v40 atau samsung a55 ya?,Negative,2024-11-05T17:43:55Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@ariruland_makeup1745,Mnding mna sma Xiaomi 14T,Negative,2024-11-05T07:52:14Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@ArenaBawahLaut,Vivi v40 apa realme gt 6?,Negative,2024-11-05T02:29:33Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@ridwanjuniorr,"""Mending ini/samsung a55 5g? Harganya kan sama""",Negative,2024-11-01T06:11:29Z,1,Vivo V40,Vivo,Mid-Range,24-Aug
@suranuraga.,apa iya vivo v40 ngecas sampai 100% 56 menit. gua aja punya vivo v29 pas ngecas sampai 100% cuma 45 menit. kok aneh ya vivo,Negative,2024-10-31T16:38:52Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@aryskaaugustinabella6186,Bang tolong jawab mending V40 atau Samsung S23 FE?,Negative,2024-10-31T07:20:54Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@nelaputriawalia6967,"guys which one better, samsung a55 apa vivo v40?",Negative,2024-10-30T11:18:26Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@ilhamhzd3413,duh sayang masih 30FPS,Negative,2024-10-29T14:39:16Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@JonoOppo-y1n,V29 lebih cantik,Negative,2024-10-28T14:52:42Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@AmaLiyyh,Kalau dipakai hari² mending Vivo v40 atau Samsung a55?,Negative,2024-10-25T04:12:29Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@paizalrifqiw,"masih bingung cuy,antara vivo v40/samsung a55 :)",Negative,2024-10-20T15:05:49Z,1,Vivo V40,Vivo,Mid-Range,24-Aug
@fheransiachairani5821,Tanya dong Mnding ini apa xiaomi 14T ?,Negative,2024-10-20T05:38:08Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@vitraroman5278,"kalo mau yang perfect, ya beli seri x100 pro",Negative,2024-10-20T02:25:17Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@29.qorilaelabarbeissonya6,"Pengen hp ini tapi katanya ufs nya masih 2.2 , jadi perform nya kurang kah ges apa gmn? Minusnya apa yak kalo ufs masih 2.2??",Negative,2024-10-18T01:32:00Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@DestaHumendru,"Menyesal beli hp ini. Belum satu bulan udah masalah dibagian lensa kamera. Kalau buat video, dalam hitungan detik udah berembun di bagian lensa kamera.",Negative,2024-10-16T16:02:58Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@allanliverpudlian5707,jd ZEISSnya itu cuma preset ? bukan pake lensa ZEiss?,Negative,2024-10-16T08:55:28Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@alukalpurnama4290,Mending Samsung A55 apa Vivo ini?,Negative,2024-10-15T06:32:00Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@jasminemamin2850,Better ini atau samsung S23fe?,Negative,2024-10-14T23:29:46Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@nysschannel7959,"Plis bingung bngt beli samsung a54 atau ini, saran dongg beli yg mana buat daily",Negative,2024-10-13T21:53:12Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@tatangrukmana3791,Kenapa ya kamera pas lagi vc nya buriq😢,Negative,2024-10-12T12:21:41Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@liviacendana2097,"Oppo reno 12 pro atau vivo v40 ? Paling penting mau kamera n resolusi bagus utk ngonten n foto portofolio, batrei n ram besar",Negative,2024-10-12T06:25:14Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@koemanlevel8436,"Bang katanya video hasil v40 ini jiter2, beneran bang????",Negative,2024-10-11T22:30:33Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@varianmaulanasamudra1095,kalo dibandingin sama xiaomi 14t mending mana ya,Negative,2024-10-11T02:26:31Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@mr.yusyoutubechannel,Gak ada slot SD card nya,Negative,2024-10-10T14:30:37Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@cupangpemula4164,Bagus gmn vivo40 vs xiaomi 14t kamera ya,Negative,2024-10-10T14:11:37Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@mugenmugen9937,Beli sekarang apa nunggu keluaran terbaru ya arghh bingung,Negative,2024-10-10T07:22:28Z,1,Vivo V40,Vivo,Mid-Range,24-Aug
@marjubfaozan4858,Bingung mau beli ini atau samsung a55,Negative,2024-10-09T09:55:06Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@DharmaDikari-c4t,bang semofa lu jawab komentar gue. bagusan real me 12pro+ atau V40 ??,Negative,2024-10-08T15:35:43Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@AnshariFahmi,Selera si ya tp HP klo di sentuh geter gak nyaman😅,Negative,2024-10-07T22:22:15Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@PelemManies,Camera lensa zeiss terbaik di pegang lumia sih,Negative,2024-10-06T09:50:26Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@amandaputri3737,kesini krn bingung mau ganti hp lanjut vivo user apa samsung😢,Negative,2024-10-06T00:12:49Z,1,Vivo V40,Vivo,Mid-Range,24-Aug
@Yuliani-xm4py,Saran bang bagusan ip 11 pro atau vivo v40,Negative,2024-10-05T06:20:37Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@Hendra-Martin,Buat Pemakaian pnjang lebih Mrekomen mana bg.. Antara vivo ini dngan Samsung A55,Negative,2024-10-05T03:51:43Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@MediaUpdate-ucus,Hasil video di luar ky pecah2,Negative,2024-10-05T02:20:47Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@gembulchannel1459,Udah beli redmi note 13pro+ . .ini muncul yang lebih oke lagi,Negative,2024-10-04T19:43:51Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@IsnadiDimas,Nunggu turun harga,Negative,2024-10-04T13:21:33Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@IsnadiDimas,Nunggu turun harga😅😅,Negative,2024-10-04T13:20:47Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@dewisafitri3019,Review xiaomi 14T dan 14T pro bang Boleh bandingin sama vivo bagusan mana ya?,Negative,2024-10-04T10:37:19Z,1,Vivo V40,Vivo,Mid-Range,24-Aug
@jejakeksplorasi,A55 atau vivo V40 ya ...,Negative,2024-10-02T08:26:42Z,1,Vivo V40,Vivo,Mid-Range,24-Aug
@arifmohtarom2045,Bagusan mana redmi note 13 pro plus sama vivo v40 5g,Negative,2024-10-01T04:20:22Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@malikchannel9671,"Saya pakai juga ini hp,, emang keren,, di pakai live tik tok selama 8 jam juga tidak panas dan kalau dapat gift TU DAN SINGA bertubi2 juga TDK ngeleg,,, keren betul",Positive,2024-11-16T05:45:13Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@fajarsidik8809,Nonton pake vivo v40 5G😁,Positive,2024-11-15T13:53:42Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@noncutex9222,Apa lah daya msh pake Vivo V27 5G.. Dpt THR nanti beli ahhhhh.😀😀😀,Positive,2024-11-14T12:55:11Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
@siezkafithreeanie4818,Nonton ini masi pakek v20 2020 😂.. uda 4th lebih masi awet.. muga kedepannya bs beli seri V terbaru 😂,Positive,2024-11-14T11:41:27Z,0,Vivo V40,Vivo,Mid-Range,24-Aug
