author,comment,sentiment,timestamp,like_count,tipe_produk,brand,segment,release_date
@ModHunters,"2:03 kebiasaan vivo yang udh turun temurun😂, lensa tambahan buat menarik aja tapi gak berguna sama sekali😂😂 8:22 untuk vivo yang menjadi keunggulannya yaitu cooling sistem yang tahan panas bahkan biarpun pakai chipset galak seperti dimensity 9000an kalo dipegang vivo udh nurut aja itu chipset😂",Negative,2024-11-09T15:55:02Z,1,Vivo X100 Pro,Vivo,Flagship,2024
@RsyaaGT,mau nanya nih mending vivo x100 pro atau xiaomi 14t pro?,Negative,2024-11-05T07:22:19Z,1,Vivo X100 Pro,Vivo,Flagship,2024
@SyarifZhafran-v4v,Kalau android tetap saya pilih huawei,Negative,2024-11-03T13:54:58Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@afdal7108,"Kekurangan hp ini gk ada Dolby atmos, padahal itu penting banget",Negative,2024-11-01T10:47:20Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@lirikterjemahan8175,"Bos bos ditempat gw kerja, hampir 90% pake iPhone. Sisanya Samsung biasa dan Samsung fold. Gak ada satupun yg pake merk lain... Entah, ini fenomena apa. Saya rasa orang2 belum terlalu percaya merk2 seperti Vivo untuk harga diatas 10jt. Ini sangat segmented, bukan untuk semua orang... Mereka bukannya gak tahu spek, mungkin hanya cari aman.",Negative,2024-10-19T00:03:11Z,4,Vivo X100 Pro,Vivo,Flagship,2024
@leoman948,"Udh 4 bln viewer masih blm myampe 1m. Berarti orang awam masih suka samsung, ataupun xiaomi.",Negative,2024-10-12T15:38:14Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@adensaja2064,kl hsl video di upload ke tiktok/ig lebih bgs mana sama iphone,Negative,2024-10-02T00:08:29Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@hendrahermawan8927,Utk ganti hp AQ batesin 3 JT....pingin sprt di vidio itu Krn batas 3 juta akhirnya dpt Tecno sprk 20pro+ mirip jg designnya dg Vivo ini.... sisanya buat beli kambing... insyaallah Allah kambing jadi banyak,Negative,2024-09-23T14:29:20Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@arifzuliyanto7829,Tetep kalau hrga segitu pride ke Samsung S24 ultra sih😂,Negative,2024-09-09T13:25:50Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@WaWan-wb1pb,"Ada rencana buat update iphone 16 pro max buat jualan dan buat konten, emang vivo ini di adu sm 16 pro max nnti masih okey mana ya buat kepentingan jualan video dll.",Negative,2024-09-08T23:52:48Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@arvidanseven862,Bang David. Kira2 bagusan mana yah. X100 atau v40? Agak dilema,Negative,2024-09-08T00:09:42Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@FannyclauPinaria,bagus bngt njirr videonya ... mantep jadi pingin tapi masih bagus ip11pro gua -.-.. biasa ganti hp kalau rusak bngt sampe mati,Negative,2024-09-07T05:58:10Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@unknown-x3p,Om lbh oke vivo x 100 pro atau iphone 14 promax ?,Negative,2024-09-05T03:15:34Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@safrizal5553,Kamera bawah Gimmick ??? Ndak worth it lah klo ada gimmick2 an kesannya maksa bgt desain gerhananya pake ditambahin gimmick,Negative,2024-09-04T10:18:22Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@AristoKineas,"Ttp Iphone, klo pun Android lebih suka ke Motorola",Negative,2024-09-03T10:45:37Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@wyyizi,Speknya sudah dewa sekali tp sama aja tinggal d indo sebagus apapun dan semahal apaoun tetap aja di bandingin dengan iphone kwkwkw,Negative,2024-08-27T14:15:53Z,1,Vivo X100 Pro,Vivo,Flagship,2024
@jo_vlog,Buat you tuber bagus vivo x 100 pro atau iphone 13 bg,Negative,2024-08-17T18:27:12Z,1,Vivo X100 Pro,Vivo,Flagship,2024
@abgimul4683,Kualitas fotonya beda tipis aja ama oppo reno 11 pro.. Bahkan menurut saya lebih baik oppo.. Saya jg pernah coba bandingin dengan iphone 14 promax... Semoga vivo bisa lebih baik seperti oppo..,Negative,2024-08-17T04:47:22Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@shinkenzone4280,keren kameranya 😢 apalah daya gw yg makek vivo y95,Negative,2024-08-12T07:26:53Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@Stigma.X_X,"Buat kaum gengsi, duit 17jt mending beli boba katanya",Negative,2024-08-08T08:29:08Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@user-youtube467,Noh fotonya masih ada bias cahaya,Negative,2024-08-07T15:20:17Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@sultandantachanel9428,"Cowo gw baru beli hp ini, nangis gw setelah tahu harganya😭",Negative,2024-08-06T04:41:51Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@pasyavfx1344,mending s23 ultra apa ini bro?budget terbatas gak mau nyesel,Negative,2024-08-02T11:12:10Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@MangdarumKacapi,Pipo ttp lah Pipo 😂😂 HP dipandang sebelah Mata 😂😂,Negative,2024-07-30T12:48:43Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@lilian1424,"sekian puluh tahun ikut Chanel ini, saya kecewa dengan bang David, terlalu memuji produk nya terlalu melebih-lebihkan kan produk nya, mungkin bang David dibayar besar oleh vivo untuk promosi hp yang satu ini, hingga kesen terlalu memanjakannya produk yang satu ini. pada kenyataannya kecewa saya sebagai pemakai produk vivo x100 pro ini. omongan bang David tidak sesuai realita di lapangan...",Negative,2024-07-25T13:58:34Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@ree.antika,"Knp yaa kalu harga udah belasan juta saya malahan kepikiran beli android dari pada iphone, saya juga bukan orang kaya dengan harga segitu saya masih mikir buat beli iphone dengan harga segitu, apalagi sperpat iphone mahal"" Saya pernah make iphone tiap hari intip BH iphone terus, saking sayangnya sama tuh HP aktifitas yg sering di lakukan di hp makin berkurang seperti main game dan lain"" Dikarenakan BH biar awet🥲😌",Negative,2024-07-24T08:51:45Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@emirfarhan,"Simpel aja sih klo mau cari hp terbaik, cek daily driver reviewer hp apa aja, jatohnya samsung sama iphone kan 😂😂😂😂",Negative,2024-07-22T05:45:57Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@ssafarisman2192,"""hp cina di atas 10 juta sulit bersaing bang.... kalo harga di atas 10 juta smpe 15 juta lebih.. mending ipong kemana2.. orang kampung sama kota juga gitu.. sulit bersaing. kecuali hp cina di harga 5 juta an.. baru bisa recomen😂""",Negative,2024-07-19T04:51:06Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@opstore.onexplore8366,Terlanjur beli Samsung s24 😢,Negative,2024-07-14T13:19:37Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@panjip3845,"Ttetep aja upload di IG, FB, WA bakal di compress sama Bang Zukerberg😅, kcuali lu make iphone baru di jadiin HD😅",Negative,2024-07-14T01:02:36Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@MasDirz,Trauma pake vivo X70 Pro keluar garis ungu setelah 2/3 tahunan pemakaian. Itu traumatic terberat. Sampe masuk bengkel. Mau upgrade tp takut kejadian lagi. Ngincernya sih S24 plus.,Negative,2024-07-11T10:44:48Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@kangngopi374,"Bagus sih, tpi design kameranya kyk mata minion 😭",Negative,2024-07-09T07:28:15Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@hanihoneyy,Disign nya gk keren malu pegang nya😅 mending pegang HP murah tp disign yg keren di bw kmna2 gk bikin malu,Negative,2024-07-07T07:24:34Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@FirdiansyachRayagung,"Kpan turun 10jt😅 hp tu ya kira""😅",Negative,2024-07-06T23:32:40Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@rasdimahmud7118,"""Apa daya aku masih pake v29 5G Tapi jujur aku gk suka lihat designnya X100 krna bulet di blakang nya besar bngt jatuh nya gk elegan malah kyk lensa DSLR Coba model nya sama kyk v29 atau v27 masih mending Apa lagi di kasih varian warna yg lebih menantang lagi biar mantap""",Negative,2024-07-05T10:39:22Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@muhammadtegaralsyiad8754,Bagus sihh.. Tapi model cameranya .. segede gaban,Neutral,2024-07-09T14:52:05Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@rendigaming0721,"jujur aja gua ga suka sama dominasi merk, makanya lebih sering rekomendasiin xiaomi, oppo, vivo dkk daripada samsung meskipun budget bukan masalah wkwk",Neutral,2024-07-06T08:45:00Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@radhiaufar354,Hasil fotonya gilaaa,Positive,2024-11-16T10:42:16Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@DinBadar,"Gilaa keren banget ini mah hape ,❤❤❤",Positive,2024-11-15T04:15:55Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@imammaulanafadhil755,masuk withlist,Positive,2024-11-10T01:26:47Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@philipsadono5734,Wuih....bersih banget hasil jepretan dan videonya. Keren👍👌,Positive,2024-11-07T13:50:05Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@bduls123,"the best sih yg ini, tapi versi terbaru x200 pro malah downgrade",Positive,2024-11-01T15:49:59Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@oscarardiano4215,Hp impian,Positive,2024-10-26T03:22:16Z,0,Vivo X100 Pro,Vivo,Flagship,2024
@ahd8661,Vivo x100+ iphone 15 kayaknya udh pas bgt ini buat daily drive 😁,Positive,2024-10-17T20:05:59Z,0,Vivo X100 Pro,Vivo,Flagship,2024
