author,comment,sentiment,timestamp,like_count,tipe_produk,brand,segment,release_date
@MarkusLiung-np5sg,Klo layar besar curve pst terpikat nih....saingan samsung,positif,2024-11-17T06:16:53Z,0,Xiaomi 14T Pro,Xiaomi,Flagship,Sep-24
@demekin5921,semoga kebeli bulan ini aamiin,positif,2024-11-16T22:59:10Z,0,Xiaomi 14T Pro,Xiaomi,Flagship,Sep-24
@garrettsur1055,Apa ga cepet jebol itu batere nya di charge 130W...jgn2 pake 10-12 bulan udah harus ganti batere 😂😂,netral,2024-11-16T00:43:36Z,0,Xiaomi 14T Pro,Xiaomi,Flagship,Sep-24
@Anakkecil22,Nunggu turun ke 6 juta🤣,negatif,2024-11-15T09:38:09Z,0,Xiaomi 14T Pro,Xiaomi,Flagship,Sep-24
@mangabdulchannel,Nonton pake 12T udah mau 2 tahun 😅,negatif,2024-11-14T16:19:09Z,0,Xiaomi 14T Pro,Xiaomi,Flagship,Sep-24
@adiegames9786,Alhamdulillah udah kebeli 14T Pro,positif,2024-11-14T15:27:01Z,0,Xiaomi 14T Pro,Xiaomi,Flagship,Sep-24
@punyatabungan,Xiaomi forever lah bang eh maksudnya Redmi forever 😅,positif,2024-11-14T10:40:18Z,0,Xiaomi 14T Pro,Xiaomi,Flagship,Sep-24
@Rdhoni.S,"Maaf bang, newbie .. Mau tanya, 
Baru beli 14t pro biar bisa rekam video 8k gmn ya ?",netral,2024-11-13T15:08:31Z,0,Xiaomi 14T Pro,Xiaomi,Flagship,Sep-24
@suyantoanto1162,Bjir bgs ya videonya,positif,2024-11-13T12:39:59Z,0,Xiaomi 14T Pro,Xiaomi,Flagship,Sep-24
@nikorizky9536,"bentuk kamera xiaomi 14T pro jelek, saya punya xiaomi 13T pro ram 12/256, bentuk kameranya cakep performanya mantap, saya jual ganti s24 ultra",negatif,2024-11-13T12:02:50Z,0,Xiaomi 14T Pro,Xiaomi,Flagship,Sep-24
@gatragie24,Mending xiaomi laah...😂😂,positif,2024-11-13T05:40:59Z,0,Xiaomi 14T Pro,Xiaomi,Flagship,Sep-24
@hyoncchi_7381,"inceraannnn 🤣🤣 gara2 ada vendor kirim foto, kirain ipon ternyata pas dilihat ada tagnya hp ini, wagilaseh sukak banget sama tone warna hasil fotonya, malah menurutku mirip2 hasilnya kamera fujifilm yang ada tone khasnya 🤭poco seri flagship ayokk kapan ini mau bikin kamera model kayak gini",positif,2024-11-13T01:37:11Z,1,Xiaomi 14T Pro,Xiaomi,Flagship,Sep-24
@anythingeverything4308,"Nambah dikit bisa dpt iPhone 13, chipset kenceng, kamera juga gak usah ditanya..
Hrga 8jt an jga bisa dpt iPhone 13 second iBox yg msih mulus..",negatif,2024-11-12T14:17:34Z,0,Xiaomi 14T Pro,Xiaomi,Flagship,Sep-24
