author;comment;sentiment;timestamp;like_count;tipe_produk;brand;segment;release_date
@an_xx_w;Harga;netral;2024-10-19T23:05:05Z;0;OPPO Find X7;OPPO;Flagship;2025
@IniOrangMedan;Tapi belum 8k 30 fps kamera nya padahal s 23 biasa udah punya juga heheheh;negatif;2024-10-08T12:38:57Z;0;OPPO Find X7;OPPO;Flagship;2025
@lincihzmontalung1555;sygnya ga dijual secara resmi di Idn ya;negatif;2024-09-20T05:13:08Z;0;OPPO Find X7;OPPO;Flagship;2025
@mekanik1038;Mending fin x6 pro apa find x7 5g bang ??;netral;2024-09-15T03:34:52Z;0;OPPO Find X7;OPPO;Flagship;2025
@G-studioOfficial;i need thisone;positif;2024-08-30T10:47:51Z;0;OPPO Find X7;OPPO;Flagship;2025
@GalangSetra-tq3sz;Yg lain udah IP 68 si oddo masih 65 ??;negatif;2024-07-21T15:34:31Z;0;OPPO Find X7;OPPO;Flagship;2025
@putrajomblo6185;"Bang 
Oppo find X7 Ultra 
Apa ada Pakai Bahasa Indonesia 
??????";netral;2024-06-14T15:28:05Z;0;OPPO Find X7;OPPO;Flagship;2025
@bayugunantika5430;bagaimana cara beli nya?;netral;2024-04-24T07:06:30Z;0;OPPO Find X7;OPPO;Flagship;2025
@nentyent-s6e;Find X6 pro or FindX7?;netral;2024-03-16T10:42:44Z;0;OPPO Find X7;OPPO;Flagship;2025
@pineaplehead5020;wah gak kalah sama yg ultra;positif;2024-02-26T07:39:18Z;0;OPPO Find X7;OPPO;Flagship;2025
@n.hermanto9667;Skip... 2024 masih saja pakai layar lengkung ??;negatif;2024-02-23T10:07:32Z;0;OPPO Find X7;OPPO;Flagship;2025
@aldiana7197;Mahal mending poco x6 proo;negatif;2024-02-15T05:12:02Z;0;OPPO Find X7;OPPO;Flagship;2025
@Gaktau_0;Lu beli di mana bang ??? Tokopedia???;netral;2024-02-11T01:19:39Z;0;OPPO Find X7;OPPO;Flagship;2025
@klfcahmad5908;Wah masa ml stuck di 60fps. Yg bnr aja, rugi dong;negatif;2024-02-10T14:22:18Z;0;OPPO Find X7;OPPO;Flagship;2025
@e.suardiarmansyah457;selalu keren speknya oppo;positif;2024-02-10T13:27:59Z;0;OPPO Find X7;OPPO;Flagship;2025
@PantekDekAng;Oddong sangarnya di flagship nya doang dah ??;negatif;2024-02-10T05:37:00Z;0;OPPO Find X7;OPPO;Flagship;2025
@yovi_widiyanto2583;Find X kameranya gak pernah gagal;positif;2024-02-09T17:27:11Z;0;OPPO Find X7;OPPO;Flagship;2025
@yusupppm;Tim nyimak aja beli nya kagak wkwkwk;netral;2024-02-09T10:10:16Z;0;OPPO Find X7;OPPO;Flagship;2025
@ilhamtvchannel2;Oppo selalu semakin mantap;positif;2024-02-09T01:39:06Z;0;OPPO Find X7;OPPO;Flagship;2025
@nanako_12;Oppo ma Uda keren;positif;2024-02-08T18:50:06Z;0;OPPO Find X7;OPPO;Flagship;2025
@ilhamtvchannel2;Bagus banget;positif;2024-02-07T02:44:49Z;0;OPPO Find X7;OPPO;Flagship;2025
@yordandelion;Selain yola yang cakep, desain hape ini juga cakep ??;positif;2024-02-06T23:46:59Z;3;OPPO Find X7;OPPO;Flagship;2025
@ainurrahman1832;Oppo find x7 mantappp;positif;2024-02-06T15:33:03Z;0;OPPO Find X7;OPPO;Flagship;2025
@Ardsaputra0206;Boba nya g nanggung nanggung bang ??;netral;2024-02-06T13:18:13Z;0;OPPO Find X7;OPPO;Flagship;2025
@NurHidayat-um6fe;Tetap xiomi dan Samsung ????;positif;2024-02-06T12:14:04Z;0;OPPO Find X7;OPPO;Flagship;2025
@rendy.bulux11;Keren parah ini sih;positif;2024-02-06T11:48:04Z;0;OPPO Find X7;OPPO;Flagship;2025
@dedisusanto2655;Kapan masuk indo om;netral;2024-02-06T10:33:06Z;0;OPPO Find X7;OPPO;Flagship;2025
@Dimas_surya1;Bang Dhiarcom coba bang tws bluetoot m90 pro vs m90 max vs m28 apakah bisa wireles carger;netral;2024-02-06T10:01:10Z;0;OPPO Find X7;OPPO;Flagship;2025
