author;comment;sentiment;timestamp;like_count;tipe_produk;brand;segment;release_date
@kangdodoy9957;Saya butuh Tuhan tolong ??, coba aja ada di erafone indonesia??;negatif;2024-11-12T06:12:26Z;0;Pixel 9a;Google;Mid-Range;Jul-05
@mramed8448;Desain yang bagus;positif;2024-10-26T13:41:23Z;0;Pixel 9a;Google;Mid-Range;Jul-05
@yanski9395;Membandingkan Pixel 6a saya dan Honor Magic 5 Pro, saya lebih suka 6a. Saya akan menunggu sampai Pixel 10a;positif;2024-10-23T17:00:35Z;3;Pixel 9a;Google;Mid-Range;Jul-05
@Mister_Mr_Man;Google luar biasa ?????? pekerjaan yang hebat;positif;2024-10-23T05:25:39Z;3;Pixel 9a;Google;Mid-Range;Jul-05
@N1njaChipmunk;20W bukan pengisian cepat;negatif;2024-10-22T16:41:41Z;1;Pixel 9a;Google;Mid-Range;Jul-05
@The-real-kingkah;Maaf, tapi desain Google Pixel 9a sangat jelek, kenapa tidak menggunakan desain yang sama dengan seri Pixel A lainnya?;negatif;2024-10-21T19:04:53Z;0;Pixel 9a;Google;Mid-Range;Jul-05
@lovingsuchiang5786;nothing 2a ??;netral;2024-10-21T06:21:16Z;2;Pixel 9a;Google;Mid-Range;Jul-05
@ciprianadrian21;Desainnya luar biasa;positif;2024-10-20T11:59:31Z;2;Pixel 9a;Google;Mid-Range;Jul-05
@AkbarShah-d3l;?bagus;positif;2024-10-20T05:01:33Z;1;Pixel 9a;Google;Mid-Range;Jul-05
@FoxVol;Anda tidak memperhitungkan bahwa bahkan dalam render yang bocor, bezel layar sangat BESAR seperti di 7a, 8a sebelumnya, dan di video bezel-nya tipis seperti 9 Pro XL.;negatif;2024-10-19T05:33:35Z;4;Pixel 9a;Google;Mid-Range;Jul-05
@TheYoshibeast1;Lumayan suka desainnya;positif;2024-10-18T22:41:26Z;0;Pixel 9a;Google;Mid-Range;Jul-05
@minimalist._;Lebih baik dari yang asli ?;positif;2024-10-18T08:18:36Z;1;Pixel 9a;Google;Mid-Range;Jul-05
@mximus862;Desainnya berbeda? Ya, karena Google sudah mainstream dengan lini Pixel mereka, jadi mereka harus membedakan yang murah;netral;2024-10-18T06:22:00Z;8;Pixel 9a;Google;Mid-Range;Jul-05
@fabistar2000;Tidak mungkin model entry Google memiliki bezel lebih tipis daripada model flagship mereka.;negatif;2024-11-16T22:29:30Z;0;Pixel 9a;Google;Mid-Range;Jul-05
@rajkumar_og;Jadi apa perbedaan antara Pixel 9 biasa & yang ini? 9a terlihat lebih baik daripada yang biasa.;positif;2024-11-15T12:48:35Z;1;Pixel 9a;Google;Mid-Range;Jul-05
@ketchupash2252;Saya mungkin akan upgrade Pixel 6a saya ke ini. Ini terlihat luar biasa;positif;2024-11-15T07:02:54Z;1;Pixel 9a;Google;Mid-Range;Jul-05
@kennethgarote3587;Saya suka ???;positif;2024-11-14T10:17:46Z;0;Pixel 9a;Google;Mid-Range;Jul-05
@ledhicks;Jika ini benar, saya akan menunggu. Bump kamera pada 9 itu sangat jelek seperti Robocop!;positif;2024-11-14T00:50:38Z;0;Pixel 9a;Google;Mid-Range;Jul-05
@passivevii4052;Saya sangat meragukan ini akan memiliki 8GB RAM ketika Pixel 9 normal memiliki 12GB RAM dan 8 tidak cukup;negatif;2024-11-13T21:18:44Z;0;Pixel 9a;Google;Mid-Range;Jul-05
@Sabsebadepapa;Tidak akan pernah membeli Pixel kecuali mereka mengganti chipset Tensor;negatif;2024-11-13T14:50:15Z;0;Pixel 9a;Google;Mid-Range;Jul-05
@MisstakenDoge95;Sekarang jika saja mereka standarisasi lensa telefoto seperti lensa UW.;netral;2024-11-12T12:30:01Z;3;Pixel 9a;Google;Mid-Range;Jul-05
@west15;Semua baik-baik saja, tapi modemnya adalah Exynos 5300 lama, bukan Exynos 5400 baru yang digunakan di Pixel 9.;negatif;2024-11-12T05:58:00Z;0;Pixel 9a;Google;Mid-Range;Jul-05
@devanshprakash8354;Ini terlihat jelek;negatif;2024-11-11T06:46:41Z;0;Pixel 9a;Google;Mid-Range;Jul-05
@simstech5697;Bagus;positif;2024-11-10T00:54:49Z;0;Pixel 9a;Google;Mid-Range;Jul-05
@rogerskanyita1418;Ini terlihat membosankan. Saya suka desain sebelumnya;negatif;2024-11-08T21:36:16Z;0;Pixel 9a;Google;Mid-Range;Jul-05
@RadithSamaratunga;Saya rasa ini tidak akan memiliki layar LTPO mengingat fakta bahwa Pixel 9 biasa saja tidak memiliki LTPO.;negatif;2024-11-05T15:04:22Z;0;Pixel 9a;Google;Mid-Range;Jul-05
@K_Catapilla;Mengingatkan saya pada Essential Phone;netral;2024-11-04T19:37:36Z;0;Pixel 9a;Google;Mid-Range;Jul-05
@artdogg50;$550 akan menjadi ide buruk.;negatif;2024-11-03T19:36:48Z;0;Pixel 9a;Google;Mid-Range;Jul-05
@itsjaik;Lol...550$? Kenapa mereka bahkan meluncurkan ini? ??;negatif;2024-11-02T06:35:32Z;0;Pixel 9a;Google;Mid-Range;Jul-05
@mysticery;Sejujurnya... Jika desain ini benar dan merembes ke desain Pixel 10 dan seterusnya,... Mari berharap tidak ada pengorbanan dalam hal hardware.. Tim desain Google begitu terfokus pada pilihan dan keputusan desain yang aneh. Bahkan pada seri Pixel 9,.. speaker bawah telah dipindahkan ke sisi kiri.. kenapa! Sekarang saya harus memegang ponsel dengan cara tertentu di posisi landscape agar tidak menutupi speaker. Atau mengubah cara saya menggunakan ponsel di landscape..;negatif;2024-11-01T06:53:12Z;2;Pixel 9a;Google;Mid-Range;Jul-05
@nosionose6894;Model Pixel yang sekarang, bagi saya tidak layak karena desainnya, mereka terlihat jelek.;negatif;2024-10-31T02:35:00Z;0;Pixel 9a;Google;Mid-Range;Jul-05
@maxterwel;Kecuali jika datang dengan bezel besar, ini bukan Pixel A.;negatif;2024-10-30T17:29:04Z;0;Pixel 9a;Google;Mid-Range;Jul-05
@seanwheat4078;Diluncurkan pada Maret 2025, saya berharap ini datang dengan versi Android terbaru. ??;netral;2024-10-30T13:03:55Z;1;Pixel 9a;Google;Mid-Range;Jul-05
