author;comment;sentiment;timestamp;like_count;tipe_produk;brand;segment;release_date
@diyspacecrafts;Menunggu rilis pasar global ????;netral;2024-11-15T00:28:41Z;0;Redmi Note 14 Series;Xiaomi;Mid-Range;Jul-05
@alsanabani;Perangkat ini tidak kompatibel dengan perangkat AS. Jangan beli langsung dari situs web mereka karena mereka tidak menawarkan pengembalian dan Anda tidak akan mendapatkan pengembalian dana. Ini penipuan;negatif;2024-11-11T13:44:43Z;0;Redmi Note 14 Series;Xiaomi;Mid-Range;Jul-05
@ymnvlogs;Menunggu ponsel ini ??;positif;2024-11-10T03:59:46Z;0;Redmi Note 14 Series;Xiaomi;Mid-Range;Jul-05
@jamesverdida9353;Selamat Xiaomi atas peluncuran Redmi Note 14 pro dan pro plus, pembaruan besar ke tingkat tertinggi. Suka dengan faktor bentuk terbarunya, perangkat lunak dan perangkat keras terbaru dari model-model ini... ???;positif;2024-11-08T05:24:04Z;0;Redmi Note 14 Series;Xiaomi;Mid-Range;Jul-05
@RaselAlam-o5s;Tidak ???? jack audio 3,5;negatif;2024-11-06T02:18:05Z;0;Redmi Note 14 Series;Xiaomi;Mid-Range;Jul-05
@HeinekenLasse;Tidak ada jack headphone, tidak beli;negatif;2024-10-31T10:50:27Z;0;Redmi Note 14 Series;Xiaomi;Mid-Range;Jul-05
@steve-lh7tp;Apakah Xiaomi akan merilis mi 14lite alias 14 civi secara global? Karena ponsel ini luar biasa ??;positif;2024-10-15T13:41:19Z;0;Redmi Note 14 Series;Xiaomi;Mid-Range;Jul-05
@juvykentzamora3972;Di mana saya bisa membeli;netral;2024-10-14T07:21:00Z;0;Redmi Note 14 Series;Xiaomi;Mid-Range;Jul-05
@smoKing4freedom;Baterai 6000 mAh adalah peningkatan kecil ??;netral;2024-10-13T05:19:38Z;0;Redmi Note 14 Series;Xiaomi;Mid-Range;Jul-05
@kpaxx8882;Kenapa tidak ada input jack 3,5 mm? Earphone Bluetooth kualitas suara jelek dan boros energi, kenapa dihilangkan? Apple tidak harus selalu diikuti;negatif;2024-10-12T20:17:30Z;0;Redmi Note 14 Series;Xiaomi;Mid-Range;Jul-05
