author;comment;sentiment;timestamp;like_count;tipe_produk;brand;segment;release_date
@KeishaCalista-m7y;Desain ny kyk hp 3jt, padahal ini flagship;negatif;2024-11-16T23:11:49Z;0;Xiaomi 15 Pro;Xiaomi;Flagship;2025
@rikixgaulelfath;Kameranya bagus sih cmu agak kurang greget, mudah2an di update software selanjutnya aman.;positif;2024-11-16T17:50:53Z;0;Xiaomi 15 Pro;Xiaomi;Flagship;2025
@faqihudinpratama9741;saya nungguin yg 15 regular waah, cukup device compact dgn performance mumpuni;positif;2024-11-16T05:08:17Z;1;Xiaomi 15 Pro;Xiaomi;Flagship;2025
@mangandolan;Desain. Ya sumpahh ...jelekk bgt;negatif;2024-11-15T15:59:09Z;0;Xiaomi 15 Pro;Xiaomi;Flagship;2025
@christianovahandaru8429;ngeluh;negatif;2024-11-15T14:35:18Z;0;Xiaomi 15 Pro;Xiaomi;Flagship;2025
@m.ariefperdana5678;mediatek benar benar sudah menyamain snapdragon,akhirnya kita memasuki era chipset buat hape flagship gak itu itu aja;netral;2024-11-15T13:34:47Z;0;Xiaomi 15 Pro;Xiaomi;Flagship;2025
@fahrezasalim722;makin ke sini makin gak peduli sama review kamera, beda beda tipis gak kerasa, gak di gunakan tiap hari juga, mending review aja user experien terkai OS dan UInya, AI game oke lah;netral;2024-11-15T06:53:19Z;0;Xiaomi 15 Pro;Xiaomi;Flagship;2025
@mostpopular7816;VIVO emang gak ada obat;negatif;2024-11-15T05:59:41Z;0;Xiaomi 15 Pro;Xiaomi;Flagship;2025
@wafiemwe7643;Bbk group punya system cooling yg bagus;positif;2024-11-15T05:55:42Z;0;Xiaomi 15 Pro;Xiaomi;Flagship;2025
@nursalim7989;Tes spikernya dong bang;netral;2024-11-15T04:50:31Z;0;Xiaomi 15 Pro;Xiaomi;Flagship;2025
@sungkantonggo2293;Xiaomi bikin disain hp yg mirip kamera saku DSLR dong..;netral;2024-11-15T04:27:31Z;0;Xiaomi 15 Pro;Xiaomi;Flagship;2025
@boyeki6804;masih setia di xiaomi 14 sih;negatif;2024-11-15T03:02:15Z;0;Xiaomi 15 Pro;Xiaomi;Flagship;2025
@MrsJones-lz8xn;xiaomi phone panas spnjng zaman;negatif;2024-11-15T02:13:50Z;0;Xiaomi 15 Pro;Xiaomi;Flagship;2025
@Denwahid;Bener gw juga kurang sreg sama desain kameranya;negatif;2024-11-15T00:51:57Z;0;Xiaomi 15 Pro;Xiaomi;Flagship;2025
@muhammadisa4808;Udah sih 2025 emg tahunnya flagship vivo no debat??;negatif;2024-11-14T23:02:08Z;0;Xiaomi 15 Pro;Xiaomi;Flagship;2025
@manofculturecum;ngeri skor Geekbench OnePlus 13, udh setara apple M1;positif;2024-11-14T16:50:09Z;0;Xiaomi 15 Pro;Xiaomi;Flagship;2025
