author,id,comment,sentiment,timestamp,like_count,tipe_produk,brand,segment,release_date,text_processed
@rinzia2346,1,"batre 5000 mah kerasa kurang awet ga sih di hp ini.12nm harusnya efisiensi daya cukup awet. dan kerasa anget kalo dipake jangka lebih dr 30 menit,apa karena jenis batre tipe Li ion",negative,2024-10-23 05:11:29+00:00,0,Tecno Spark 20C,Tecno,Entry-Level,24-Jan,baterai 5000 kerasa awet tidak sih handphone 12nm efisiensi daya hangat dipakai jangka dari 30 menit jenis tipe li ion
@LiriklaguKu-x8s,2,"Bang kok punya ku g ada fitur nfc nya, solusinya dongssss...",negative,2024-11-04 10:29:48+00:00,0,Tecno Spark 20C,Tecno,Entry-Level,24-Jan,bang ku tidak fitur nfc nya solusinya dongssss
@encischannel9849,3,Gue juga pake tekno spark 20c tp ko g ada nfc ya,neutral,2024-09-11 15:30:53+00:00,0,Tecno Spark 20C,Tecno,Entry-Level,24-Jan,pakai teknologi spark 20c tidak nfc iya
@WelderIjo,4,hp dont play pubg nih,neutral,2024-05-03 12:14:37+00:00,0,Tecno Spark 20C,Tecno,Entry-Level,24-Jan,handphone do not play pubg
@edybaskorobaskoro9660,5,Frame dropnya kok keliatan parah gitu ? Jauh sama si ZTE vita 40,negative,2024-02-29 18:19:10+00:00,0,Tecno Spark 20C,Tecno,Entry-Level,24-Jan,frame dropnya parah sama sih zte vita 40
@alka_12345,6,Buat wa sosmed YouTubeban kayanya oke.. ngegame jarang,positive,2024-06-10 07:21:34+00:00,0,Tecno Spark 20C,Tecno,Entry-Level,24-Jan,wa medium sosial youtubeban oke ngegame jarang
@SudarjaOglex-r3v,7,Top number one,positive,2024-04-02 13:29:22+00:00,0,Tecno Spark 20C,Tecno,Entry-Level,24-Jan,top number one
@IffanRiffa,8,Waw gw main GTA San pake Tecno spark 20c,positive,2024-11-15 11:30:14+00:00,0,Tecno Spark 20C,Tecno,Entry-Level,24-Jan,wow gue main grand theft auto san pakai tecno spark 20c
@azrielpranaja8695,9,Sebenarnya soal harga semua hp transholding itu sudah wajar dan jujur karena merk belum seterkenal brand raksasa lainnya kalau brand raksasa lainnya menurut ku untuk harga sangat overprice padahal suku cadang pembuatan smartphone tidak mungkin semahal itu contohnya iPhone semua karena soal pamor brand aja,negative,2024-11-14 06:45:05+00:00,0,Tecno Spark 20C,Tecno,Entry-Level,24-Jan,harga handphone transholding wajar jujur merek belum seterkenal raksasa ku overprice suku cadang pembuatan smartphone tidak semahal contohnya iphone pamor
@WahyuuSaputra-c9x,10,Punya saya tecno spark 20c dah 2 tahun aman aja gk ngeleg kaya yg di konten bilang minus jelek,positive,2024-11-05 15:12:50+00:00,0,Tecno Spark 20C,Tecno,Entry-Level,24-Jan,tecno spark 20c 2 aman tidak ngeleg kayak konten bilang minus jelek
@Danish-o4w,11,Nonton pake tecno 20c,positive,2024-11-05 12:09:25+00:00,0,Tecno Spark 20C,Tecno,Entry-Level,24-Jan,menonton pakai tecno 20c
@zaenalmut2307,12,Buat jangka panjangbbagus gk ya?,positive,2024-10-07 12:19:17+00:00,0,Tecno Spark 20C,Tecno,Entry-Level,24-Jan,jangka panjangbbagus tidak iya
@sdrja7309,13,top.... murah meriah,positive,2024-09-09 07:29:08+00:00,0,Tecno Spark 20C,Tecno,Entry-Level,24-Jan,top murah meriah
@joesundanese6994,14,Otw kredit nih hp ,neutral,2024-08-14 11:32:57+00:00,0,Tecno Spark 20C,Tecno,Entry-Level,24-Jan,on the way kredit handphone
@bizar5561,15,Baru saja beli mi,positive,2024-07-20 00:17:12+00:00,0,Tecno Spark 20C,Tecno,Entry-Level,24-Jan,baru beli mi
@Satria.Ari15,16,baru mau beli ni hp bulan depan .buat gantiin redmi note 8 yang udh mulai tua ,positive,2024-06-20 11:01:09+00:00,0,Tecno Spark 20C,Tecno,Entry-Level,24-Jan,baru beli nih handphone gantikan redmi note 8 tua
@Yesika-pc4id,17,Baru beli 2hari yang lalu semoga awet,positive,2024-06-12 08:54:59+00:00,0,Tecno Spark 20C,Tecno,Entry-Level,24-Jan,baru beli 2hari semoga awet
@meidinarsekar7862,18,klo buat bapa kayanya udh cukup yaaa,neutral,2024-06-11 10:44:26+00:00,0,Tecno Spark 20C,Tecno,Entry-Level,24-Jan,bapa ya
