author;comment;sentiment;timestamp;like_count;tipe_produk;brand;segment;release_date
@muhammadfadly5901;Itel dah ngeluarin duluan tuh S25 ultra??????;;2024-11-05T04:06:23Z;1;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@iqbalpreneur;"Lah dr susunan kameranya
Gk make sensor 1 inch nih ?";netral;2024-10-27T12:46:16Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@ProfessionalMocker;iPhone destroyer is coming;positif;2024-10-15T07:15:23Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@BintangBintang-y4l;Kluar tiap th tp g ad beda yg signifikan dr S sblm2nya;negatif;2024-10-13T14:52:19Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@kennydimitra;"mending desain nya di keep aja gak sih kek s23, s24 ultra. kalo di ubah compact gini orang lain gatau kalo kita pake hp ultra series
karna akan keliatan mirip S24 biasa ????";negatif;2024-10-12T09:47:19Z;1;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@rynryn277;Layar lengkungnya udah ga ada apa min?;netral;2024-10-09T12:54:16Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@Tjah358;Mantap nih.. desainya..;positif;2024-10-07T15:42:07Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@erwingideon8198;"Selama Layar LENGKUNG nya di hilangkan seperti s24 Ultra Maka TETAP KURANG LAKU ????
second nya saja masih mahal s23 ultra daripada s24 ultra.
Karena s23 ultra msh melengkung";negatif;2024-10-06T02:02:20Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@viralbangetindo;Tebal dan berat seperti batu bata;negatif;2024-09-29T09:35:15Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@asaltau8837;"Nah malah pake layar flat/datar . udah bosen kah pake layar lengkung ? makanya banyak brand China yg pake layar lengkung sekarang ?

tapi bagus sih ini feel premium dapet , feel Compact dapat. tapi ,,, kayak hp Sony ?";netral;2024-09-28T12:42:56Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@WarkopAsik;Sayang banget kalo sampe desain kotak tegasnya hilang,;negatif;2024-09-28T09:25:07Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@andikarachman16;Sebetulnya secara dimensi dan desain bentuk yg s24 Ultra saat ini udah oke kok, mungkin s25 Ultra bisa kasih pembeda kyk di layout kamera atau upgrade spek aja;positif;2024-09-25T14:20:31Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@desraaufar;Percayalah HP kalo bentuk tepi nya kotak lebih gak enak di pegang ketimbang bentuk tepi nya ada lengkungannya;negatif;2024-09-24T13:39:23Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@SahabatPutin;rekayasanya comot punyaan xperia;negatif;2024-09-24T07:12:42Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@Nakiyagamingyt;Aku cuman pengen samsung kembali dengan bentuk kamera & bentuk kotaknya ?? knp skrg samsung aneh banget desain;negatif;2024-09-23T22:42:01Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@radenia_ap;Punya layar lengkung bagus gak di pake.;negatif;2024-09-23T14:26:24Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@putriportrait;Kok agak mirip model A73 5G yah?! ??;negatif;2024-09-23T04:16:54Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@yunitaJ-ml7cf;Layar bergaris kah ? Udh nemuin solusinya blom sih sekelas ini . Harga mahal tapi gak tahan lama pemakaian.;negatif;2024-09-22T18:49:16Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@anggersdayu9900;Bikin 6,1 inc lh yg farian ultra,,beli yg seri biasa,,gua butuh spek yg tinggi,,tapi kegedean,,gk muat di kantong;negatif;2024-09-22T16:42:18Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@Amnhabakiri;Lebar 72mm kayaknya paling enak deh.;netral;2024-09-22T11:30:01Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@MILIHARR;Apa kata sony mengenai ini ??.. aku suda pake design compact dr jaman... ??????;negatif;2024-09-22T06:08:48Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@ryanrichard4283;S24ultra aja blm lunas cicilan,uda mau keluar lagi wkwkwke;netral;2024-09-22T04:37:28Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@zandar80;keren kaya hp sony ??;;2024-09-21T16:37:07Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@ronzkyxxx;Kembalikan ke bentuk mirip note 20 ultra tuh cakep;negatif;2024-09-20T18:18:33Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@indradijaya-zx2ht;Kembalikan bentuk S yg dlu. Ga suka dicampur2 sama note;negatif;2024-09-20T12:56:14Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@muhammadjazuli9920;Tetap saja tidak ada charger nya;negatif;2024-09-20T12:30:05Z;2;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@rktech5320;Tidak menarik dari S20 sama aja;negatif;2024-09-20T08:12:50Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@menggala30071981;Bg horang kaya hp ini cocok dijadikan tatakan gelas champagne ??;negatif;2024-09-20T01:03:00Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@evilofalfa;bole bole;positif;2024-09-19T16:22:26Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@sintaxerror423;itu kabar yg bikin sedikit gembira si.. setidak punya bentuk lah.. dr pada kotak bata..;positif;2024-09-19T16:04:22Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@radhikachalid;Keren klo gt modelnya;positif;2024-09-19T15:26:49Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@hapri236;pinggiran nya cakep uy;positif;2024-09-19T14:43:08Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@lsfaom;tetap no curve ? shit;negatif;2024-09-19T11:35:34Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@Weinen8894;Galaxy makin mirip Xperia, maksudnya apa yah;negatif;2024-09-19T11:30:56Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@muhammadridzuan44;Nanti bikin screen flat kawah;negatif;2024-09-19T10:12:56Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@mybluechelseaa;"Compact MUSTAHIL
Yg dicari s25 ultra kelak
- flat
- rounded frame
- bobot ringanan
- kokoh ga mudah janur ceplak dan korosi kek s24 ultra
- stylus optional kembali";netral;2024-09-19T07:47:14Z;23;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@andinugr4ha;Ini samsung apa xiomi redmi note, koq sudutnya kaku gituh hahahaha;negatif;2024-09-19T07:26:43Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@dimasjovanka5666;Mirip a series;netral;2024-09-19T07:11:51Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@ahmadalvian8004;#kamisukacompact;netral;2024-09-19T06:13:40Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@khafidy2791;Belum kebeli s23 ultra, eh ini udh rilis lgi??;netral;2024-09-19T05:42:54Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@jangdegus;Jirrr design nya makin tajemm??;positif;2024-09-19T05:09:13Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@jiqballl;Terlihat kek sony ??;netral;2024-09-19T04:52:06Z;1;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@Durio_zibethinus;Pengen deh hp resmi dengan form factor dari balmuda phone, hp sabun dove ??;netral;2024-09-19T04:51:43Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@x-ray7109;Jeleg mending 24ultra;negatif;2024-09-19T04:38:12Z;1;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@ChristoferGeraldineTanjaya;Mantap Samsung;positif;2024-09-19T04:21:52Z;8;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@3_syarifaufarahman45;Ayolah Samsung minimal kasih perbedaan desain lah Ama Samsung kelas non S, walaupun masih mirip� desainnya tapi setidaknya kalau dilihat belakang aja bisa tahu ini seri S dan non S;negatif;2024-09-19T03:34:53Z;96;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@Hzlnutts;Jadi kyk sony;netral;2024-09-19T03:28:00Z;1;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@ahmadfathur3491;mirip sony juga ??;netral;2024-09-19T03:26:59Z;13;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
@Reyzeldotcom;Lebih suka yg sudut yg kaku sih;negatif;2024-09-19T03:24:24Z;0;Galaxy S25 Ultra;Samsung;Flagship;January 5, 2025
