author;comment;sentimen;timestamp;like_count;tipe_produk;brand;segment;release_date
@gusjaya893;s25 semoga Samsung gak pelit dng ram. sy pemakai s22 mau upgrade ke s24 gak jadi gara² s24 gak ada ram yg 12gb. adik pakai a50s upgrade ke a55 ram 12gb/256 kan enak.;negatif;2024-11-13T20:27:01Z;0;Galaxy S25;Samsung;Flagship;January 5, 2025
@SyennaaNsnsn;zoom smpe 200× ?? (ngelunjak dikit gpp lh ya??);netral;2024-11-04T10:19:26Z;0;Galaxy S25;Samsung;Flagship;January 5, 2025
@??;"Rumornya sih resolusi kamera UW meningkat jadi 50 MP untuk peningkatan di S25 Ultra. Inginnya sih seri reguler dan plusnya dapat UW ber-AF jadinya bisa makro soalnya si range yang sama brand"" China mulai bisa ngejar macam Xiaomi 14 series dan Vivo X100.";netral;2024-10-24T23:03:57Z;0;Galaxy S25;Samsung;Flagship;January 5, 2025
@ahmatsulkan9374;Semoga pakai snapdragon 8 elite.;positif;2024-10-24T05:22:08Z;0;Galaxy S25;Samsung;Flagship;January 5, 2025
@Char1995lotte;ya jangan lah. nilai jual s ultra ya periscope nya. nnti jadi gak exclusive kalau seri plus udah ada periscope nya.. sama kayak iphone seri standarnya yg masih 60hz layarnya. mirip case nya harusnya. biar keliatan beda sm yg seru pro nya;negatif;2024-10-23T04:13:46Z;0;Galaxy S25;Samsung;Flagship;January 5, 2025
@WarBuddha.;S25 biasa dapet periscope kayak Vivo x200 pro mini?? harapan gua;positif;2024-10-20T23:06:03Z;0;Galaxy S25;Samsung;Flagship;January 5, 2025
@wibawacandrasangkono3366;Ngga bakalan busa di s25 ultra karena ada spen;negatif;2024-10-19T17:58:50Z;0;Galaxy S25;Samsung;Flagship;January 5, 2025
@littlemovie6716;Yang diperbaiki layar bergarisnya ??;netral;2024-10-19T09:22:45Z;0;Galaxy S25;Samsung;Flagship;January 5, 2025
@shohibystore6920;Kembalikan layar curve 2.5nya;negatif;2024-10-18T01:34:14Z;0;Galaxy S25;Samsung;Flagship;January 5, 2025
@alanafandi5904;Magsafe + app office pc level, dah auto jadi daily driver businessman;positif;2024-10-17T14:05:51Z;0;Galaxy S25;Samsung;Flagship;January 5, 2025
@Nugbagus;Semoga di S25 Ultra camera depan bisa under display seperti Fold 6 + resolusinya naik, dan sudut2 nya bisa sedikit lebih rounded;positif;2024-10-17T12:52:00Z;0;Galaxy S25;Samsung;Flagship;January 5, 2025
@antonlukez2051;"Harapan gua Lensa utama 1"" 200mp, setup kamera 0.6x, 1x, 5x, 10x.

Selebihnya udah Ok.";positif;2024-10-17T04:58:43Z;1;Galaxy S25;Samsung;Flagship;January 5, 2025
