author;comment;sentimen;timestamp;like_count;tipe_produk;brand;segment;release_date
@Naiftv-52;Saya berharap bisa membelinya.. hampir semua unit serupa..;positif;2024-09-17T01:20:55Z;1;Huawei Pura 70;Huawei;Flagship;April 18, 2024
@grzegorzfiturski3713;Mana yang akan kamu pilih, Huawei Pura 70 atau Huawei P60 Pro?;netral;2024-08-21T14:43:08Z;1;Huawei Pura 70;Huawei;Flagship;April 18, 2024
@bl4ckywolf;Sebenarnya, resolusi video maksimal adalah 4k60, bukan 30;netral;2024-08-12T17:34:41Z;1;Huawei Pura 70;Huawei;Flagship;April 18, 2024
@banu305;Prosesor tidak bagus.;negatif;2024-07-21T02:32:34Z;0;Huawei Pura 70;Huawei;Flagship;April 18, 2024
@khushalmeena4378;Bagus, sangat baik, luar biasa plzzzzz Huawei Pura 70 Pro untuk giveaway. Saya sangat suka Huawei plzzzz.;positif;2024-07-19T20:44:03Z;0;Huawei Pura 70;Huawei;Flagship;April 18, 2024
@MystoganGame;Saya berpikir untuk membeli Pura 70 Pro. Dari segi harga dan performa, sepertinya lebih baik dibandingkan Ultra. Adakah yang pernah menggunakannya? Mana yang Anda rekomendasikan jika mempertimbangkan baterai, game, dan kamera?;positif;2024-07-15T11:47:01Z;0;Huawei Pura 70 Pro;Huawei;Flagship;April 18, 2024
@khunooy9;Saya membeli Pura 70 Ultra pada 9 Juli 20.;positif;2024-07-12T06:28:25Z;1;Huawei Pura 70;Huawei;Flagship;April 18, 2024
@АлександрБурмин-р6л;Huawei ?? Sebuah langkah menuju masa depan ??.;positif;2024-07-06T20:13:53Z;1;Huawei Pura 70;Huawei;Flagship;April 18, 2024
@Its_rouzixxi;Halo bro. Jadi, apa saran yang bisa kamu berikan - membeli Pura saja atau Pura 70 Pro? Menurutku, perbedaannya tidak sepadan dengan harga yang harus dibayar, bukan?;negatif;2024-07-05T14:05:27Z;3;Huawei Pura 70;Huawei;Flagship;April 18, 2024
@happyalom9652;1.380 dolar, sungguh?;negatif;2024-06-22T07:13:59Z;0;Huawei Pura 70;Huawei;Flagship;April 18, 2024
@rhinebinj.9943;Apakah ini benar-benar ponsel 5G atau 4G?;netral;2024-06-19T06:51:18Z;0;Huawei Pura 70;Huawei;Flagship;April 18, 2024
@TSV026;Ponsel yang sempurna ?.;positif;2024-06-07T13:33:07Z;1;Huawei Pura 70;Huawei;Flagship;April 18, 2024
@olej215;Tidak ada kartu memori ???? selamat tinggal.;negatif;2024-06-05T21:33:56Z;1;Huawei Pura 70;Huawei;Flagship;April 18, 2024
@คนรู้จักของคนรู้จัก;Lebih baik gunakan selisihnya untuk membeli model lain, karena harganya sudah seperti memaksa untuk membeli. Pilih sesuai dengan budget yang ada.;negatif;2024-06-03T10:03:04Z;0;Huawei Pura 70;Huawei;Flagship;April 18, 2024
@คนรู้จักของคนรู้จัก;Membuat banyak spesifikasi juga bisa berdampak negatif pada diri sendiri. Jika ingin bersaing dan melampaui model lain, fokuslah pada satu produk yang benar-benar hebat. Jangan malah membatasi diri sendiri.;negatif;2024-06-03T10:00:04Z;0;Huawei Pura 70;Huawei;Flagship;April 18, 2024
@BapCris;Tidak ada slot kartu memori tidak dapat diterima bagi saya;negatif;2024-05-25T03:05:17Z;0;Huawei Pura 70;Huawei;Flagship;April 18, 2024
@chesterchan2005;Prosesor tidak benar, P70 hanya menggunakan Kirin 9000s;negatif;2024-05-24T06:34:44Z;2;Huawei Pura 70;Huawei;Flagship;April 18, 2024
@chanlyna2528;Ultra sangat bagus ??;positif;2024-05-22T09:39:08Z;0;Huawei Pura 70 Ultra;Huawei;Flagship;April 18, 2024
@BayanistTV;Harga terlalu tinggi;negatif;2024-05-21T18:08:14Z;1;Huawei Pura 70;Huawei;Flagship;April 18, 2024
@Essamshawky-s7h;Aku suka sekali dengan itu;positif;2024-05-18T06:22:07Z;2;Huawei Pura 70;Huawei;Flagship;April 18, 2024
@ArsenBotman;eSIM?;netral;2024-05-15T13:52:32Z;0;Huawei Pura 70;Huawei;Flagship;April 18, 2024
@amituo4;Pura 70, zoom optik 5X vs Pura 70 Pro & Ultra: zoom optik 3.5X, saya kira 5X lebih baik, bukan?;netral;2024-05-15T10:21:17Z;2;Huawei Pura 70;Huawei;Flagship;April 18, 2024
@mtrst3290;Alasan saya membeli Huawei Pura 70 adalah karena saya tidak ingin Android dan IOS!;positif;2024-05-13T15:51:01Z;28;Huawei Pura 70;Huawei;Flagship;April 18, 2024
@Mavczers;Hal terpenting tentang kamera adalah ukuran sensor dan aperture beberapa lensa. Saya masih bertanya-tanya apakah Pura 70 lebih baik dari P60 Pro atau tidak karena harganya sangat mirip..;netral;2024-05-11T18:42:26Z;4;Huawei Pura 70;Huawei;Flagship;April 18, 2024
@sighmoonsays;Jadi perbedaan terbesar adalah harga dan kamera, jadi model dasar masih unggul ?? dibandingkan dengan iPhone yang overprice, tetapi tetap Samsung adalah pilihan terbaik.;positif;2024-05-06T05:40:39Z;3;Huawei Pura 70;Huawei;Flagship;April 18, 2024
