author;comment;sentiment;timestamp;like_count;tipe_produk;brand;segment;release_date
@GoGoWLD-007;Jangan pernah beli ponsel dengan layar lengkung!!!;negatif;2024-10-12T08:28:13Z;2;Huawei Pura 80 Ultra;Huawei;Flagship;Apr-25
@Rukneddin_HMD;Saya tidak mengira desainnya akan seperti ini.;netral;2024-10-04T00:03:32Z;1;Huawei Pura 80 Ultra;Huawei;Flagship;Apr-25
@miguel1990U;Mengubah format kamera akan menjadi kesalahan dalam pemasaran model ini!! Format kamera ini sangat indah.;positif;2024-10-03T03:21:08Z;1;Huawei Pura 80 Ultra;Huawei;Flagship;Apr-25
@seyo2591;Apple 16 Pro tertawa melihat video ini ??;negatif;2024-09-29T13:24:24Z;2;Huawei Pura 80 Ultra;Huawei;Flagship;Apr-25
@junyadora3514;Desain yang hebat,, menunggu;positif;2024-09-22T05:32:29Z;1;Huawei Pura 80 Ultra;Huawei;Flagship;Apr-25
@niroshaalabdeen7367;Ponsel Pintar Seri Huawei P Sangat Mewah & Memiliki Keandalan Tinggi, Oleh Karena Itu, Secara Teknis Huawei P 80 Ultra Akan Menjadi Ponsel Terbaik Tahun Depan. Ini Akan Menjadi Raja Dari Semua Raja Di Antara Ponsel Flagship Yang Akan Datang.... Desain Layar Semi-Inovasi Nyata Dalam Segmen Ponsel Pintar.... Wow & Terus Lakukan Huawei & Semoga Sukses Untuk Segmen Ponsel Pintar Revolusioner Huawei P Series. ?;positif;2024-09-14T15:46:41Z;1;Huawei Pura 80 Ultra;Huawei;Flagship;Apr-25
@Ali_Marat554;Banyak orang yang tidak suka iPhone seperti saya, tapi saya rasa pada model ke-80 bisa dibuat dengan desain seperti iPhone, karena sudah banyak ponsel dengan desain seperti itu. Desain seperti iPhone dan sedikit lengkungan di layar akan sangat menarik dan nyaman dipegang. Bagaimana menurut kalian? ??????;netral;2024-09-14T15:42:39Z;1;Huawei Pura 80 Ultra;Huawei;Flagship;Apr-25
@JuanAntonio-x1u;Apakah ini nyata? Apakah ini benar-benar akan terlihat seperti ini?;netral;2024-08-16T20:10:05Z;2;Huawei Pura 80 Ultra;Huawei;Flagship;Apr-25
@brunemarie1512;Layar melengkung? ??;netral;2024-08-14T20:37:11Z;2;Huawei Pura 80 Ultra;Huawei;Flagship;Apr-25
@MamdouhMoustafa-n9n;Desain yang indah ??;positif;2024-07-24T06:41:04Z;2;Huawei Pura 80 Ultra;Huawei;Flagship;Apr-25
@AlfredoLopez-ji5pq;Ini memang ponsel yang akan membuat orang terkesan.;positif;2024-07-23T23:49:28Z;1;Huawei Pura 80 Ultra;Huawei;Flagship;Apr-25
@gloriamorenopena9114;Ini Huawei, selalu dengan yang terbaik dalam perangkat ???? Cinta Huawei ??;positif;2024-07-21T02:41:32Z;1;Huawei Pura 80 Ultra;Huawei;Flagship;Apr-25
@FUrSkills;Luar biasa;positif;2024-07-19T09:53:08Z;2;Huawei Pura 80 Ultra;Huawei;Flagship;Apr-25
@isaijimenez7618;Indah;positif;2024-07-18T18:03:47Z;2;Huawei Pura 80 Ultra;Huawei;Flagship;Apr-25
@RahimDumbu;Harga dan di mana saya bisa mendapatkannya?;netral;2024-07-18T09:51:03Z;3;Huawei Pura 80 Ultra;Huawei;Flagship;Apr-25
@Terranwilliamson1745;Luar biasa indah, saya suka desain kamera dari Huawei Pura 80 Ultra, sangat menakjubkan.;positif;2024-07-17T13:02:08Z;7;Huawei Pura 80 Ultra;Huawei;Flagship;Apr-25
@EldorbekUmarov;Luar biasa;positif;2024-07-17T11:59:26Z;5;Huawei Pura 80 Ultra;Huawei;Flagship;Apr-25
