author;comment;sentimen;timestamp;like_count;tipe_produk;brand;segment;release_date
@SumanSarker-ft3dv;Senang;positif;2024-11-05T03:28:25Z;0;Pixel 10 Pro;Google;Flagship;Oct-25
@????-z7j;Â???? Pixel 10, bagus banget ?????????????;positif;2024-10-12T09:50:44Z;0;Pixel 10 Pro;Google;Flagship;Oct-25
@????-z7j;???(?~???³???)?~ Benarkah ini akan dirilis? Mungkin menunggu! ????;positif;2024-10-12T09:48:47Z;0;Pixel 10 Pro;Google;Flagship;Oct-25
@Musman-v6n;Harga;netral;2024-10-11T19:53:40Z;0;Pixel 10 Pro;Google;Flagship;Oct-25
@yonasgoa;Berapa harganya?;netral;2024-09-29T15:48:25Z;0;Pixel 10 Pro;Google;Flagship;Oct-25
@limitless_life_2023;Saya harap mereka menambahkan kunci aplikasi, kecepatan rana manual, dan ISO di pengaturan kamera;netral;2024-09-24T20:41:10Z;1;Pixel 10 Pro;Google;Flagship;Oct-25
@aisqr_nawafv2;Mengapa tombol jalan ada di bawah?;netral;2024-09-12T11:13:53Z;2;Pixel 10 Pro;Google;Flagship;Oct-25
@JabarryBrowne;Kamera ini semoga bagus;netral;2024-09-08T13:55:55Z;0;Pixel 10 Pro;Google;Flagship;Oct-25
@MatovuOlivia;Berapa harga Google Pixel terbaru?;netral;2024-08-21T20:56:03Z;1;Pixel 10 Pro;Google;Flagship;Oct-25
@kishanvisram;Dapatkah Anda membalas ini dalam 1 tahun? Mari kita lihat seberapa benar Anda.;netral;2024-08-13T21:24:07Z;4;Pixel 10 Pro;Google;Flagship;Oct-25
@tausimkali6878;Bagaimana saya bisa mendapatkan ini?;netral;2024-07-10T13:44:20Z;0;Pixel 10 Pro;Google;Flagship;Oct-25
@GkGk-vx3pb;Bagus. Tapi mungkin sudut yang benar lebih baik;positif;2024-07-10T05:29:19Z;0;Pixel 10 Pro;Google;Flagship;Oct-25
@charlyleroy8546;Tampilannya sangat tebal, ada yang tahu dimensinya?;negatif;2024-06-27T15:57:32Z;0;Pixel 10 Pro;Google;Flagship;Oct-25
@moses5161;Saya masih memiliki Pixel 4a saya, foto & video luar biasa! Apakah Pixel 10 lebih baik dalam kamera daripada Pixel 4a?;netral;2024-06-25T20:04:59Z;0;Pixel 10 Pro;Google;Flagship;Oct-25
@annemarieumutoni-uf7qf;Berapa harganya?;netral;2024-06-09T16:53:48Z;0;Pixel 10 Pro;Google;Flagship;Oct-25
@therealzeon;Wow ??? ini sangat indah ??;positif;2024-05-02T11:02:50Z;0;Pixel 10 Pro;Google;Flagship;Oct-25
@Caahir;Jelek;negatif;2024-05-01T18:37:11Z;1;Pixel 10 Pro;Google;Flagship;Oct-25
@it_shnik_N54;Bagus;positif;2024-04-27T12:14:59Z;2;Pixel 10 Pro;Google;Flagship;Oct-25
@livianwan8631;Omgg, saya akan melewatkan 9pro dan menunggu 10;negatif;2024-04-03T08:17:13Z;0;Pixel 10 Pro;Google;Flagship;Oct-25
@Janss1211;Wah;positif;2024-04-02T06:41:34Z;0;Pixel 10 Pro;Google;Flagship;Oct-25
@poonamzee;Luar biasa;positif;2024-03-23T17:48:03Z;0;Pixel 10 Pro;Google;Flagship;Oct-25
@felixkuntzekopele4915;Terbaik;positif;2024-10-31T06:44:31Z;0;Pixel 10 Pro;Google;Flagship;Oct-25
@marsluis1989;Saya menggunakan iPhone 14 Pro, saya suka ponsel ini dan ingin membelinya sekarang. Kapan kita bisa membeli perangkat ini? Saya tidak pernah menggunakan iPhone, hanya ponsel ini;positif;2024-09-24T22:59:19Z;0;Pixel 10 Pro;Google;Flagship;Oct-25
@Jhakent-hg7;Tensor G5;netral;2024-08-24T19:01:04Z;0;Pixel 10 Pro;Google;Flagship;Oct-25
@JojoComz;Kapan tanggal rilisnya?;netral;2024-07-24T17:16:16Z;0;Pixel 10 Pro;Google;Flagship;Oct-25
@RKSOURAV-HASAN;Google Pixel adalah ponsel favorit saya ???????????;positif;2024-06-22T17:14:54Z;0;Pixel 10 Pro;Google;Flagship;Oct-25
@guptaadarsh;Harga?;netral;2024-06-16T14:30:55Z;0;Pixel 10 Pro;Google;Flagship;Oct-25
@ChukwuMiracle-iy8lv;Saya sudah menginginkannya, saya tidak sabar menunggu kehadirannya ???;positif;2024-06-06T02:11:49Z;6;Pixel 10 Pro;Google;Flagship;Oct-25
@jubayerahmedasif1063;Wah??;positif;2024-05-04T17:43:13Z;2;Pixel 10 Pro;Google;Flagship;Oct-25
@it_shnik_N54;Bagus;positif;2024-04-27T12:15:58Z;0;Pixel 10 Pro;Google;Flagship;Oct-25
@robmalcolm8042;Saya menggunakan Samsung S24 Ultra dan pernah menggunakan Google Pixel XL dan iPhone 13 sebelumnya, tapi saya mendukung Pixel. Saya rasa setelah mereka menggunakan TSMC untuk chip kustom mereka dan bukan Exynos, itu akan sangat membantu. Google memiliki banyak potensi, mereka hanya perlu memanfaatkan kekuatan yang mereka miliki.;positif;2024-04-07T00:07:00Z;8;Pixel 10 Pro;Google;Flagship;Oct-25
@Janss1211;Saya sudah menginginkannya untuk segera tiba ??;positif;2024-04-03T04:56:34Z;1;Pixel 10 Pro;Google;Flagship;Oct-25
@Janss1211;Wah;positif;2024-04-03T04:56:19Z;0;Pixel 10 Pro;Google;Flagship;Oct-25
@Pnvemsoulfairyage;Smartphone terbaik di dunia;positif;2024-03-25T15:45:22Z;0;Pixel 10 Pro;Google;Flagship;Oct-25
@AbdullahAlmahadi-t4y;Bagus ?;positif;2024-03-14T07:34:39Z;0;Pixel 10 Pro;Google;Flagship;Oct-25
@sidatyfall8522;Wah;positif;2024-03-02T16:38:39Z;0;Pixel 10 Pro;Google;Flagship;Oct-25
@dineshsahu6921;Berapa harganya?;netral;2024-03-02T15:03:18Z;1;Pixel 10 Pro;Google;Flagship;Oct-25
