author;comment;sentimen;timestamp;like_count;tipe_produk;brand;segment;release_date
@tripical148;Ini juga bisa mengarah pada optimisasi yang jauh lebih baik untuk banyak aplikasi;positif;2024-10-23T06:54:45Z;0;Pixel 10;Google;Flagship;Oct-25
@rajkumar_og;Pixel akan jauh lebih baik dengan Snapdragon Gen series.;positif;2024-08-21T17:45:11Z;0;Pixel 10;Google;Flagship;Oct-25
@CommentGuard717;"Dengan kernel khusus saya bisa mengalahkan 888gen3 di 3 benchmark (unzip file, komputasi AI, resolusi maksimum)

Tanpa kernel khusus, itu lebih buruk dari 888gen1";negatif;2024-06-04T21:35:12Z;0;Pixel 10;Google;Flagship;Oct-25
@kon0212;Saya rasa saya akan menunggu Pixel 12, karena saya menggunakan Pixel 6;negatif;2024-04-21T08:58:57Z;1;Pixel 10;Google;Flagship;Oct-25
@mr.Arsene;Pixel 10 sudah WTF;netral;2024-04-17T19:17:09Z;1;Pixel 10;Google;Flagship;Oct-25
@meroinheroin;Bagaimana dengan Pixel 9? Lol;netral;2024-01-14T18:37:17Z;0;Pixel 10;Google;Flagship;Oct-25
@user-red57;Google Pixel 10;netral;2023-10-30T16:47:20Z;0;Pixel 10;Google;Flagship;Oct-25
@thespringmonster7807;Semua orang akan menggunakan chipset 3nm tetapi hanya Google yang akan menggunakan 4nm. Google benar-benar tertinggal;negatif;2023-09-09T15:50:15Z;1;Pixel 10;Google;Flagship;Oct-25
@dinkyberries3320;Iklan akan banyak bermunculan;negatif;2023-08-24T12:54:21Z;0;Pixel 10;Google;Flagship;Oct-25
@oida10000;Bagaimana dengan Pixel 9, apakah angka ini akan dilewatkan?;netral;2023-08-23T13:58:05Z;0;Pixel 10;Google;Flagship;Oct-25
@Robcadams1974;Gunakan saja Snapdragon 8 Gen 2;netral;2023-08-23T00:20:24Z;1;Pixel 10;Google;Flagship;Oct-25
@Randomguy0912;Bro Samsung dan Google harus bekerja sama dan menghancurkan Apple.;positif;2023-08-21T13:09:40Z;1;Pixel 10;Google;Flagship;Oct-25
@nttinvis;Samsung sudah memperbaiki Exynos dan mereka memproduksi Pixel 8 yang akan hebat;positif;2023-08-18T23:12:30Z;0;Pixel 10;Google;Flagship;Oct-25
@YodaSkywalker;Pixel 8 dan 9 masih belum rilis dan ada informasi bocoran tentang Pixel 10 ??;netral;2023-08-12T03:32:11Z;2;Pixel 10;Google;Flagship;Oct-25
@Isaac-gh5ku;Jadi apa yang terjadi dengan Pixel 9 tahun depan?;netral;2023-08-10T18:11:28Z;0;Pixel 10;Google;Flagship;Oct-25
@jimibaked4235;Saya harus mengirim kembali Pixel 7a saya karena kepanasan tanpa alasan;negatif;2023-08-06T16:14:14Z;1;Pixel 10;Google;Flagship;Oct-25
@jpaburido;Loop-nya halus;positif;2023-08-03T21:04:12Z;5;Pixel 10;Google;Flagship;Oct-25
@hityouwiththatdduddudu;Loop sempurna itu ada ??;positif;2023-08-02T15:03:26Z;16;Pixel 10;Google;Flagship;Oct-25
@dnegel9546;"Kenapa Exynos itu ada…

Berapa banyak orang yang mengeluh tentangnya dan mereka masih ingin melanjutkan dengan Exynos. ?? Apa mereka menandatangani kontrak yang mengunci mereka untuk menggunakan Exynos (Samsung/Google)?";negatif;2023-07-31T12:53:58Z;2;Pixel 10;Google;Flagship;Oct-25
@heberramirez8800;Masalah overheat dan baterai memang kelemahan di Pixel 7. Tapi itu tidak terlalu buruk. Saya pengguna Pixel 7 dan saya bisa menghadapinya.;negatif;2023-07-29T18:16:15Z;7;Pixel 10;Google;Flagship;Oct-25
@6025094;Snapdragon atau tidak sama sekali.;negatif;2023-07-28T08:48:56Z;1;Pixel 10;Google;Flagship;Oct-25
@G.K94;Kenapa Samsung menggunakan chip TSMC daripada menggunakan chip mereka sendiri???;negatif;2023-07-26T07:06:07Z;0;Pixel 10;Google;Flagship;Oct-25
@Realhistoryforkids;Pixel 8a akan memperbaiki masalah overheat karena mereka menggunakan Snapdragon;positif;2023-07-25T00:24:04Z;0;Pixel 10;Google;Flagship;Oct-25
@docen67;Saya rasa Google Pixel adalah perangkat yang hebat, tapi desainnya salah satu yang terjelek di pasar, mereka perlu memperbaikinya;negatif;2023-07-19T01:19:33Z;0;Pixel 10;Google;Flagship;Oct-25
@aijunky;Itu adalah loop sempurna lol;positif;2023-07-15T10:38:56Z;8;Pixel 10;Google;Flagship;Oct-25
@RossGHolman;Daya tahan baterai di Pixel saya lebih dari cukup, biasanya bertahan 36 jam antara pengisian daya.;positif;2023-07-15T07:05:05Z;0;Pixel 10;Google;Flagship;Oct-25
@robertheron7017;Pixel 6a saya hanya memanas ketika saya menggunakan 5G dan itu hanya beberapa kali, tapi tetap berjalan dengan sangat baik tanpa lag sama sekali. Saya akan membeli Pro berikutnya karena 6a tidak cukup terang di luar ruangan.;netral;2023-07-13T12:28:19Z;0;Pixel 10;Google;Flagship;Oct-25
@nka9924;Pixel 8 bahkan belum dirilis, dan sepertinya kita sudah move on...;netral;2023-07-13T04:49:14Z;0;Pixel 10;Google;Flagship;Oct-25
@harryvlogs7833;Haha, Tensor G3 adalah 3nm Samsung dan setara dengan 3nm TSMC;positif;2023-07-09T14:58:40Z;0;Pixel 10;Google;Flagship;Oct-25
@Kykashi671;Saya memiliki Pixel 6 dan 7a. Ketika mereka memperbaiki masalah pemanasan saat menonton YouTube, saya mungkin akan mempertimbangkan untuk membeli ponsel Pixel berikutnya.;negatif;2023-07-09T09:51:18Z;0;Pixel 10;Google;Flagship;Oct-25
@sugonmaballs;Tensor adalah alasan saya tidak mengganti Pixel 5 saya dengan Pixel yang lebih baru. Pixel 5 saya masih mengalahkan Pixel yang lebih baru dalam hal daya tahan baterai meskipun memiliki baterai lebih kecil dengan hampir 3 tahun pemakaian. Sepertinya saya akan membeli Zenfone 10 atau S23 tahun ini agar bisa tetap menggunakan ponsel yang lebih kecil.;negatif;2023-07-09T07:04:27Z;56;Pixel 10;Google;Flagship;Oct-25
@tarng;Google harus memperkenalkan seri mini juga untuk pengguna seperti saya yang suka perangkat kecil dengan sistem operasi Android.;positif;2023-07-09T06:34:41Z;22;Pixel 10;Google;Flagship;Oct-25
@ÆßV;"*Samsung:* Gunakan fasilitas 4nm kami dan keahlian Exynos kami
*Google:* Tentu, saya sudah menunggu ini!
*Samsung:* Kami akan menggunakan TSMC & Snapdragon btw";netral;2023-07-09T04:54:15Z;198;Pixel 10;Google;Flagship;Oct-25
@nikchris69;Ya, lagi-lagi berita 'Pixel akan bagus tahun depan'. Saya sudah mendengar ini sejak Pixel pertama dan mereka terus menjadi ponsel sampah. Google tidak tahu cara membuat ponsel.;negatif;2023-07-09T04:41:42Z;1;Pixel 10;Google;Flagship;Oct-25
@panval90;Saya mendapatkan P7Pro. Tidak ada masalah overheat, tidak ada masalah baterai sama sekali.;positif;2023-07-09T02:41:53Z;6;Pixel 10;Google;Flagship;Oct-25
@giomari4246;Tidak ada Pixel 9?;netral;2023-07-09T02:37:28Z;1;Pixel 10;Google;Flagship;Oct-25
@mma0911;Saya menantikan untuk melihat keahlian rekayasa perangkat keras, karena Google pada dasarnya adalah perusahaan perangkat lunak dan periklanan.;netral;2023-07-09T01:32:55Z;2;Pixel 10;Google;Flagship;Oct-25
@coffeevie;Sepertinya chip Google generasi kedua di Pixel 2026 akan menjadi yang terbaik.;positif;2023-07-09T00:33:30Z;93;Pixel 10;Google;Flagship;Oct-25
@___David__;Ada satu hal yang saya tahu: itu akan memiliki perangkat lunak SAMPAH, seperti semua iPixel sebelumnya.;negatif;2023-07-09T00:01:09Z;1;Pixel 10;Google;Flagship;Oct-25
@a5adullah;Pixel 10?;netral;2023-07-08T23:28:26Z;6;Pixel 10;Google;Flagship;Oct-25
@Krysstophe;Semoga Pixel 8 lebih baik. Saya pindah dari iPhone dan Pixel 6 Pro saya telah menjadi mimpi buruk pemanasan dari awal. Bahkan perangkat pengganti yang saya terima juga kepanasan saat melakukan hal paling dasar. Sangat kecewa;negatif;2023-07-08T23:28:14Z;4;Pixel 10;Google;Flagship;Oct-25
