author;comment;sentimen;timestamp;like_count;tipe_produk;brand;segment;release_date;;
@alfanur_rizal;Bagi gw, desain kamera bulet di belakang gitu malah norak..;negatif;2024-11-13T12:17:52Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@WoeeStronge;Ga dulu snapdragon 685 ampasss;negatif;2024-11-13T07:43:55Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@OkkySafitri-hk5rz;Ak dari dulu pake realme 3 sampe 7thun sekarang alhamdulilah aman2 aja, cuma sekarang minus kamera depan sudah agak burem ?? menurut aku best sii realme ini ??;positif;2024-11-07T13:40:03Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@rizki7774;Bagus redmi note 13 5G apaa realme 13??;netral;2024-11-04T21:19:20Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@dheavivichannel1621;Untuk live gimana;netral;2024-11-04T04:41:23Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@souland9958;"Mending pova 5 pro 
2 jtan udah ml 120 fps
Camera udah support 60 fps";negatif;2024-11-03T11:55:42Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@ZelineArthuria;mau beli hp harga di bawah 3 jt'an yg tahan lama + buad game apa ya bang bingung mau pilih oppo atau realme ??;netral;2024-11-03T08:16:44Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@ocolrap444;masih tinggi spek realme 10 wak;negatif;2024-11-01T06:13:06Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@aradhea23;Dua minggu lalu saya beli hp ini yang varian 8/128 diharga 2,9 jt buat gantiin hp realme c21 yang saya beli di awal tahun 2021. Selama dua minggu ini oke2 aja untuk pemakaian normal tidak untuk gaming. Tidak gampang panas dan baru sekarang saya liat reviewnya karena sebelum beli saya minta rekomendasi dari teman katanya realme 13 bagus dan recommended;positif;2024-10-28T00:19:02Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@jamessimamora5488;Hp nya bagus bang,chipset nya dipuji diharga nya,padahal oppo reno 12f kena bully yang lebih mahal dikit,padahal di reno udah lengkap AI layar memukau dan juga hp yang susah panas;positif;2024-10-21T10:06:47Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@sriutari1112;Q dah pake realme narzo 20 selama 4 thn.sekarang udah mulai capek hapus sampah;negatif;2024-10-14T03:09:08Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@Alfadhiilah;Parno beli realme lg bang pernah beli toucscreennya jelek g responsif;negatif;2024-10-13T14:43:36Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@ilhamfadjrin7786;Realme Dibully Terus, Stres Gue Lama² Sebagai Loyalty Realme;negatif;2024-10-13T06:27:32Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@FikriFirmansyah-xv9yf;Hp sekarang model kameranya yg bikin gak enak dilihat;negatif;2024-10-09T17:01:14Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@ReshaAfdian;Alhamdulillah sudah punya realme 13 pro 5g ? hpnya bagus;positif;2024-10-09T09:17:12Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@Santi-fj7gt;5g?;netral;2024-10-07T11:49:43Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@yuniibmth96;@realmeindonesia rajanya smatphone dagu tebel;negatif;2024-10-04T03:52:23Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@jhonycilunk7029;"Jangan di beli...nyesel lu pada nanti
Apanya yg gaming bintang 5 buat main efootball aja panas trus patah patah...sumpah nyesel gua beli ini hp...hp blm sebulan brasa udah kaya hp pemakaian setahun";negatif;2024-10-03T05:38:16Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@nyneeight_982;Udah sony ois tapi hasil video kyak biasa aja ya;negatif;2024-09-28T17:24:58Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@muhammadsaputra2296;semoga tahun depan bisa kebeli nih hp??;positif;2024-09-26T12:45:12Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@denjo2302;Ngapain dikasih 4 lingkaran kalau kamera cuma 2 aja;negatif;2024-09-26T10:48:42Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@diansaputri180;Model ini kira2 bisa di isi memory eksternal brp gb ya?;netral;2024-09-26T06:05:08Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@brianrizki2382;UFS, sebuah terobosan yg memperndek umur HP demi keberlangsungan bisnis;negatif;2024-09-25T18:33:03Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@YatimluJr;Bang foto+ videonya bagus apa gk?;netral;2024-09-25T11:53:20Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@AgungGaluh-vq4lr;Udah bagus tapi desin kamera kayak jamet ... males mau beli;negatif;2024-09-24T10:14:15Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@bangfake8390;Masi setia dengan realme 8 pro saya ??;negatif;2024-09-21T12:00:26Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@jojoaprianto-q2w;Bagusan mana bang relme 13 apa pova 6;netral;2024-09-20T13:46:20Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@aqilakenzo9432;Kalo buat jangka panjang mending realme 13 atau IQOO Z9X ?;netral;2024-09-19T11:47:13Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@isibumikita;"Tetap poco m6pro yang teratas di 2-3jt
Dari speaker dan keseluruhan.. 
6bln pakai compare sama yang katanya lebih baik si infinote40. 
Geber game gaber sosmed geber record 
Pfffttt jadi lemot bgt skrang infinixnya. 
Sedangkan si poci. 
Kalah di batre. Cepet kekuras";negatif;2024-09-09T15:14:03Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@Stabilqitaqita;Alhamdulillah kebeli juga walau kredit ?????? sebelum nya pake realmi c15 ampe sekarang masih awet dan tidak pernah ganti 1 sparepack apapun walau di hajar main ml tiap hari semoga yg ini awet juga.;positif;2024-09-09T04:27:11Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@officialdevlin2893;realme 13 kamera buat video jelek. gempa. suara juga ga bagus;negatif;2024-09-06T16:09:28Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@alvinmuhammadreza8093;Cipset masih mending realme 3 pro;negatif;2024-09-06T11:50:59Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@HonjeTech;Skip amoled;negatif;2024-09-04T11:45:18Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@MakartiJaya-k1r;Bagusan oppo Reno apa xeomi;netral;2024-09-04T06:22:02Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@ucumansyah5909;Si dagu besar??;negatif;2024-09-01T05:57:55Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@satzz667;lumayan sih menurut ku?;positif;2024-09-01T00:10:36Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@muhammadwildanilhamsyah;Itu kalo sama realme 12+ 5g bagus mana bang?;netral;2024-08-31T23:19:23Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@Bliztchizuru_;Hp ini dibandingkan iqoo z9x yg paling worth it yg mana?;netral;2024-08-31T13:33:55Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@FadhlyRama-q9t;gw gak suka model kameranya,norak banget,,segede stadion barnebeu;negatif;2024-08-29T16:53:14Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@yonkziyonk4965;Realme HP cepat panas mesinnya... ????;negatif;2024-08-24T15:04:38Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@alraalwirahman8525;Good;positif;2024-08-23T08:56:29Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@c.c.churaa2573;Gw coba beli ini hp minus kamera ultrawide;negatif;2024-08-20T00:46:25Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@zaidalfathsya2204;realme ttp kebanyakan update sistemny smpe makan penyimpanan bisa setengah sendiri;negatif;2024-08-19T14:19:28Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@sangbadut5311;udah ngaco yaa realme skrng, para penggemar cmn nunggu seri GT doang, atau buat anaknya seri C;negatif;2024-08-19T13:00:54Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@bayugocir9944;Aman Green screen ga tuhh;netral;2024-08-19T09:39:13Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@ekohadiprasojo6149;AOD nya nyala terus gak bang;netral;2024-08-19T06:23:45Z;1;Realme 13 Series;Realme;Mid-Range;2025;;
@candraipan1497;Gk worth it;negatif;2024-08-18T09:58:16Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
