author;comment;sentimen;timestamp;like_count;tipe_produk;brand;segment;release_date
@awan123Surya;Owww ip 17 omg??????;positif;2024-11-15T12:30:17Z;0;iPhone 17;Apple;Flagship;September 9, 2025
@RoeurngRaTabS;Cinta ?? begitu banyak !!! ????????;positif;2024-11-08T11:23:50Z;0;iPhone 17;Apple;Flagship;September 9, 2025
@richlnacua1720;Saya suka Samsung, saya bisa merekam layar saat saya chatting dengan teman-teman saya;negatif;2024-11-05T18:40:53Z;3;iPhone 17;Apple;Flagship;September 9, 2025
@dkk2675;Hanya 17 Pro Max? 17 Pro tidak memiliki punch hole?;netral;2024-11-04T06:36:32Z;1;iPhone 17;Apple;Flagship;September 9, 2025
@Roly888T;Iphone 16 baru saja keluar dan sekarang 17? begitu cepat;netral;2024-11-03T23:16:22Z;2;iPhone 17;Apple;Flagship;September 9, 2025
@aideperez9233;Mereka selalu mengganti kamera belakang, selalu sama dengan iPhone, mereka sangat murahan dan membosankan..;negatif;2024-11-03T16:29:33Z;0;iPhone 17;Apple;Flagship;September 9, 2025
@sugenrao2101;Apa yang begitu sulit untuk menghapus punch hole dan menjadikannya kamera di layar;negatif;2024-11-03T14:00:25Z;1;iPhone 17;Apple;Flagship;September 9, 2025
@SaSa-hp1fy;Luar biasa;positif;2024-11-03T09:07:56Z;0;iPhone 17;Apple;Flagship;September 9, 2025
@harisharis4840;Ini palsu dan prototipe… tenang saja;negatif;2024-11-03T07:08:56Z;0;iPhone 17;Apple;Flagship;September 9, 2025
@shengxiantan-kl7ul;Apakah ini nyata;netral;2024-11-03T05:26:14Z;0;iPhone 17;Apple;Flagship;September 9, 2025
@bryllew3;Tidak mungkin Apple ingin terlihat seperti Android ??;negatif;2024-11-03T02:41:34Z;5;iPhone 17;Apple;Flagship;September 9, 2025
@les8947;Mereka sudah terlalu banyak berinvestasi di notch dan Dynamic Island untuk meninggalkannya begitu saja dan melakukan holepunch;negatif;2024-11-03T02:37:58Z;1;iPhone 17;Apple;Flagship;September 9, 2025
@Svoboba;Apakah ini sama?;netral;2024-11-03T01:11:01Z;0;iPhone 17;Apple;Flagship;September 9, 2025
@Snair1989;Tidak mungkin ?????? Apple tidak bisa meninggalkan island sampai iPhone 20 ??;negatif;2024-11-03T01:05:50Z;0;iPhone 17;Apple;Flagship;September 9, 2025
@TheGameSeekers;iPhone 17 kapan? mungkin 2025.;netral;2024-11-02T23:29:18Z;0;iPhone 17;Apple;Flagship;September 9, 2025
@Mr_Tommy555;Bisakah saya mengunduh apk?;netral;2024-11-02T20:49:11Z;1;iPhone 17;Apple;Flagship;September 9, 2025
@moredayzobika4147;Sejujurnya, kali berikutnya saya akan upgrade adalah iPhone 25 Pro Max, saya lelah ??;negatif;2024-11-02T18:43:17Z;1;iPhone 17;Apple;Flagship;September 9, 2025
@09_prihan;Titiknya membuatnya terlihat lebih buruk;negatif;2024-11-02T15:02:26Z;1;iPhone 17;Apple;Flagship;September 9, 2025
@Famz..;Ini TIDAK.;negatif;2024-11-02T13:05:07Z;0;iPhone 17;Apple;Flagship;September 9, 2025
@scpk7366;Pasti sangat sangat sangat mahal;negatif;2024-11-02T11:25:30Z;0;iPhone 17;Apple;Flagship;September 9, 2025
@mdimranhossain-mn9do;Dua masalah di ponsel Apple, 1 adalah MP kamera rendah dan 2 adalah kesehatan baterai;negatif;2024-11-02T05:53:39Z;3;iPhone 17;Apple;Flagship;September 9, 2025
@RedLeo-pf9yo;Setiap tahun mereka bilang akan membuat red promax dan mereka tidak pernah melakukannya;negatif;2024-11-02T05:31:52Z;12;iPhone 17;Apple;Flagship;September 9, 2025
@RGV8691;Ini hanya model ponsel lama... tapi spesifikasi berubah.. hanya untuk tujuan tampilan;negatif;2024-11-02T04:40:10Z;0;iPhone 17;Apple;Flagship;September 9, 2025
@sudarshanrock9551;Apa pun yang Android lakukan di tahun-tahun lalu, mereka lakukan hal yang sama. Mereka perlu membuat sesuatu yang lebih baik. bro Apple dulunya produsen iPhone yang hebat seperti yang digunakan untuk membawa sesuatu yang diikuti oleh semua orang, tetapi sekarang mereka membawa barang yang buruk.;negatif;2024-11-02T03:18:53Z;4;iPhone 17;Apple;Flagship;September 9, 2025
@sudarshanrock9551;Apa pun, saya akan kembali ke Android;negatif;2024-11-02T03:15:41Z;0;iPhone 17;Apple;Flagship;September 9, 2025
@MrHip4hopper;Palsu... bagaimana Anda bisa mendapatkan desain sebelum diluncurkan oleh Apple?;negatif;2024-11-02T03:03:31Z;0;iPhone 17;Apple;Flagship;September 9, 2025
@booboo9472;Itu jelek, terlihat seperti Android jelek;negatif;2024-11-02T00:46:02Z;1;iPhone 17;Apple;Flagship;September 9, 2025
@KayondoJordan-k2i;Sangat indah, kapan iPhone Edge datang;positif;2024-11-01T21:13:00Z;1;iPhone 17;Apple;Flagship;September 9, 2025
